# ALPHA = 0.05
# NUMBER_OF_TESTS = 12

# _SET1_  VARIABLE = Trans-Endo-to-mural (set)
# _SET1_  NGENES = 1803
# _SET1_  P-VALUE = 0.00294036
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   57801         1     934342     936608     17       7  460925       1.6735     0.022661    8.8818e-16       1.6735
_SET1_   81669         1    1321091    1334718     49      24  453192     -0.19741       0.4395    8.6042e-16     -0.19741
_SET1_   2782          1    1716725    1822552    354      66  459277     -0.68056      0.59651    8.8818e-16     -0.68056
_SET1_   6497          1    2160134    2241652    408     105  462692      -1.9773      0.93164    8.8818e-16      -1.9773
_SET1_   5293          1    9711789    9789172    335      67  460695      0.80611      0.10982    8.8818e-16      0.80611
_SET1_   23095         1   10270606   10441664    689      35  473689      0.20972      0.26977    8.6042e-16      0.20972
_SET1_   5351          1   11994724   12035599    196      37  468696     -0.24095      0.42927    8.6042e-16     -0.24095
_SET1_   7133          1   12227044   12269279    186      40  470837      0.46992       0.1881    8.8818e-16      0.46992
_SET1_   55187         1   12290101   12572099    872      56  466170     -0.45614      0.56291    8.8818e-16     -0.45614
_SET1_   23254         1   14219646   15444544   6679     495  468521       1.3081     0.030734    8.8818e-16       1.3081
_SET1_   55092         1   15479028   15546974    442      44  477011      -2.0522      0.94367    8.8818e-16      -2.0522
_SET1_   23013         1   16174359   16266951    321      53  456874     0.035712      0.32601     8.743e-16     0.035712
_SET1_   149563        1   16330731   16333184     21       9  472024       1.0125     0.095877    8.8818e-16       1.0125
_SET1_   23352         1   19401000   19536812    444      49  465863     -0.79779      0.64048    8.8818e-16     -0.79779
_SET1_   832           1   19665267   19812066    775      47  472024      0.75085      0.11564    8.8818e-16      0.75085
_SET1_   55450         1   20808884   20812728     10       6  427038     -0.60567      0.66512    8.8818e-16     -0.60567
_SET1_   1889          1   21543740   21672034    601      86  464758     -0.17206      0.39088    8.6042e-16     -0.17206
_SET1_   249           1   21835475   21904905    403      51  474751     -0.46627      0.50606    8.8818e-16     -0.46627
_SET1_   3339          1   22148737   22263750    588      79  469365      0.46189      0.18728    8.8818e-16      0.46189
_SET1_   7798          1   23410516   23504301    261      43  469949      -1.4743      0.85261    8.8818e-16      -1.4743
_SET1_   3399          1   23884421   23886285     14       8  474789       1.7329     0.018631    8.8818e-16       1.7329
_SET1_   10772         1   24292935   24306953     12       5  474361       3.3217   0.00016514    8.8818e-16       3.3217
_SET1_   57185         1   24742245   24799473    307      43  467441      0.12197      0.28306     8.743e-16      0.12197
_SET1_   25932         1   25071760   25170815    224      69  456523      0.35442       0.2138    8.8818e-16      0.35442
_SET1_   6548          1   27425300   27481621    163      50  456390      -1.8198      0.91647    8.8818e-16      -1.8198
_SET1_   10163         1   27730734   27816678    256      46  464639       1.0789     0.074749    8.8818e-16       1.0789
_SET1_   2268          1   27938800   27961727     93      27  455169       0.5008      0.22207    8.8818e-16       0.5008
_SET1_   23673         1   28099694   28150963    159      30  454096      0.14922      0.36301    8.6042e-16      0.14922
_SET1_   2035          1   29213603   29446558    800      67  461740       1.0449     0.071921    8.8818e-16       1.0449
_SET1_   6429          1   29474250   29508637    119      43  461547      0.19748      0.27105    8.6042e-16      0.19748
_SET1_   9698          1   31404353   31538838    477      57  467327     -0.17469      0.39631    8.6042e-16     -0.17469
_SET1_   64129         1   32042086   32053290     24      16  473929       1.5745     0.026698    8.8818e-16       1.5745
_SET1_   10657         1   32479295   32526460    101      67  459741      0.87426      0.11519    8.8818e-16      0.87426
_SET1_   114784        1   33979609   34631443   2968     295  466818     -0.78231      0.61309    8.8818e-16     -0.78231
_SET1_   9202          1   35734444   35887545    451      58  462038      0.36775      0.25935    8.8818e-16      0.36775
_SET1_   192670        1   36273231   36323491    147      46  456153       1.1775     0.065849    8.8818e-16       1.1775
_SET1_   9967          1   36690017   36770958    194      48  464409     -0.47832       0.5368    8.8818e-16     -0.47832
_SET1_   23499         1   39549839   39952810   1311      62  470814      -1.1625      0.77676    8.8818e-16      -1.1625
_SET1_   26508         1   40089103   40105348     71      36  472469      -1.5217      0.86046    8.8818e-16      -1.5217
_SET1_   84879         1   40420784   40435630     52      27  460084       0.4657      0.20256    8.8818e-16       0.4657
_SET1_   22955         1   41492871   41707815    786      53  467137      -1.2887      0.80386    8.8818e-16      -1.2887
_SET1_   6513          1   43391046   43424847    160      32  475577      -1.0048      0.71842    8.8818e-16      -1.0048
_SET1_   7075          1   43766566   43788781     59      19  463819     -0.22117      0.42258    8.6042e-16     -0.22117
_SET1_   57643         1   45482071   45672250    541      51  469539     -0.12319      0.39367     8.743e-16     -0.12319
_SET1_   60313         1   46092976   46153782    222      31  469559      -2.1655       0.9595    8.8818e-16      -2.1655
_SET1_   8503          1   46505812   46642167    461      55  467848     -0.80529       0.6381    8.8818e-16     -0.80529
_SET1_   51727         1   47799469   47844511    194      37  469480      0.35802       0.2143    8.8818e-16      0.35802
_SET1_   54558         1   48761044   48937876    702      58  460673       1.2252     0.053257    8.8818e-16       1.2252
_SET1_   84871         1   48998527   50489626   4462     138  458219      0.27288      0.22423    8.8818e-16      0.27288
_SET1_   55268         1   53361582   53392846     86      37  456187      -0.4232      0.50354    8.8818e-16      -0.4232
_SET1_   7804          1   53708036   53793821    313      62  471064     -0.66408      0.57421    8.8818e-16     -0.66408
_SET1_   84938         1   63249777   63330941    291      31  467536     -0.21003        0.412    8.6042e-16     -0.21003
_SET1_   57685         1   64936476   65158741    773     140  469202      0.30043       0.2397    8.8818e-16      0.30043
_SET1_   9829          1   65720133   65881552    630      61  466789      0.87848     0.087333    8.8818e-16      0.87848
_SET1_   3953          1   65886335   66103176    816      50  466616      0.76564      0.10828    8.8818e-16      0.76564
_SET1_   5142          1   66258193   66840262   2322     165  467219     -0.59652      0.54056    8.8818e-16     -0.59652
_SET1_   84251         1   66999066   67210768    990      49  468664      0.35883      0.20531    8.8818e-16      0.35883
_SET1_   57708         1   67390578   67454302    206      35  471614       1.5827     0.023359    8.8818e-16       1.5827
_SET1_   57554         1   70033230   70589171   2299     143  466918       1.0837     0.056929    8.8818e-16       1.0837
_SET1_   257194        1   71868625   72748533   3079     188  464137      0.23392      0.23304    8.6042e-16      0.23392
_SET1_   256435        1   76540389   77100311   2552     228  464420      -1.6124       0.8733    8.8818e-16      -1.6124
_SET1_   26289         1   77747662   78025654   1260     109  474810      -1.0914      0.73229    8.8818e-16      -1.0914
_SET1_   10964         1   79086067   79111830     90      34  475980      -2.0412      0.94918    8.8818e-16      -2.0412
_SET1_   10561         1   79115477   79129763     49      21  459027     -0.45149       0.5257    8.8818e-16     -0.45149
_SET1_   64123         1   79355449   79472495    608      45  474174      -0.3615      0.47501    8.8818e-16      -0.3615
_SET1_   23266         1   82266082   82458107    828      83  469423      0.80541      0.10264    8.8818e-16      0.80541
_SET1_   79739         1   84335057   84464850    454      36  464859     -0.42677      0.50331    8.8818e-16     -0.42677
_SET1_   5567          1   84543745   84704181    435      66  464042      -0.3688      0.46017    8.8818e-16      -0.3688
_SET1_   255631        1   86194916   86622121   1969     103  472138     -0.98479      0.68279    8.8818e-16     -0.98479
_SET1_   84230         1   90098644   90185094    264      35  468980      -1.7149      0.89496    8.8818e-16      -1.7149
_SET1_   55144         1   90286573   90401991    351      80  468717      0.48172      0.17829    8.8818e-16      0.48172
_SET1_   7049          1   92145900   92371559    979      98  474172      0.35573      0.19845    8.8818e-16      0.35573
_SET1_   284697        1   92545862   92613397    235      44  467941      -1.2717      0.79954    8.8818e-16      -1.2717
_SET1_   388650        1   93298286   93427079    389      33  466436       1.6371     0.019936    8.8818e-16       1.6371
_SET1_   54874         1   93913688   94020218    332      72  457632     0.021816      0.33854    8.7083e-16     0.021816
