# ALPHA = 0.05
# NUMBER_OF_TESTS = 12

# _SET1_  VARIABLE = Trans-Endo-to-mural (set)
# _SET1_  NGENES = 1811
# _SET1_  P-VALUE = 0.00176203
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   57801         1     934342     936608     17       7  460925       1.6654     0.022661    4.4409e-16       1.6654
_SET1_   81669         1    1321091    1334718     49      24  453192      -0.2058       0.4395    5.2736e-16      -0.2058
_SET1_   2782          1    1716725    1822552    354      66  459277     -0.68716      0.59651    5.5511e-16     -0.68716
_SET1_   6497          1    2160134    2241652    408     105  462692      -1.9806      0.93164    4.4409e-16      -1.9806
_SET1_   5293          1    9711789    9789172    335      67  460695      0.80004      0.10982    5.5511e-16      0.80004
_SET1_   23095         1   10270606   10441664    689      35  473689      0.20034      0.26977    5.2736e-16      0.20034
_SET1_   5351          1   11994724   12035599    196      37  468696     -0.24873      0.42927    5.2736e-16     -0.24873
_SET1_   7133          1   12227044   12269279    186      40  470837      0.46287       0.1881    5.5511e-16      0.46287
_SET1_   55187         1   12290101   12572099    872      56  466170     -0.46543      0.56291    5.5511e-16     -0.46543
_SET1_   23254         1   14219646   15444544   6679     495  468521       1.3114     0.030734    4.4409e-16       1.3114
_SET1_   55092         1   15479028   15546974    442      44  477011      -2.0608      0.94367    4.4409e-16      -2.0608
_SET1_   23013         1   16174359   16266951    321      53  456874     0.027959      0.32601    5.3083e-16     0.027959
_SET1_   149563        1   16330731   16333184     21       9  472024       1.0064     0.095877    4.4409e-16       1.0064
_SET1_   23352         1   19401000   19536812    444      49  465863     -0.80612      0.64048    5.5511e-16     -0.80612
_SET1_   832           1   19665267   19812066    775      47  472024      0.74153      0.11564    5.5511e-16      0.74153
_SET1_   55450         1   20808884   20812728     10       6  427038     -0.61728      0.66512    5.5511e-16     -0.61728
_SET1_   1889          1   21543740   21672034    601      86  464758     -0.17713      0.39088    5.2736e-16     -0.17713
_SET1_   249           1   21835475   21904905    403      51  474751     -0.47361      0.50606    5.5511e-16     -0.47361
_SET1_   3339          1   22148737   22263750    588      79  469365      0.45698      0.18728    5.5511e-16      0.45698
_SET1_   7798          1   23410516   23504301    261      43  469949      -1.4818      0.85261    4.4409e-16      -1.4818
_SET1_   3399          1   23884421   23886285     14       8  474789       1.7261     0.018631    4.4409e-16       1.7261
_SET1_   10772         1   24292935   24306953     12       5  474361       3.3161   0.00016514    4.4409e-16       3.3161
_SET1_   57185         1   24742245   24799473    307      43  467441      0.11334      0.28306    5.2736e-16      0.11334
_SET1_   25932         1   25071760   25170815    224      69  456523      0.34849       0.2138    5.5511e-16      0.34849
_SET1_   6548          1   27425300   27481621    163      50  456390      -1.8274      0.91647    4.4409e-16      -1.8274
_SET1_   10163         1   27730734   27816678    256      46  464639       1.0719     0.074749    4.4409e-16       1.0719
_SET1_   2268          1   27938800   27961727     93      27  455169      0.48975      0.22207    5.5511e-16      0.48975
_SET1_   23673         1   28099694   28150963    159      30  454096      0.12755      0.36301    5.2736e-16      0.12755
_SET1_   2035          1   29213603   29446558    800      67  461740       1.0374     0.071921    4.4409e-16       1.0374
_SET1_   6429          1   29474250   29508637    119      43  461547       0.1904      0.27105    5.2736e-16       0.1904
_SET1_   9698          1   31404353   31538838    477      57  467327     -0.18205      0.39631    5.2736e-16     -0.18205
_SET1_   64129         1   32042086   32053290     24      16  473929       1.5683     0.026698    4.4409e-16       1.5683
_SET1_   10657         1   32479295   32526460    101      67  459741      0.86559      0.11519    5.5511e-16      0.86559
_SET1_   114784        1   33979609   34631443   2968     295  466818     -0.77689      0.61309    5.5511e-16     -0.77689
_SET1_   9202          1   35734444   35887545    451      58  462038      0.35694      0.25935    5.5511e-16      0.35694
_SET1_   192670        1   36273231   36323491    147      46  456153       1.1691     0.065849    4.4409e-16       1.1691
_SET1_   9967          1   36690017   36770958    194      48  464409     -0.48491       0.5368    5.5511e-16     -0.48491
_SET1_   23499         1   39549839   39952810   1311      62  470814      -1.1707      0.77676    4.4409e-16      -1.1707
_SET1_   26508         1   40089103   40105348     71      36  472469      -1.5283      0.86046    4.4409e-16      -1.5283
_SET1_   84879         1   40420784   40435630     52      27  460084      0.45814      0.20256    5.5511e-16      0.45814
_SET1_   22955         1   41492871   41707815    786      53  467137      -1.2974      0.80386    4.4409e-16      -1.2974
_SET1_   6513          1   43391046   43424847    160      32  475577      -1.0124      0.71842    4.4409e-16      -1.0124
_SET1_   7075          1   43766566   43788781     59      19  463819     -0.23031      0.42258    5.2736e-16     -0.23031
_SET1_   57643         1   45482071   45672250    541      51  469539     -0.13043      0.39367    5.2736e-16     -0.13043
_SET1_   60313         1   46092976   46153782    222      31  469559      -2.1742       0.9595    4.4409e-16      -2.1742
_SET1_   8503          1   46505812   46642167    461      55  467848     -0.81311       0.6381    5.5511e-16     -0.81311
_SET1_   51727         1   47799469   47844511    194      37  469480      0.34999       0.2143    5.5511e-16      0.34999
_SET1_   54558         1   48761044   48937876    702      58  460673       1.2173     0.053257    4.4409e-16       1.2173
_SET1_   84871         1   48998527   50489626   4462     138  458219      0.26589      0.22423    5.5511e-16      0.26589
_SET1_   55268         1   53361582   53392846     86      37  456187     -0.43109      0.50354    5.5511e-16     -0.43109
_SET1_   7804          1   53708036   53793821    313      62  471064     -0.67069      0.57421    5.5511e-16     -0.67069
_SET1_   84938         1   63249777   63330941    291      31  467536     -0.21971        0.412    5.2736e-16     -0.21971
_SET1_   57685         1   64936476   65158741    773     140  469202      0.30157       0.2397    5.5511e-16      0.30157
_SET1_   9829          1   65720133   65881552    630      61  466789      0.86997     0.087333    5.5511e-16      0.86997
_SET1_   3953          1   65886335   66103176    816      50  466616       0.7554      0.10828    5.5511e-16       0.7554
_SET1_   5142          1   66258193   66840262   2322     165  467219     -0.59797      0.54056    5.5511e-16     -0.59797
_SET1_   84251         1   66999066   67210768    990      49  468664      0.34835      0.20531    5.5511e-16      0.34835
_SET1_   57708         1   67390578   67454302    206      35  471614       1.5752     0.023359    4.4409e-16       1.5752
_SET1_   57554         1   70033230   70589171   2299     143  466918       1.0799     0.056929    4.4409e-16       1.0799
_SET1_   257194        1   71868625   72748533   3079     188  464137      0.23316      0.23304    5.2736e-16      0.23316
_SET1_   256435        1   76540389   77100311   2552     228  464420      -1.6075       0.8733    4.4409e-16      -1.6075
_SET1_   26289         1   77747662   78025654   1260     109  474810      -1.0953      0.73229    4.4409e-16      -1.0953
_SET1_   10964         1   79086067   79111830     90      34  475980      -2.0472      0.94918    4.4409e-16      -2.0472
_SET1_   10561         1   79115477   79129763     49      21  459027     -0.45985       0.5257    5.5511e-16     -0.45985
_SET1_   64123         1   79355449   79472495    608      45  474174     -0.36976      0.47501    5.5511e-16     -0.36976
_SET1_   23266         1   82266082   82458107    828      83  469423      0.79952      0.10264    5.5511e-16      0.79952
_SET1_   79739         1   84335057   84464850    454      36  464859     -0.43641      0.50331    5.5511e-16     -0.43641
_SET1_   5567          1   84543745   84704181    435      66  464042     -0.37598      0.46017    5.5511e-16     -0.37598
_SET1_   255631        1   86194916   86622121   1969     103  472138     -0.99202      0.68279    5.5511e-16     -0.99202
_SET1_   84230         1   90098644   90185094    264      35  468980      -1.7245      0.89496    4.4409e-16      -1.7245
_SET1_   55144         1   90286573   90401991    351      80  468717      0.47752      0.17829    5.5511e-16      0.47752
_SET1_   7049          1   92145900   92371559    979      98  474172      0.35081      0.19845    5.5511e-16      0.35081
_SET1_   284697        1   92545862   92613397    235      44  467941      -1.2793      0.79954    4.4409e-16      -1.2793
_SET1_   388650        1   93298286   93427079    389      33  466436       1.6275     0.019936    4.4409e-16       1.6275
_SET1_   54874         1   93913688   94020218    332      72  457632     0.016068      0.33854    5.3083e-16     0.016068
_SET1_   8412          1   94027343   94312706   1257      84  471658      0.47577      0.18164    5.5511e-16      0.47577
_SET1_   5825          1   94883933   94984219    245      61  464669      -1.9677      0.93232    4.4409e-16      -1.9677
_SET1_   54873         1  100111431  100160097    228      41  473679      -1.8469      0.92377    4.4409e-16      -1.8469
