# ALPHA = 0.05
# NUMBER_OF_TESTS = 19

# _SET1_  VARIABLE = Pericyte-2 (set)
# _SET1_  NGENES = 2035
# _SET1_  P-VALUE = 0.000998698
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   57801         1     934342     936608     17       7  460925       1.6654     0.022661    6.6613e-16       1.6654
_SET1_   375790        1     955503     991499    241      52  459564       3.3058   9.5414e-05    8.8818e-16       3.3058
_SET1_   2782          1    1716725    1822552    354      66  459277     -0.68716      0.59651    7.7716e-16     -0.68716
_SET1_   6497          1    2160134    2241652    408     105  462692      -1.9806      0.93164    6.6613e-16      -1.9806
_SET1_   23261         1    6845384    7829766   4336     358  469781     0.098274      0.26817    7.7716e-16     0.098274
_SET1_   473           1    8412464    8877699   1290      69  465044       2.2447    0.0033631    8.8818e-16       2.2447
_SET1_   5293          1    9711789    9789172    335      67  460695      0.80004      0.10982    7.7716e-16      0.80004
_SET1_   22883         1    9789079    9884550    451      35  449731      -1.1176      0.79808    6.6613e-16      -1.1176
_SET1_   10277         1   10093041   10241297    544      46  470117     -0.69416      0.64723    7.7716e-16     -0.69416
_SET1_   1185          1   11866153   11903201    247      28  471497       1.3897     0.038941    6.6613e-16       1.3897
_SET1_   5351          1   11994724   12035599    196      37  468696     -0.24873      0.42927    7.7716e-16     -0.24873
_SET1_   23254         1   14219646   15444544   6679     495  468521       1.3114     0.030734    6.6613e-16       1.3114
_SET1_   55092         1   15479028   15546974    442      44  477011      -2.0608      0.94367    8.8818e-16      -2.0608
_SET1_   149563        1   16330731   16333184     21       9  472024       1.0064     0.095877    6.6613e-16       1.0064
_SET1_   832           1   19665267   19812066    775      47  472024      0.74153      0.11564    7.7716e-16      0.74153
_SET1_   50809         1   21069170   21113808    122      30  477287       2.8969   0.00043201    8.8818e-16       2.8969
_SET1_   1889          1   21543740   21672034    601      86  464758     -0.17713      0.39088    7.7716e-16     -0.17713
_SET1_   249           1   21835475   21904905    403      51  474751     -0.47361      0.50606    7.7716e-16     -0.47361
_SET1_   7798          1   23410516   23504301    261      43  469949      -1.4818      0.85261    6.6613e-16      -1.4818
_SET1_   3399          1   23884421   23886285     14       8  474789       1.7261     0.018631    6.6613e-16       1.7261
_SET1_   10772         1   24292935   24306953     12       5  474361       3.3161   0.00016514    8.8818e-16       3.3161
_SET1_   25932         1   25071760   25170815    224      69  456523      0.34849       0.2138    7.7716e-16      0.34849
_SET1_   57035         1   25568740   25574010     22      12  460882     -0.99166      0.77207    7.7716e-16     -0.99166
_SET1_   57134         1   25943959   26111258    659      73  461956     -0.30569      0.46309    7.7716e-16     -0.30569
_SET1_   6548          1   27425300   27481621    163      50  456390      -1.8274      0.91647    6.6613e-16      -1.8274
_SET1_   27245         1   27860756   27930463    179      58  452686      -1.7019       0.9119    6.6613e-16      -1.7019
_SET1_   2268          1   27938800   27961727     93      27  455169      0.48975      0.22207    7.7716e-16      0.48975
_SET1_   23673         1   28099694   28150963    159      30  454096      0.12755      0.36301    7.7716e-16      0.12755
_SET1_   54952         1   28879529   28905057     88      30  464354       2.4359     0.002102    8.8818e-16       2.4359
_SET1_   2035          1   29213603   29446558    800      67  461740       1.0374     0.071921    6.6613e-16       1.0374
_SET1_   64129         1   32042086   32053290     24      16  473929       1.5683     0.026698    6.6613e-16       1.5683
_SET1_   113444        1   35315963   35325417     39      19  472714      0.25355      0.24891    7.7716e-16      0.25355
_SET1_   9204          1   35451766   35497569    152      25  462292     -0.90022      0.74273    7.7716e-16     -0.90022
_SET1_   6421          1   35641981   35658766     75      20  465840      0.52752      0.22475    7.7716e-16      0.52752
_SET1_   9202          1   35734444   35887545    451      58  462038      0.35694      0.25935    7.7716e-16      0.35694
_SET1_   79932         1   35899091   36023037    386      60  459090     -0.50329      0.57509    7.7716e-16     -0.50329
_SET1_   3633          1   38326369   38412729    298      46  467961      0.64311      0.13624    7.7716e-16      0.64311
_SET1_   23499         1   39549839   39952810   1311      62  470814      -1.1707      0.77676    6.6613e-16      -1.1707
_SET1_   26508         1   40089103   40105348     71      36  472469      -1.5283      0.86046    6.6613e-16      -1.5283
_SET1_   84879         1   40420784   40435630     52      27  460084      0.45814      0.20256    7.7716e-16      0.45814
_SET1_   22955         1   41492871   41707815    786      53  467137      -1.2974      0.80386    6.6613e-16      -1.2974
_SET1_   59269         1   41972036   42501596   2185     134  468432      0.84916      0.08867    7.7716e-16      0.84916
_SET1_   6513          1   43391046   43424847    160      32  475577      -1.0124      0.71842    6.6613e-16      -1.0124
