# ALPHA = 0.05
# NUMBER_OF_TESTS = 43

# _SET1_  VARIABLE = Microglia-activated (set)
# _SET1_  NGENES = 899
# _SET1_  P-VALUE = 7.77342e-05
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   6497          1    2125134    2251652    592     106  464827      -1.8219       0.9023   -6.6613e-16      -1.8219
_SET1_   6518          1    9087005    9166763    414      55  471932       1.6716     0.015801   -6.6613e-16       1.6716
_SET1_   5293          1    9676789    9799172    556      86  461632       1.4409     0.027153   -6.6613e-16       1.4409
_SET1_   23095         1   10235606   10451664    906      39  473632      0.27733      0.24746   -6.1062e-16      0.27733
_SET1_   7133          1   12192044   12279279    383      67  470965    -0.072167      0.34267   -5.8287e-16    -0.072167
_SET1_   9249          1   12617939   12712820    532      93  469229     0.015961      0.29954   -5.8287e-16     0.015961
_SET1_   23254         1   14184646   15454544   6947     501  468615       1.4119     0.021563   -6.6613e-16       1.4119
_SET1_   55092         1   15444028   15556974    795      59  473443     -0.97944        0.688   -5.5511e-16     -0.97944
_SET1_   11240         1   17383256   17480948    580      58  475303     -0.56017      0.52805   -5.5511e-16     -0.56017
_SET1_   55920         1   17723251   17801250    394      51  463683      -1.0627      0.71423   -6.6613e-16      -1.0627
_SET1_   84966         1   18399240   18714977   1717     250  467668      -1.9808      0.93461   -6.6613e-16      -1.9808
_SET1_   832           1   19655267   19847066    991      76  470928      0.70092      0.11252   -5.5511e-16      0.70092
_SET1_   440574        1   19888471   19966315    368      35  470132       1.7454     0.017059   -6.6613e-16       1.7454
_SET1_   1889          1   21533740   21707034    822     104  467306       0.2805      0.21513   -6.1062e-16       0.2805
_SET1_   712           1   22928118   22976175    251      49  463295      -1.0778      0.71913   -6.6613e-16      -1.0778
_SET1_   714           1   22934969   22984603    247      47  464206      -1.1073      0.72741   -6.6613e-16      -1.1073
_SET1_   713           1   22944682   22998130    232      44  468518     -0.82815      0.63491   -5.5511e-16     -0.82815
_SET1_   6195          1   26821249   26911520    323      52  464996      0.82917     0.095705   -5.5511e-16      0.82917
_SET1_   10163         1   27720734   27851678    406      58  464277      0.87426        0.102   -5.5511e-16      0.87426
_SET1_   9473          1   28164055   28223196    224      60  460426       1.5441      0.02086   -6.6613e-16       1.5441
_SET1_   5724          1   28463677   28555447    292      69  462230      0.64686       0.1262   -5.5511e-16      0.64686
_SET1_   2035          1   29178603   29456558   1021      72  462846       1.0384     0.065712   -6.6613e-16       1.0384
_SET1_   7805          1   31195315   31265683    355      77  464829       2.1734    0.0033547   -4.4409e-16       2.1734
_SET1_   1912          1   33779224   33876194    360      44  466556     -0.16122      0.37768   -5.8287e-16     -0.16122
_SET1_   1441          1   36921644   36983915    266      56  472708      0.93912     0.086199   -5.5511e-16      0.93912
_SET1_   10487         1   40470912   40548321    378      27  465309        1.426     0.037726   -6.6613e-16        1.426
_SET1_   5538          1   40528382   40598142    284      33  467246      0.52756      0.17747   -5.5511e-16      0.52756
_SET1_   64744         1   40804378   40898998    349      73  471965      -1.2758       0.7855   -6.6613e-16      -1.2758
_SET1_   59269         1   41962036   42536596   2359     131  468659      0.88066     0.078898   -5.5511e-16      0.88066
_SET1_   114625        1   43247776   43320660    250      63  467920      0.52488      0.15587   -5.5511e-16      0.52488
_SET1_   55182         1   44835837   45127396   1202     176  468476        1.592     0.018042   -6.6613e-16        1.592
_SET1_   57643         1   45472071   45707250    703      73  469151     -0.31961      0.45112   -6.1062e-16     -0.31961
_SET1_   10327         1   45981455   46045723    287      36  467627      -1.5955      0.87411   -6.6613e-16      -1.5955
_SET1_   8569          1   47013079   47104966    382      66  461955      0.10958      0.27034   -5.8287e-16      0.10958
_SET1_   6886          1   47671962   47732938    254      44  468254      0.19466      0.25284   -5.8287e-16      0.19466
_SET1_   9829          1   65685133   65891552    814      68  467080        1.133     0.049346   -6.6613e-16        1.133
_SET1_   84251         1   66964066   67220768   1256      55  468663      0.35922      0.19665   -6.1062e-16      0.35922
_SET1_   26289         1   77712662   78035654   1410     117  473372     -0.85936      0.63858   -5.5511e-16     -0.85936
_SET1_   10964         1   79051067   79121830    248      87  465527       -2.964      0.99357   -4.4409e-16       -2.964
_SET1_   79739         1   84325057   84499850    641      50  467618     -0.70528      0.59439   -5.5511e-16     -0.70528
_SET1_   5586          1   89114876   89311938    841      46  464715      -1.7987      0.91926   -6.6613e-16      -1.7987
_SET1_   84230         1   90063644   90195094    427      50  469376      -1.8868      0.91821   -6.6613e-16      -1.8868
_SET1_   284611        1  109067653  109191949    451      39  464207      0.42837      0.22316   -6.1062e-16      0.42837
_SET1_   2946          1  110175644  110236619    158      43  466936     -0.81084      0.63121   -5.5511e-16     -0.81084
_SET1_   963           1  111378821  111452558    336      37  475742      0.57517      0.15396   -5.5511e-16      0.57517
_SET1_   128338        1  111649954  111717838    304      42  463907     -0.63034      0.59441   -5.5511e-16     -0.63034
_SET1_   128346        1  111981474  112031134    207      47  468628      -1.3271      0.81395   -6.6613e-16      -1.3271
_SET1_   5906          1  112127405  112266807    625      54  472316      -1.1807      0.76506   -6.6613e-16      -1.1807
_SET1_   55917         1  112903800  113013786    362      45  469241      0.27257      0.22803   -6.1062e-16      0.27257
_SET1_   7482          1  112975040  113073910    326      66  472707     -0.49211      0.50244   -6.1062e-16     -0.49211
_SET1_   148281        1  114621914  114731472    591     110  469453      0.54443      0.13819   -5.5511e-16      0.54443
_SET1_   965           1  117047156  117148715    295      84  462497       1.6766     0.015867   -6.6613e-16       1.6766
_SET1_   647135        1  143880897  144104426     34      23  330494     -0.72951      0.64246   -5.5511e-16     -0.72951
