# ALPHA = 0.05
# NUMBER_OF_TESTS = 39

# _SET1_  VARIABLE = Microglia-vascular (set)
# _SET1_  NGENES = 45
# _SET1_  P-VALUE = 4.54419e-05
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   9473       1   28164055   28223196    224      60  460426       1.5547      0.02086   -2.2204e-16       1.5547
_SET1_   963        1  111378821  111452558    336      37  475742      0.58434      0.15396   -1.1102e-16      0.58434
_SET1_   2212       1  161440205  161499360    236      66  462136       1.6704     0.015013   -2.2204e-16       1.6704
_SET1_   4688       1  183514697  183595056    363      57  467843      0.79861      0.09772   -1.1102e-16      0.79861
_SET1_   5788       1  198573098  198736605    737      78  467266     -0.13957      0.38072   -1.3878e-16     -0.13957
_SET1_   1378       1  207634473  207825110    697      88  463997       6.9979    3.139e-14             0       6.9979
_SET1_   55843      2  143851899  144535921   2357     212  469504      0.41174      0.18392   -1.6653e-16      0.41174
_SET1_   6556       2  219211752  219271617    245      71  466047      -1.2765      0.78708   -2.2204e-16      -1.2765
_SET1_   942        3  121739209  121849990    368      84  469994    -0.011189      0.32245   -1.5092e-16    -0.011189
_SET1_   54502      4   40415272   40667958   1105     177  468278     -0.25364      0.40038   -1.6653e-16     -0.25364
_SET1_   7097       4  154570404  154637243    298      52  467285      0.58557      0.14678   -1.1102e-16      0.58557
_SET1_   2533       5   39095354   39305759    936     101  471098      -2.2343      0.96012             0      -2.2343
_SET1_   1462       5   82732493   82888122    642     111  466499      0.91523      0.07548   -1.1102e-16      0.91523
_SET1_   1794       5  169029251  169520386   2325     206  470395       -0.495      0.50162   -1.6653e-16       -0.495
_SET1_   221472     6   36938423   37006845    446      86  465373      -1.1325      0.72727   -2.2204e-16      -1.1325
_SET1_   313        7   36542549   36799154   1209     136  468680       1.7437     0.011402   -2.2204e-16       1.7437
_SET1_   6916       7  139443047  139730125   1245     147  467192       2.0412    0.0056597             0       2.0412
_SET1_   4481       8   15955387   16085300    770      81  468322     -0.34487      0.46042   -1.6653e-16     -0.34487
_SET1_   6503       8  134038973  134150604    628      52  470103      0.69206      0.12163   -1.1102e-16      0.69206
_SET1_   1612       9   90077601   90333566   1430     160  470574     -0.27607      0.40219   -1.6653e-16     -0.27607
_SET1_   6850       9   93529012   93670842    838     115  472623       3.2976   7.2474e-05             0       3.2976
_SET1_   4360      10   18063332   18210091     61      28  251056      0.69326      0.10292   -1.1102e-16      0.69326
_SET1_   54518     10   26692253   26866732    882     100  473028     -0.36582      0.43668   -1.6653e-16     -0.36582
_SET1_   118788    10   98343069   98515279    745     123  469540      0.51178       0.1544   -1.1102e-16      0.51178
_SET1_   6688      11   47366409   47435127    312      40  463802       5.6657   4.8306e-10             0       5.6657
_SET1_   64231     11   59929080   59987139    231      42  470004        5.658        5e-10             0        5.658
_SET1_   58475     11   60110949   60173427    229      37  465992       1.5675     0.022021   -2.2204e-16       1.5675
_SET1_   3587      11  117822106  117882198    249      58  466509      -1.0583       0.7219   -2.2204e-16      -1.0583
_SET1_   120425    11  118054442  118130809    382      36  471306       1.3931     0.034108   -2.2204e-16       1.3931
_SET1_   9332      12    7613412    7691414    300      68  465575     -0.10933      0.36629   -1.5266e-16     -0.10933
_SET1_   64581     12   10259376   10317868    292      44  474776      -1.0609      0.73045   -2.2204e-16      -1.0609
_SET1_   51411     12   51664822   51753446    344      36  467904       2.2334    0.0039639             0       2.2334
_SET1_   3071      12   54856495   54946899    345      76  464714    -0.019427      0.31298   -1.5266e-16    -0.019427
_SET1_   3936      13   46690058   46791459    510      91  469659       2.7264   0.00063614             0       2.7264
_SET1_   79895     15   50140435   50446419   1207     115  469028       2.9748   0.00023136             0       2.9748
_SET1_   3687      16   31331488   31404320    241      43  461330        1.704     0.013632   -2.2204e-16        1.704
_SET1_   23533     17    8772233    8904029    594      83  464454      -1.5478      0.85424   -2.2204e-16      -1.5478
_SET1_   752       17   43264192   43334685    246      79  464170      -1.8608       0.9142   -2.2204e-16      -1.8608
_SET1_   7409      19    6737679    6867377    684     123  471243       0.6209      0.13326   -1.1102e-16       0.6209
_SET1_   84106     19    8544940    8602538    310      44  471486      0.64342      0.14309   -1.1102e-16      0.64342
_SET1_   10288     19   54767675   54820033    219      47  469687        2.865   0.00046778             0        2.865
_SET1_   10859     19   55093384   55159007    418      37  470517       4.2104   2.2035e-06             0       4.2104
_SET1_   3055      20   30604991   30699659    340      67  462155     -0.53492      0.52844   -1.1102e-16     -0.53492
_SET1_   64092     21   15847549   15990723    758     111  470514       0.2654      0.21869   -1.6653e-16       0.2654
_SET1_   27128     22   37643495   37721389    403      94  468184        1.355     0.029677   -2.2204e-16        1.355

# _SET2_  VARIABLE = Perivascular (set)
# _SET2_  NGENES = 59
# _SET2_  P-VALUE = 1.6413e-06
_SET2_   GENE     CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET2_   9473       1   28164055   28223196    224      60  460426       1.5547      0.02086   -2.2204e-16       1.5547
_SET2_   1441       1   36921644   36983915    266      56  472708      0.94759     0.086199   -1.1102e-16      0.94759
_SET2_   963        1  111378821  111452558    336      37  475742      0.58434      0.15396   -1.1102e-16      0.58434
_SET2_   2212       1  161440205  161499360    236      66  462136       1.6704     0.015013   -2.2204e-16       1.6704
_SET2_   5788       1  198573098  198736605    737      78  467266     -0.13957      0.38072   -1.3878e-16     -0.13957
_SET2_   1378       1  207634473  207825110    697      88  463997       6.9979    3.139e-14             0       6.9979
_SET2_   55843      2  143851899  144535921   2357     212  469504      0.41174      0.18392   -1.6653e-16      0.41174
_SET2_   9595       2  158261131  158335604    256      67  465209       1.2699     0.050876   -2.2204e-16       1.2699
_SET2_   6556       2  219211752  219271617    245      71  466047      -1.2765      0.78708   -2.2204e-16      -1.2765
_SET2_   942        3  121739209  121849990    368      84  469994    -0.011189      0.32245   -1.5092e-16    -0.011189
_SET2_   7096       4   38787876   38841814    250      38  475872       1.5052     0.027892   -2.2204e-16       1.5052
_SET2_   54502      4   40415272   40667958   1105     177  468278     -0.25364      0.40038   -1.6653e-16     -0.25364
_SET2_   7097       4  154570404  154637243    298      52  467285      0.58557      0.14678   -1.1102e-16      0.58557
_SET2_   55016      4  164435450  165340093   4305     210  471687      -0.2911      0.41768   -1.6653e-16      -0.2911
_SET2_   2533       5   39095354   39305759    936     101  471098      -2.2343      0.96012             0      -2.2343
_SET2_   10788      5   75664131   76013957   1606     195  470319       2.9499   0.00026243             0       2.9499
_SET2_   170591     5   76110826   76227056    503      68  463985      0.33023      0.20193   -1.6653e-16      0.33023
_SET2_   1462       5   82732493   82888122    642     111  466499      0.91523      0.07548   -1.1102e-16      0.91523
_SET2_   1794       5  169029251  169520386   2325     206  470395       -0.495      0.50162   -1.6653e-16       -0.495
_SET2_   221472     6   36938423   37006845    446      86  465373      -1.1325      0.72727   -2.2204e-16      -1.1325
_SET2_   313        7   36542549   36799154   1209     136  468680       1.7437     0.011402   -2.2204e-16       1.7437
_SET2_   22797      7  115565202  115834950   1041      69  464616      -1.4131      0.82004   -2.2204e-16      -1.4131
_SET2_   6916       7  139443047  139730125   1245     147  467192       2.0412    0.0056597             0       2.0412
_SET2_   4481       8   15955387   16085300    770      81  468322     -0.34487      0.46042   -1.6653e-16     -0.34487
_SET2_   6503       8  134038973  134150604    628      52  470103      0.69206      0.12163   -1.1102e-16      0.69206
_SET2_   1612       9   90077601   90333566   1430     160  470574     -0.27607      0.40219   -1.6653e-16     -0.27607
_SET2_   6850       9   93529012   93670842    838     115  472623       3.2976   7.2474e-05             0       3.2976
_SET2_   89846      9   95674601   95808518    601      59  473363       1.2841     0.039753   -2.2204e-16       1.2841
_SET2_   4360      10   18063332   18210091     61      28  251056      0.69326      0.10292   -1.1102e-16      0.69326
_SET2_   54518     10   26692253   26866732    882     100  473028     -0.36582      0.43668   -1.6653e-16     -0.36582
_SET2_   118788    10   98343069   98515279    745     123  469540      0.51178       0.1544   -1.1102e-16      0.51178
_SET2_   6688      11   47366409   47435127    312      40  463802       5.6657   4.8306e-10             0       5.6657
_SET2_   64231     11   59929080   59987139    231      42  470004        5.658        5e-10             0        5.658
_SET2_   643680    11   59958726   60045575    340      31  474254       6.2296   1.6254e-11             0       6.2296
_SET2_   51338     11   60013014   60086445    270      40  476507       7.6723   1.3771e-18             0       7.6723
_SET2_   58475     11   60110949   60173427    229      37  465992       1.5675     0.022021   -2.2204e-16       1.5675
_SET2_   3587      11  117822106  117882198    249      58  466509      -1.0583       0.7219   -2.2204e-16      -1.0583
_SET2_   120425    11  118054442  118130809    382      36  471306       1.3931     0.034108   -2.2204e-16       1.3931
_SET2_   9332      12    7613412    7691414    300      68  465575     -0.10933      0.36629   -1.5266e-16     -0.10933
_SET2_   64581     12   10259376   10317868    292      44  474776      -1.0609      0.73045   -2.2204e-16      -1.0609
_SET2_   3071      12   54856495   54946899    345      76  464714    -0.019427      0.31298   -1.5266e-16    -0.019427
_SET2_   3936      13   46690058   46791459    510      91  469659       2.7264   0.00063614             0       2.7264
_SET2_   342184    15   33047745   33521934   2933     224  468683      0.73309      0.10981   -1.1102e-16      0.73309
_SET2_   79895     15   50140435   50446419   1207     115  469028       2.9748   0.00023136             0       2.9748
_SET2_   3687      16   31331488   31404320    241      43  461330        1.704     0.013632   -2.2204e-16        1.704
_SET2_   23533     17    8772233    8904029    594      83  464454      -1.5478      0.85424   -2.2204e-16      -1.5478
_SET2_   752       17   43264192   43334685    246      79  464170      -1.8608       0.9142   -2.2204e-16      -1.8608
_SET2_   342510    17   72596022   72654897    302      41  470990      0.33776      0.21101   -1.6653e-16      0.33776
_SET2_   7409      19    6737679    6867377    684     123  471243       0.6209      0.13326   -1.1102e-16       0.6209
_SET2_   84106     19    8544940    8602538    310      44  471486      0.64342      0.14309   -1.1102e-16      0.64342
