# ALPHA = 0.05
# NUMBER_OF_TESTS = 43

# _SET1_  VARIABLE = Microglia-activated (set)
# _SET1_  NGENES = 898
# _SET1_  P-VALUE = 4.85207e-05
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   6497          1    2125134    2251652    592     106  464827      -1.8112       0.9023             0      -1.8112
_SET1_   6518          1    9087005    9166763    414      55  471932       1.6815     0.015801             0       1.6815
_SET1_   5293          1    9676789    9799172    556      86  461632       1.4485     0.027153             0       1.4485
_SET1_   23095         1   10235606   10451664    906      39  473632      0.28016      0.24746   -5.5511e-17      0.28016
_SET1_   7133          1   12192044   12279279    383      67  470965    -0.062064      0.34267   -3.4694e-17    -0.062064
_SET1_   9249          1   12617939   12712820    532      93  469229     0.026825      0.29954   -3.1225e-17     0.026825
_SET1_   23254         1   14184646   15454544   6947     501  468615       1.4227     0.021563             0       1.4227
_SET1_   55092         1   15444028   15556974    795      59  473443     -0.97034        0.688             0     -0.97034
_SET1_   11240         1   17383256   17480948    580      58  475303     -0.54959      0.52805             0     -0.54959
_SET1_   55920         1   17723251   17801250    394      51  463683      -1.0532      0.71423             0      -1.0532
_SET1_   84966         1   18399240   18714977   1717     250  467668       -1.977      0.93461             0       -1.977
_SET1_   832           1   19655267   19847066    991      76  470928       0.7104      0.11252             0       0.7104
_SET1_   440574        1   19888471   19966315    368      35  470132       1.7482     0.017059             0       1.7482
_SET1_   1889          1   21533740   21707034    822     104  467306       0.2895      0.21513   -5.5511e-17       0.2895
_SET1_   712           1   22928118   22976175    251      49  463295      -1.0669      0.71913             0      -1.0669
_SET1_   714           1   22934969   22984603    247      47  464206      -1.0958       0.7274             0      -1.0958
_SET1_   713           1   22944682   22998130    232      44  468518     -0.81678      0.63491             0     -0.81678
_SET1_   6195          1   26821249   26911520    323      52  464996       0.8383     0.095705             0       0.8383
_SET1_   10163         1   27720734   27851678    406      58  464277      0.87854        0.102             0      0.87854
_SET1_   9473          1   28164055   28223196    224      60  460426       1.5547      0.02086             0       1.5547
_SET1_   5724          1   28463677   28555447    292      69  462230      0.65733       0.1262             0      0.65733
