# ALPHA = 0.05
# NUMBER_OF_TESTS = 45

# _SET1_  VARIABLE = Perivascular (set)
# _SET1_  NGENES = 102
# _SET1_  P-VALUE = 0.000199639
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   7133       1   12192044   12279279    383      67  470965    -0.072167      0.34267    4.1633e-17    -0.072167
_SET1_   2268       1   27928800   27996727    258      55  461684     -0.33005      0.51425    5.5511e-17     -0.33005
_SET1_   9473       1   28164055   28223196    224      60  460426       1.5441      0.02086             0       1.5441
_SET1_   7805       1   31195315   31265683    355      77  464829       2.1734    0.0033547             0       2.1734
_SET1_   963        1  111378821  111452558    336      37  475742      0.57517      0.15396             0      0.57517
_SET1_   1520       1  150692672  150773433    211      36  468102      0.22777      0.25026    2.7756e-17      0.22777
_SET1_   2212       1  161440205  161499360    236      66  462136       1.6584     0.015013             0       1.6584
_SET1_   92241      1  167564474  167687933    705     121  467171        1.696     0.013345             0        1.696
_SET1_   5788       1  198573098  198736605    737      78  467266     -0.14536      0.38072    2.7756e-17     -0.14536
_SET1_   1378       1  207634473  207825110    697      88  463997       6.9888    3.139e-14             0       6.9888
_SET1_   9938       2   68926913   69063965    687      79  472617       1.0765     0.054897             0       1.0765
_SET1_   8942       2  143471497  143809885   1393      89  470082       1.6882     0.015059             0       1.6882
_SET1_   55843      2  143851899  144535921   2357     212  469504      0.40638      0.18392    5.5511e-17      0.40638
_SET1_   3676       2  182286619  182412474    518      86  465156     -0.62104      0.53631             0     -0.62104
_SET1_   6556       2  219211752  219271617    245      71  466047       -1.288      0.78708             0       -1.288
_SET1_   6672       2  231245871  231420317    822      77  469351     -0.36462      0.43312    5.5511e-17     -0.36462
_SET1_   7048       3   30612994   30745634    606     105  469019     -0.11108      0.34047    4.1633e-17     -0.11108
_SET1_   112616     3   32398163   32506333    599      80  473517      0.89422      0.08021             0      0.89422
_SET1_   23166      3   52494354   52568512    295      47  466922      -0.3534       0.4751    5.5511e-17      -0.3534
_SET1_   253559     3   84973133   86133579   5090     136  466522      -1.8455      0.90415             0      -1.8455
_SET1_   3059       3  121340246  121414791    256      39  465374      -1.9992      0.93841             0      -1.9992
_SET1_   942        3  121739209  121849990    368      84  469994    -0.021742      0.32245    3.4694e-17    -0.021742
_SET1_   54625      3  122364672  122459687    454      55  471854     -0.95419      0.68567             0     -0.95419
