# ALPHA = 0.05
# NUMBER_OF_TESTS = 44

# _SET1_  VARIABLE = Perivascular-FB-KAZN2 (set)
# _SET1_  NGENES = 1286
# _SET1_  P-VALUE = 0.000330323
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   23261         1    6845384    7829766   4336     358  469781     0.093823      0.26817    7.6328e-16     0.093823
_SET1_   22883         1    9789079    9884550    451      35  449731      -1.1058      0.79808    6.6613e-16      -1.1058
_SET1_   23095         1   10270606   10441664    689      35  473689      0.20972      0.26977    7.7716e-16      0.20972
_SET1_   23254         1   14219646   15444544   6679     495  468521       1.3081     0.030734    6.6613e-16       1.3081
_SET1_   998           1   22379120   22419439    153      39  470517       1.2523     0.053058    6.6613e-16       1.2523
_SET1_   10772         1   24292935   24306953     12       5  474361       3.3217   0.00016514    8.8818e-16       3.3217
_SET1_   57134         1   25943959   26111258    659      73  461956     -0.29946      0.46309    7.7716e-16     -0.29946
_SET1_   8289          1   27022522   27108601    206      39  458694      0.70697      0.14181    7.7716e-16      0.70697
_SET1_   23673         1   28099694   28150963    159      30  454096      0.14922      0.36301    7.7716e-16      0.14922
_SET1_   2140          1   28296855   28415173    437      49  472328     -0.80444      0.65912    7.7716e-16     -0.80444
_SET1_   65979         1   28696093   28826881    524      25  467814        2.869   0.00055816    8.8818e-16        2.869
_SET1_   8073          1   32372022   32403988    117      24  457183     -0.29176      0.50302    7.7716e-16     -0.29176
_SET1_   10657         1   32479295   32526460    101      67  459741      0.87426      0.11519    7.7716e-16      0.87426
_SET1_   22955         1   41492871   41707815    786      53  467137      -1.2887      0.80386    6.6613e-16      -1.2887
_SET1_   55182         1   44870837   45117396   1031     132  467875        1.675     0.015766    6.6613e-16        1.675
_SET1_   57643         1   45482071   45672250    541      51  469539     -0.12319      0.39367    7.6328e-16     -0.12319
_SET1_   10420         1   45809555   45956840    429      42  460110      -1.6435      0.88947    6.6613e-16      -1.6435
_SET1_   4678          1   46049660   46084578    136      22  467611      -2.0026      0.95116    8.8818e-16      -2.0026
_SET1_   8503          1   46505812   46642167    461      55  467848     -0.80529       0.6381    7.7716e-16     -0.80529
_SET1_   54558         1   48761044   48937876    702      58  460673       1.2252     0.053257    6.6613e-16       1.2252
_SET1_   9528          1   54497346   54519135     67      23  465908        1.375        0.047    6.6613e-16        1.375
_SET1_   1600          1   57460453   58716211   5805     340  467497      0.23357      0.22632    7.7716e-16      0.23357
_SET1_   84938         1   63249777   63330941    291      31  467536     -0.21003        0.412    7.7716e-16     -0.21003
_SET1_   9829          1   65720133   65881552    630      61  466789      0.87848     0.087333    7.7716e-16      0.87848
_SET1_   5142          1   66258193   66840262   2322     165  467219     -0.59652      0.54056    7.7716e-16     -0.59652
_SET1_   84251         1   66999066   67210768    990      49  468664      0.35883      0.20531    7.7716e-16      0.35883
_SET1_   57554         1   70033230   70589171   2299     143  466918       1.0837     0.056929    6.6613e-16       1.0837
_SET1_   26289         1   77747662   78025654   1260     109  474810      -1.0914      0.73229    6.6613e-16      -1.0914
_SET1_   23266         1   82266082   82458107    828      83  469423      0.80541      0.10264    7.7716e-16      0.80541
_SET1_   79739         1   84335057   84464850    454      36  464859     -0.42677      0.50331    7.7716e-16     -0.42677
_SET1_   5567          1   84543745   84704181    435      66  464042      -0.3688      0.46017    7.7716e-16      -0.3688
_SET1_   51100         1   87170253   87213867    137      39  471385     -0.24486      0.45151    7.7716e-16     -0.24486
_SET1_   9653          1   87380335   87575681    751      40  469987      0.68575      0.14665    7.7716e-16      0.68575
_SET1_   23507         1   89989933   90063420    253      26  476320     -0.69764      0.60418    7.7716e-16     -0.69764
_SET1_   84230         1   90098644   90185094    264      35  468980      -1.7149      0.89496    6.6613e-16      -1.7149
_SET1_   55144         1   90286573   90401991    351      80  468717      0.48172      0.17829    7.7716e-16      0.48172
_SET1_   284695        1   90460678   90494101     82      35  471993      0.39203      0.21961    7.7716e-16      0.39203
_SET1_   84146         1   91380855   91487812    308      41  471084      -0.1038      0.39104    7.6328e-16      -0.1038
_SET1_   7049          1   92145900   92371559    979      98  474172      0.35573      0.19845    7.7716e-16      0.35573
_SET1_   284697        1   92545862   92613397    235      44  467941      -1.2717      0.79954    6.6613e-16      -1.2717
_SET1_   388650        1   93298286   93427079    389      33  466436       1.6371     0.019936    6.6613e-16       1.6371
_SET1_   54874         1   93913688   94020218    332      72  457632     0.021816      0.33854    7.6675e-16     0.021816
_SET1_   5825          1   94883933   94984219    245      61  464669      -1.9609      0.93232    6.6613e-16      -1.9609
_SET1_   2152          1   94994732   95007413     47      18  465221      -2.4025      0.97621    8.8818e-16      -2.4025
_SET1_   58155         1   97187161   97280605    342      47  464307     -0.20775      0.40732    7.7716e-16     -0.20775
_SET1_   1806          1   97543299   98386615   3356     227  468480     -0.63722      0.56804    7.7716e-16     -0.63722
_SET1_   1301          1  103342023  103574052   1286      56  469960     -0.18892        0.409    7.7716e-16     -0.18892
_SET1_   6814          1  109289285  109352148    272      22  471973      -0.5427      0.55877    7.7716e-16      -0.5427
_SET1_   29899         1  109417972  109473044    200      40  468711       1.4059     0.034172    6.6613e-16       1.4059
_SET1_   6272          1  109852187  109940563    237      48  455818     -0.89325      0.67609    7.7716e-16     -0.89325
_SET1_   5906          1  112162405  112256807    436      46  472689      -1.1367      0.75975    6.6613e-16      -1.1367
_SET1_   55917         1  112938800  113003786    209      19  475516      0.10661      0.30729    7.6328e-16      0.10661
_SET1_   9860          1  113615792  113667824    183      47  463401      0.50099      0.18921    7.7716e-16      0.50099
_SET1_   260425        1  113933087  114228545    897      75  461698      -0.6375      0.56892    7.7716e-16      -0.6375
_SET1_   51592         1  114935399  115053781    459      50  467719       1.5876     0.023901    6.6613e-16       1.5876
_SET1_   7812          1  115259534  115300671    147      42  461732     -0.40755      0.49436    7.7716e-16     -0.40755
_SET1_   55356         1  116519119  116612675    345      52  469053      0.88769      0.10031    7.7716e-16      0.88769
_SET1_   476           1  116914802  116948069    102      23  463733       1.1201     0.088976    6.6613e-16       1.1201
_SET1_   10905         1  117910085  118068320    605      50  468801     -0.64675      0.58395    7.7716e-16     -0.64675
_SET1_   8515          1  145524709  145543868     43      22  411569    -0.014602      0.33372    7.6501e-16    -0.014602
_SET1_   56957         1  149912229  149982686    223      37  458221       -1.342      0.84553    6.6613e-16       -1.342
_SET1_   7170          1  154127780  154164611     89      27  451259      0.12077      0.28585    7.6328e-16      0.12077
_SET1_   23208         1  155829260  155854990     66      25  458793       1.3116     0.045809    6.6613e-16       1.3116
_SET1_   9181          1  155916431  155953396     90      31  447891     -0.66351      0.60698    7.7716e-16     -0.66351
_SET1_   477           1  160085520  160113381    131      40  475186     -0.56717      0.55769    7.7716e-16     -0.56717
_SET1_   4921          1  162602228  162756409    620      62  469217      -0.1966      0.42411    7.7716e-16      -0.1966
_SET1_   481           1  169075947  169101960    134      33  474383     0.052023      0.30347    7.6328e-16     0.052023
_SET1_   5396          1  170633313  170708541    252      54  457264      -2.5283      0.98197    8.8818e-16      -2.5283
_SET1_   2327          1  171154388  171181822    176      25  478432      -1.1539      0.77351    6.6613e-16      -1.1539
_SET1_   26052         1  171810618  172387606   2254     139  467183      0.66046      0.12336    7.7716e-16      0.66046
_SET1_   460           1  176826441  177134024   1203     120  459353       1.3116     0.038017    6.6613e-16       1.3116
_SET1_   9213          1  180601146  180859415   1144      42  458336     -0.15127      0.40742    7.7716e-16     -0.15127
_SET1_   3915          1  182992572  183114727    625      28  471059      0.26283      0.23942    7.7716e-16      0.26283
_SET1_   9887          1  183441506  183523328    215      75  461683       1.0551      0.06735    6.6613e-16       1.0551
_SET1_   23127         1  183898988  184006904    575      91  461406     -0.49861      0.51053    7.7716e-16     -0.49861
_SET1_   116461        1  184020811  184043346    144      11  449197      0.70966      0.17661    7.7716e-16      0.70966
_SET1_   81563         1  184356150  184598155   1052      84  462159      0.47488      0.18038    7.7716e-16      0.47488
_SET1_   54953         1  186344890  186390503    148      42  464893     -0.58806      0.56429    7.7716e-16     -0.58806
_SET1_   6738          1  193028552  193060907    100      34  455492     -0.48588      0.53658    7.7716e-16     -0.48588
_SET1_   343450        1  196194913  196577690   1373      72  433544     -0.73471      0.62268    7.7716e-16     -0.73471
_SET1_   3075          1  196621008  196716634    434      46  465899      0.34453      0.21524    7.7716e-16      0.34453
_SET1_   23418         1  197170592  197447585    903     118  456134      0.59263       0.1457    7.7716e-16      0.59263
_SET1_   23271         1  200708686  200829832    401      57  470400     -0.14193       0.3922    7.7716e-16     -0.14193
_SET1_   89796         1  201508243  201796102   1273     168  468951      -0.1405      0.37474    7.7716e-16      -0.1405
_SET1_   493           1  203595915  203713209    512      91  465774      -1.9187      0.93031    6.6613e-16      -1.9187
_SET1_   5287          1  204391756  204463943    361      55  464919      -1.9397      0.93568    6.6613e-16      -1.9397
_SET1_   23114         1  204797782  204991950   1018     111  465436       1.2858     0.041064    6.6613e-16       1.2858
_SET1_   6900          1  205012340  205047173    185      36  474477       2.6801   0.00090337    8.8818e-16       2.6801
_SET1_   5129          1  205473684  205501921    165      54  470661       1.4378     0.029916    6.6613e-16       1.4378
_SET1_   4179          1  207925383  207968861    152      32  465626       1.8422     0.011041    6.6613e-16       1.8422
_SET1_   255928        1  210111519  210337636    854      56  466392       1.8572     0.010968    6.6613e-16       1.8572
_SET1_   55758         1  211432708  211489727    225      44  475778     -0.59356      0.58049    7.7716e-16     -0.59356
_SET1_   9926          1  211916799  212048531    590      54  472296      -1.1962      0.78316    6.6613e-16      -1.1962
_SET1_   25936         1  212899495  212965139    352      27  473827      0.91786     0.094317    7.7716e-16      0.91786
_SET1_   3776          1  215178885  215410436   1018      72  469206     -0.39933      0.46921    7.7716e-16     -0.39933
_SET1_   2104          1  216676588  217311097   3043     254  470566      0.18021      0.25185    7.7716e-16      0.18021
_SET1_   4139          1  220701568  220837799    458      49  463980      0.71892       0.1373    7.7716e-16      0.71892
_SET1_   55740         1  225674534  225840845    545      44  467773     -0.53306      0.56679    7.7716e-16     -0.53306
_SET1_   9725          1  226033233  226070420    159      32  468666      0.38676      0.21556    7.7716e-16      0.38676
_SET1_   3707          1  226819391  226927028    396      89  454826       1.7756     0.012709    6.6613e-16       1.7756
_SET1_   2590          1  230202956  230417875   1154     123  472208      0.16306      0.26071    7.7716e-16      0.16306
_SET1_   79573         1  231041987  231114618    350      37  475585      -0.8522      0.65645    7.7716e-16      -0.8522
_SET1_   54583         1  231499497  231560790    335      16  473357       2.3354    0.0033216    8.8818e-16       2.3354
