# ALPHA = 0.05
# NUMBER_OF_TESTS = 7

# _SET1_  VARIABLE = Microglia (set)
# _SET1_  NGENES = 285
# _SET1_  P-VALUE = 0.00143028
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   8514       1    6052358    6161253    541      89  465632      0.29987      0.22385     4.996e-16      0.29987
_SET1_   7133       1   12227044   12269279    186      40  470837      0.46287       0.1881     4.996e-16      0.46287
_SET1_   9473       1   28199055   28213196     72      19  469517        1.339     0.038338    4.4409e-16        1.339
_SET1_   1441       1   36931644   36948915     73      32  467036      0.11842      0.29422    5.1348e-16      0.11842
_SET1_   64744      1   40839378   40888998    173      48  472830      -1.6863      0.89478    4.4409e-16      -1.6863
_SET1_   5142       1   66258193   66840262   2322     165  467219     -0.59797      0.54056    5.5511e-16     -0.59797
_SET1_   1806       1   97543299   98386615   3356     227  468480     -0.63341      0.56804    5.5511e-16     -0.63341
_SET1_   10451      1  108113782  108507545   1881     139  469531      -2.0379       0.9401    4.4409e-16      -2.0379
_SET1_   963        1  111413821  111442558    110      21  474791      -1.0515      0.73283    4.4409e-16      -1.0515
_SET1_   4853       1  120454176  120639880    253      36  454915     -0.19105      0.44077     4.996e-16     -0.19105
_SET1_   1520       1  150702672  150738433    100      24  463078      0.25387      0.24668     4.996e-16      0.25387
_SET1_   2212       1  161475205  161489360     56      16  474844       1.6134     0.022163    4.4409e-16       1.6134
_SET1_   9462       1  178062864  178448649   1175      61  462888       -1.445      0.85627    4.4409e-16       -1.445
_SET1_   80896      1  182758584  182799519    169      38  472282     -0.37758      0.51987     4.996e-16     -0.37758
_SET1_   4688       1  183524697  183560056    148      46  468951       1.2213     0.044995    4.4409e-16       1.2213
_SET1_   23179      1  183605208  183897666   1229     103  468788      -0.7238      0.58945    5.5511e-16      -0.7238
_SET1_   5788       1  198608098  198726605    484      72  463424    -0.047783      0.35037    5.0654e-16    -0.047783
_SET1_   1378       1  207669473  207815110    462      62  463432       6.4389   3.0422e-12    8.8818e-16       6.4389
_SET1_   8476       1  227177566  227506193   1868      38  473088      0.30796      0.22295     4.996e-16      0.30796
_SET1_   10000      1  243651535  244014381   1012      65  463186       2.4058    0.0023286    4.4409e-16       2.4058
_SET1_   81553      2   16730727   16847134    494     122  466423     -0.85823      0.65549    5.5511e-16     -0.85823
_SET1_   10890      2   26256729   26360323    382      38  469199     -0.53171       0.5576    5.5511e-16     -0.53171
_SET1_   79745      2   29320542   29406679    391      54  462299      0.93929     0.082877    5.5511e-16      0.93929
_SET1_   6546       2   40339286   40739575   1992     174  470357      0.34216      0.20646     4.996e-16      0.34216
_SET1_   2034       2   46524541   46613842    381      69  465207      -2.0344      0.93737    4.4409e-16      -2.0344
_SET1_   6711       2   54683454   54898583   1005      63  469320     0.049631      0.30728    5.0654e-16     0.049631
_SET1_   5966       2   61108709   61171410    151      55  460158       0.3202      0.21975     4.996e-16       0.3202
_SET1_   9938       2   68961913   69053965    481      64  474788      0.98254     0.070732    5.5511e-16      0.98254
_SET1_   55577      2   71295408   71305998     47      17  466476      -1.5103        0.871    4.4409e-16      -1.5103
_SET1_   200424     2   74212211   74335303    389      46  466459     -0.61739      0.57525    5.5511e-16     -0.61739
_SET1_   284996     2  101887681  101925178    117      40  465017      -1.3467      0.81479    4.4409e-16      -1.3467
_SET1_   344148     2  133429361  134399118   4142     301  468561       2.1159    0.0045803    4.4409e-16       2.1159
_SET1_   8942       2  143506497  143799885   1192      85  469771        1.696     0.015692    4.4409e-16        1.696
_SET1_   55843      2  143886899  144525921   2184     208  469500     -0.20542      0.39545     4.996e-16     -0.20542
_SET1_   9839       2  145141942  145277958    347      97  465981       1.1021     0.061476    4.4409e-16       1.1021
_SET1_   114793     2  153191684  153506348   1394     122  467650      0.32124      0.20944     4.996e-16      0.32124
_SET1_   9595       2  158271131  158300604    109      35  463161      0.27882      0.27653     4.996e-16      0.27882
_SET1_   85461      2  159825146  160089170   1156      96  471970       -0.378      0.46365     4.996e-16       -0.378
_SET1_   22837      2  165536695  165698678    729      62  471493     -0.61874      0.56181    5.5511e-16     -0.61874
_SET1_   151556     2  175296299  175351816    165      37  468758       1.4957     0.024925    4.4409e-16       1.4957
_SET1_   3676       2  182321619  182402474    339      60  467733      -1.1115      0.73434    4.4409e-16      -1.1115
_SET1_   10787      2  183789579  183903586    448      53  467502      -1.9479      0.94177    4.4409e-16      -1.9479
_SET1_   9262       2  196998307  197036336    173      26  469516     -0.88208      0.67415    5.5511e-16     -0.88208
_SET1_   117583     2  205410516  206484886   4471     260  465712      0.33665      0.21542     4.996e-16      0.33665
_SET1_   7145       2  218664512  218808796    634     118  472136      -1.7454      0.89442    4.4409e-16      -1.7454
_SET1_   6556       2  219246752  219261617     49      21  463643      0.14526      0.29267     4.996e-16      0.14526
_SET1_   55619      2  225629807  225907330   1209     114  464551       2.2856    0.0028366    4.4409e-16       2.2856
_SET1_   8527       2  234263149  234380744    437      67  468402       3.1677   0.00015412    4.4409e-16       3.1677
_SET1_   9208       2  238536224  238690290   1065      86  467042      0.36643      0.20692     4.996e-16      0.36643
_SET1_   10533      3   11314010   11599139   1027      53  466871      -2.3862      0.97369    4.4409e-16      -2.3862
_SET1_   23228      3   16974582   17132098    591      49  467139      -1.3441      0.81465    4.4409e-16      -1.3441
_SET1_   27303      3   29322351   30051886   3885     241  471460       0.3183      0.21424     4.996e-16       0.3183
_SET1_   112616     3   32433163   32496333    314      55  470292       0.1662      0.26068     4.996e-16       0.1662
_SET1_   25924      3   39850405   40301812   2219     124  467048        0.452      0.16896     4.996e-16        0.452
_SET1_   23166      3   52529354   52558512    111      36  470216     -0.50508      0.53473    5.5511e-16     -0.50508
_SET1_   5793       3   61547243   62280573   3642     294  468475      -1.8327      0.91213    4.4409e-16      -1.8327
_SET1_   23150      3   69219146   69435430   1031     122  468890     -0.98057      0.69351    5.5511e-16     -0.98057
_SET1_   23024      3   73431582   73674072   1008     146  467848    -0.088864      0.34808    5.1348e-16    -0.088864
_SET1_   26137      3  114033348  114866132   2782     205  464158      -1.0985       0.7494    4.4409e-16      -1.0985
_SET1_   3059       3  121350246  121379791    114      27  465434      -2.2192      0.96173    4.4409e-16      -2.2192
_SET1_   55840      3  121554030  121605373    191      27  471187      -2.2095      0.96342    4.4409e-16      -2.2095
_SET1_   942        3  121774209  121839990    207      61  469943     0.081756      0.30412    5.1348e-16     0.081756
_SET1_   8997       3  123813558  124440036   3001     186  468685      0.75644      0.10267    5.5511e-16      0.75644
_SET1_   285195     3  142984063  143567373   2580     254  471693   -0.0084629      0.32353    5.0654e-16   -0.0084629
_SET1_   25937      3  149235022  149421060    890     131  473254     -0.27098      0.42296     4.996e-16     -0.27098
_SET1_   2122       3  168801287  169381563   2626     219  470564      0.10111      0.29014    5.1348e-16      0.10111
_SET1_   57533      4    6911171    7034845    641      45  470151        1.005     0.075053    4.4409e-16        1.005
_SET1_   54436      4    8201060    8242830    262      70  467921      0.15417       0.2604     4.996e-16      0.15417
_SET1_   54502      4   40425272   40632958    904     165  469600      0.10565      0.28281    5.1348e-16      0.10565
