# ALPHA = 0.05
# NUMBER_OF_TESTS = 46

# _SET1_  VARIABLE = Oligo-B (set)
# _SET1_  NGENES = 1583
# _SET1_  P-VALUE = 0.000851594
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   643965        1    1361508    1363167     10       5  466340      -1.2906      0.85582    1.3323e-15      -1.2906
_SET1_   5590          1    1981909    2116834    784      65  466216       -1.808      0.91207    1.3323e-15       -1.808
_SET1_   9651          1    2407754    2436964    163      53  448738      -1.0498      0.72189    1.3323e-15      -1.0498
_SET1_   473           1    8412464    8877699   1290      69  465044       2.2537    0.0033631    1.3323e-15       2.2537
_SET1_   80176         1    9335202    9429591    611     116  473250      -1.2317      0.77128    1.3323e-15      -1.2317
_SET1_   10277         1   10093041   10241297    544      46  470117      -0.6864      0.64723    1.2212e-15      -0.6864
_SET1_   23095         1   10270606   10441664    689      35  473689      0.20972      0.26977    1.2212e-15      0.20972
_SET1_   84301         1   15943953   15995539    174      24  468814     -0.43247      0.51604    1.2212e-15     -0.43247
_SET1_   11240         1   17393256   17445948    338      34  476755     -0.75497      0.61608    1.2212e-15     -0.75497
_SET1_   55450         1   20808884   20812728     10       6  427038     -0.60567      0.66512    1.2212e-15     -0.60567
_SET1_   1889          1   21543740   21672034    601      86  464758     -0.17206      0.39088    1.2212e-15     -0.17206
_SET1_   2048          1   23037263   23241823    937     139  463425     -0.48025      0.50291    1.2212e-15     -0.48025
_SET1_   7798          1   23410516   23504301    261      43  469949      -1.4743      0.85261    1.3323e-15      -1.4743
_SET1_   57185         1   24742245   24799473    307      43  467441      0.12197      0.28306    1.2212e-15      0.12197
_SET1_   10250         1   24969594   24999772     66      33  469892     -0.56529      0.58855    1.2212e-15     -0.56529
_SET1_   26119         1   25870071   25895377    133      30  466328      -0.7027      0.61112    1.2212e-15      -0.7027
_SET1_   3925          1   26210670   26233368     57      19  456734       1.9237    0.0092554    1.3323e-15       1.9237
_SET1_   64793         1   26560644   26605529    204      30  454610      0.31436      0.23009    1.2212e-15      0.31436
_SET1_   9410          1   31732415   31769644    146      22  470278      0.70102      0.13302    1.2212e-15      0.70102
_SET1_   1307          1   32117848   32169768    207      66  463494      0.42891      0.18357    1.2212e-15      0.42891
_SET1_   8073          1   32372022   32403988    117      24  457183     -0.29176      0.50302    1.2212e-15     -0.29176
_SET1_   65108         1   32799430   32801840      3       2  459384     -0.98007       0.8464    1.2212e-15     -0.98007
_SET1_   113451        1   33546711   33586132    137      42  459625      0.16516      0.29455    1.2212e-15      0.16516
_SET1_   55223         1   33611000   33647671    148      27  466836       1.1788     0.057883    1.3323e-15       1.1788
_SET1_   1912          1   33789224   33841194    215      45  464617     -0.35704      0.45768    1.2212e-15     -0.35704
_SET1_   55700         1   36621751   36646450     64      23  462788      0.54613      0.17048    1.2212e-15      0.54613
_SET1_   127687        1   38273473   38275126      2       1  468650      -1.0542      0.89027    1.3323e-15      -1.0542
_SET1_   54933         1   39350614   39407456    272      54  468053     -0.33744      0.45035    1.2212e-15     -0.33744
_SET1_   79647         1   39456916   39471737     63      15  473022       1.9805    0.0085154    1.3323e-15       1.9805
_SET1_   1298          1   40766162   40782939     96      26  460739     -0.15963      0.42502    1.2212e-15     -0.15963
_SET1_   64834         1   43829068   43833745      8       5  424855      -1.4305      0.89651    1.3323e-15      -1.4305
_SET1_   5792          1   43991708   44089343    463      48  459273       2.1189    0.0049543    1.3323e-15       2.1189
_SET1_   9670          1   44412478   44433694     44      14  463532     -0.28898      0.48011    1.2212e-15     -0.28898
_SET1_   55182         1   44870837   45117396   1031     132  467875        1.675     0.015766    1.3323e-15        1.675
_SET1_   10420         1   45809555   45956840    429      42  460110      -1.6435      0.88947    1.3323e-15      -1.6435
_SET1_   4678          1   46049660   46084578    136      22  467611      -2.0026      0.95116    1.3323e-15      -2.0026
_SET1_   8503          1   46505812   46642167    461      55  467848     -0.80529       0.6381    1.2212e-15     -0.80529
_SET1_   541468        1   46669006   46686928     46      24  471325     -0.70411      0.62842    1.2212e-15     -0.70411
_SET1_   54558         1   48761044   48937876    702      58  460673       1.2252     0.053257    1.3323e-15       1.2252
_SET1_   84871         1   48998527   50489626   4462     138  458219      0.27288      0.22423    1.2212e-15      0.27288
_SET1_   2060          1   51819935   51985026    711      42  471701        1.847     0.015429    1.3323e-15        1.847
_SET1_   114883        1   52082546   52254891    499      68  459943     -0.46294      0.55006    1.2212e-15     -0.46294
_SET1_   55268         1   53361582   53392846     86      37  456187      -0.4232      0.50354    1.2212e-15      -0.4232
_SET1_   9528          1   54497346   54519135     67      23  465908        1.375        0.047    1.3323e-15        1.375
_SET1_   23648         1   54691104   54872068    813     138  465304     -0.13539      0.36798    1.2212e-15     -0.13539
_SET1_   1718          1   55315300   55352921    190      38  465236     -0.91124      0.68066    1.2212e-15     -0.91124
_SET1_   114803        1   59120411   59165747    257      25  468246       1.1712     0.055343    1.3323e-15       1.1712
_SET1_   1573          1   60358980   60392445    102      29  469032      0.16775      0.29207    1.2212e-15      0.16775
_SET1_   163782        1   62701837   62785083    496      45  473066    -0.089354      0.35387    1.2212e-15    -0.089354
_SET1_   85440         1   62920397   63154039    655      46  463161       1.8812     0.010581    1.3323e-15       1.8812
_SET1_   84938         1   63249777   63330941    291      31  467536     -0.21003        0.412    1.2212e-15     -0.21003
_SET1_   4919          1   64239690   64647181   1608     175  466269     0.041763      0.30476    1.2282e-15     0.041763
_SET1_   57685         1   64936476   65158741    773     140  469202      0.30043       0.2397    1.2212e-15      0.30043
_SET1_   9829          1   65720133   65881552    630      61  466789      0.87848     0.087333    1.2212e-15      0.87848
_SET1_   5142          1   66258193   66840262   2322     165  467219     -0.59652      0.54056    1.2212e-15     -0.59652
_SET1_   79971         1   68564142   68698284    717     110  474021     -0.59218      0.54449    1.2212e-15     -0.59218
_SET1_   257194        1   71868625   72748533   3079     188  464137      0.23392      0.23304    1.2212e-15      0.23392
_SET1_   8790          1   74663896   74674533     45       8  459509     -0.33935      0.48101    1.2212e-15     -0.33935
_SET1_   51086         1   74701071   75010116   1069     106  465948     -0.33427      0.45872    1.2212e-15     -0.33427
_SET1_   26289         1   77747662   78025654   1260     109  474810      -1.0914      0.73229    1.3323e-15      -1.0914
_SET1_   26009         1   78028160   78149119    336      50  462707     -0.21285      0.41958    1.2212e-15     -0.21285
_SET1_   23266         1   82266082   82458107    828      83  469423      0.80541      0.10264    1.2212e-15      0.80541
_SET1_   79739         1   84335057   84464850    454      36  464859     -0.42677      0.50331    1.2212e-15     -0.42677
_SET1_   5567          1   84543745   84704181    435      66  464042      -0.3688      0.46017    1.2212e-15      -0.3688
_SET1_   23576         1   85784168   86044046   1178     111  469038      0.07544      0.28932    1.2212e-15      0.07544
_SET1_   23507         1   89989933   90063420    253      26  476320     -0.69764      0.60418    1.2212e-15     -0.69764
_SET1_   55144         1   90286573   90401991    351      80  468717      0.48172      0.17829    1.2212e-15      0.48172
_SET1_   84146         1   91380855   91487812    308      41  471084      -0.1038      0.39104    1.2212e-15      -0.1038
_SET1_   7049          1   92145900   92371559    979      98  474172      0.35573      0.19845    1.2212e-15      0.35573
_SET1_   284697        1   92545862   92613397    235      44  467941      -1.2717      0.79954    1.3323e-15      -1.2717
_SET1_   388650        1   93298286   93427079    389      33  466436       1.6371     0.019936    1.3323e-15       1.6371
_SET1_   54874         1   93913688   94020218    332      72  457632     0.021816      0.33854    1.2282e-15     0.021816
_SET1_   8412          1   94027343   94312706   1257      84  471658      0.48176      0.18164    1.2212e-15      0.48176
_SET1_   58155         1   97187161   97280605    342      47  464307     -0.20775      0.40732    1.2212e-15     -0.20775
_SET1_   1806          1   97543299   98386615   3356     227  468480     -0.63722      0.56804    1.2212e-15     -0.63722
_SET1_   54482         1  100598669  100616054     65      22  467604      -1.4781      0.87711    1.3323e-15      -1.4781
_SET1_   8556          1  100810598  100985833    601      52  464343     -0.74244      0.63989    1.2212e-15     -0.74244
_SET1_   6814          1  109289285  109352148    272      22  471973      -0.5427      0.55877    1.2212e-15      -0.5427
_SET1_   29899         1  109417972  109473044    200      40  468711       1.4059     0.034172    1.3323e-15       1.4059
_SET1_   1952          1  109792641  109818378    121      35  468073    -0.054773      0.36173    1.2282e-15    -0.054773
_SET1_   84722         1  109822176  109825790     20      14  465259     -0.95643       0.7453    1.2212e-15     -0.95643
_SET1_   6272          1  109852187  109940563    237      48  455818     -0.89325      0.67609    1.2212e-15     -0.89325
_SET1_   9860          1  113615792  113667824    183      47  463401      0.50099      0.18921    1.2212e-15      0.50099
_SET1_   260425        1  113933087  114228545    897      75  461698      -0.6375      0.56892    1.2212e-15      -0.6375
_SET1_   55356         1  116519119  116612675    345      52  469053      0.88769      0.10031    1.2212e-15      0.88769
_SET1_   647135        1  143915897  144094426     32      21  347485      -0.7825      0.63919    1.2212e-15      -0.7825
_SET1_   56957         1  149912229  149982686    223      37  458221       -1.342      0.84553    1.3323e-15       -1.342
_SET1_   2029          1  150594599  150602098     26      15  456385      0.64302      0.15569    1.2212e-15      0.64302
_SET1_   23126         1  151375200  151445753    188      27  464431     -0.93819      0.72319    1.2212e-15     -0.93819
_SET1_   23208         1  155829260  155854990     66      25  458793       1.3116     0.045809    1.3323e-15       1.3116
_SET1_   9181          1  155916431  155953396     90      31  447891     -0.66351      0.60698    1.2212e-15     -0.66351
