# ALPHA = 0.05
# NUMBER_OF_TESTS = 9

# _SET1_  VARIABLE = Microglia (set)
# _SET1_  NGENES = 143
# _SET1_  P-VALUE = 2.7039e-06
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   8514       1    6017358    6171253    773     115  467414      0.55578      0.14319   -2.2204e-16      0.55578
_SET1_   9473       1   28164055   28223196    224      60  460426       1.5441      0.02086   -2.2204e-16       1.5441
_SET1_   1441       1   36921644   36983915    266      56  472708      0.93912     0.086199   -2.2204e-16      0.93912
_SET1_   64744      1   40804378   40898998    349      73  471965      -1.2758       0.7855   -2.2204e-16      -1.2758
_SET1_   5142       1   66223193   66850262   2519     185  467523      -0.5386      0.50617   -2.2204e-16      -0.5386
_SET1_   10451      1  108103782  108542545   2100     159  469466      -2.2406      0.95802             0      -2.2406
_SET1_   963        1  111378821  111452558    336      37  475742      0.57517      0.15396   -2.2204e-16      0.57517
_SET1_   1520       1  150692672  150773433    211      36  468102      0.22777      0.25026   -1.6653e-16      0.22777
_SET1_   2212       1  161440205  161499360    236      66  462136       1.6584     0.015013   -2.2204e-16       1.6584
_SET1_   80896      1  182723584  182809519    319      60  470717     -0.87589      0.67896   -2.2204e-16     -0.87589
_SET1_   4688       1  183514697  183595056    363      57  467843      0.78712      0.09772   -2.2204e-16      0.78712
_SET1_   5788       1  198573098  198736605    737      78  467266     -0.14536      0.38072   -1.6653e-16     -0.14536
_SET1_   1378       1  207634473  207825110    697      88  463997       6.9888    3.139e-14             0       6.9888
_SET1_   81553      2   16720727   16882134    700     125  466834     -0.53912      0.51512   -2.2204e-16     -0.53912
_SET1_   6546       2   40329286   40774575   2177     156  470225     0.071079      0.27985   -1.6653e-16     0.071079
_SET1_   9938       2   68926913   69063965    687      79  472617       1.0765     0.054897   -2.2204e-16       1.0765
_SET1_   200424     2   74177211   74345303    578      73  466931      -1.0978      0.72599   -2.2204e-16      -1.0978
_SET1_   284996     2  101877681  101960178    273      58  463691      -1.5428      0.85774   -2.2204e-16      -1.5428
_SET1_   8942       2  143471497  143809885   1393      89  470082       1.6882     0.015059   -2.2204e-16       1.6882
_SET1_   55843      2  143851899  144535921   2357     212  469504      0.40638      0.18392   -1.6653e-16      0.40638
_SET1_   9595       2  158261131  158335604    256      67  465209       1.2639     0.050876   -2.2204e-16       1.2639
_SET1_   22837      2  165526695  165733678    919      68  470257     -0.37447      0.45665   -1.6653e-16     -0.37447
_SET1_   3676       2  182286619  182412474    518      86  465156     -0.62104      0.53631   -2.2204e-16     -0.62104
_SET1_   9262       2  196988307  197071336    396      46  466800    -0.087873      0.35141   -1.6653e-16    -0.087873
_SET1_   6556       2  219211752  219271617    245      71  466047       -1.288      0.78708   -2.2204e-16       -1.288
_SET1_   55619      2  225619807  225942330   1424     128  465404       2.0986    0.0043121             0       2.0986
