# ALPHA = 0.05
# NUMBER_OF_TESTS = 6

# _SET1_  VARIABLE = Microglia (set)
# _SET1_  NGENES = 3741
# _SET1_  P-VALUE = 0.000182726
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   54991         1    1007198    1086736    445      57  459504       1.5354     0.022328    2.2204e-16       1.5354
_SET1_   116983        1    1217764    1278304    353      61  457628     -0.89314      0.70959    2.2204e-16     -0.89314
_SET1_   81669         1    1311091    1369718    297      38  462831     -0.81707      0.67848    2.2204e-16     -0.81707
_SET1_   643965        1    1326508    1373167    237      45  461609     -0.70531      0.62826    2.2204e-16     -0.70531
_SET1_   2782          1    1706725    1857552    549      64  461322     -0.93629      0.67363    2.2204e-16     -0.93629
_SET1_   5590          1    1946909    2126834    980     118  465400      -2.1764       0.9517    4.4409e-16      -2.1764
_SET1_   6497          1    2125134    2251652    592     106  464827      -1.8112       0.9023    2.2204e-16      -1.8112
_SET1_   9731          1    3718645    3808797    713      55  473191     -0.65565      0.57268    2.2204e-16     -0.65565
_SET1_   55966         1    4680105    4853851   1133     152  473410      -1.8608      0.91335    2.2204e-16      -1.8608
_SET1_   55735         1    6684228    6796966    434      60  469291       2.0537    0.0054637    4.4409e-16       2.0537
_SET1_   23261         1    6810384    7839766   4535     347  469990      0.11659      0.25924    2.3592e-16      0.11659
_SET1_   8863          1    7809413    7915241    452      49  474483      0.66709      0.13289    2.2204e-16      0.66709
_SET1_   473           1    8402464    8912699   1433      72  464886        2.122    0.0044384    4.4409e-16        2.122
_SET1_   6518          1    9087005    9166763    414      55  471932       1.6815     0.015801    2.2204e-16       1.6815
_SET1_   5293          1    9676789    9799172    556      86  461632       1.4485     0.027153    2.2204e-16       1.4485
_SET1_   22883         1    9779079    9919550    633      60  452429     -0.69035      0.62311    2.2204e-16     -0.69035
_SET1_   10277         1   10058041   10251297    689      48  469162     -0.43343      0.54564    2.2204e-16     -0.43343
_SET1_   23095         1   10235606   10451664    906      39  473632      0.28016      0.24746    2.2204e-16      0.28016
_SET1_   23435         1   11037462   11095549    242      56  468660     -0.84279      0.65581    2.2204e-16     -0.84279
_SET1_   5394          1   11116675   11194961    287      17  470277      -1.2133      0.83537    2.2204e-16      -1.2133
_SET1_   7133          1   12192044   12279279    383      67  470965    -0.062064      0.34267    2.3592e-16    -0.062064
_SET1_   55187         1   12255101   12582099   1093      69  467333     -0.57506       0.5929    2.2204e-16     -0.57506
_SET1_   9249          1   12617939   12712820    532      93  469229     0.026825      0.29954    2.3592e-16     0.026825
