# ALPHA = 0.05
# NUMBER_OF_TESTS = 6

# _SET1_  VARIABLE = Astro (set)
# _SET1_  NGENES = 2491
# _SET1_  P-VALUE = 0.00172756
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   116983        1    1227764    1243304     96      33  465528     -0.20005      0.45839    9.7145e-16     -0.20005
_SET1_   643965        1    1361508    1363167     10       5  466340      -1.2906      0.85582    8.8818e-16      -1.2906
_SET1_   2782          1    1716725    1822552    354      66  459277     -0.68056      0.59651     9.992e-16     -0.68056
_SET1_   5590          1    1981909    2116834    784      65  466216       -1.808      0.91207    8.8818e-16       -1.808
_SET1_   63976         1    2985565    3355185   2354     285  469116      -1.4307      0.83381    8.8818e-16      -1.4307
_SET1_   55966         1    4715105    4843851    857     118  474019      -1.5063      0.84801    8.8818e-16      -1.5063
_SET1_   26038         1    6161847    6240194    451      77  465419       1.9635    0.0077206    8.8818e-16       1.9635
_SET1_   23261         1    6845384    7829766   4336     358  469781     0.093823      0.26817    9.8532e-16     0.093823
_SET1_   8863          1    7844413    7905241    294      37  472715      0.52624      0.17031     9.992e-16      0.52624
_SET1_   473           1    8412464    8877699   1290      69  465044       2.2537    0.0033631    8.8818e-16       2.2537
_SET1_   2023          1    8921059    8939151     59      22  467967     -0.41864      0.51143     9.992e-16     -0.41864
_SET1_   84275         1    9599528    9642831    162      42  463300       1.7001     0.019142    8.8818e-16       1.7001
_SET1_   56998         1    9908334    9970316    233      59  456352       0.6656      0.15014     9.992e-16       0.6656
_SET1_   10277         1   10093041   10241297    544      46  470117      -0.6864      0.64723     9.992e-16      -0.6864
_SET1_   23095         1   10270606   10441664    689      35  473689      0.20972      0.26977    9.7145e-16      0.20972
_SET1_   9249          1   12627939   12677820    236      66  468205      -0.2207      0.39346    9.7145e-16      -0.2207
_SET1_   7799          1   14026714   14151574    551      55  467644     -0.34522      0.47962     9.992e-16     -0.34522
_SET1_   23254         1   14219646   15444544   6679     495  468521       1.3081     0.030734    8.8818e-16       1.3081
_SET1_   55160         1   17846693   18024370    883     107  465717      -1.4249      0.84026    8.8818e-16      -1.4249
_SET1_   84966         1   18434240   18704977   1501     223  467147      -1.9734      0.93474    8.8818e-16      -1.9734
_SET1_   23352         1   19401000   19536812    444      49  465863     -0.79779      0.64048     9.992e-16     -0.79779
_SET1_   55450         1   20808884   20812728     10       6  427038     -0.60567      0.66512     9.992e-16     -0.60567
_SET1_   50809         1   21069170   21113808    122      30  477287       2.9043   0.00043201    8.8818e-16       2.9043
_SET1_   8672          1   21132785   21503381   1132      55  469621       3.4013    5.933e-05    8.8818e-16       3.4013
_SET1_   1889          1   21543740   21672034    601      86  464758     -0.17206      0.39088    9.7145e-16     -0.17206
_SET1_   84196         1   22004791   22109688    447      61  471939     -0.00291      0.33578    9.8185e-16     -0.00291
_SET1_   998           1   22379120   22419439    153      39  470517       1.2523     0.053058    8.8818e-16       1.2523
_SET1_   2048          1   23037263   23241823    937     139  463425     -0.48025      0.50291     9.992e-16     -0.48025
_SET1_   7798          1   23410516   23504301    261      43  469949      -1.4743      0.85261    8.8818e-16      -1.4743
_SET1_   55616         1   23755056   23810750    181      39  472175      0.80164      0.11836     9.992e-16      0.80164
_SET1_   57185         1   24742245   24799473    307      43  467441      0.12197      0.28306    9.8532e-16      0.12197
_SET1_   10250         1   24969594   24999772     66      33  469892     -0.56529      0.58855     9.992e-16     -0.56529
_SET1_   25932         1   25071760   25170815    224      69  456523      0.35442       0.2138     9.992e-16      0.35442
_SET1_   55219         1   25757388   25826700    251      40  463908     -0.56058      0.54375     9.992e-16     -0.56058
_SET1_   3925          1   26210670   26233368     57      19  456734       1.9237    0.0092554    8.8818e-16       1.9237
