# ALPHA = 0.05
# NUMBER_OF_TESTS = 12

# _SET1_  VARIABLE = Pericyte (set)
# _SET1_  NGENES = 904
# _SET1_  P-VALUE = 0.00143704
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   57801         1     934342     936608     17       7  460925       1.6654     0.022661    8.8818e-16       1.6654
_SET1_   23261         1    6845384    7829766   4336     358  469781     0.098274      0.26817    9.4369e-16     0.098274
_SET1_   5293          1    9711789    9789172    335      67  460695      0.80004      0.10982     9.992e-16      0.80004
_SET1_   23095         1   10270606   10441664    689      35  473689      0.20034      0.26977    9.4369e-16      0.20034
_SET1_   5351          1   11994724   12035599    196      37  468696     -0.24873      0.42927    9.4369e-16     -0.24873
_SET1_   1889          1   21543740   21672034    601      86  464758     -0.17713      0.39088    9.4369e-16     -0.17713
_SET1_   114784        1   33979609   34631443   2968     295  466818     -0.77689      0.61309     9.992e-16     -0.77689
_SET1_   26508         1   40089103   40105348     71      36  472469      -1.5283      0.86046    8.8818e-16      -1.5283
_SET1_   55182         1   44870837   45117396   1031     132  467875       1.6734     0.015766    8.8818e-16       1.6734
_SET1_   4678          1   46049660   46084578    136      22  467611      -2.0105      0.95116    8.8818e-16      -2.0105
_SET1_   84871         1   48998527   50489626   4462     138  458219      0.26589      0.22423    9.4369e-16      0.26589
_SET1_   84938         1   63249777   63330941    291      31  467536     -0.21971        0.412    9.4369e-16     -0.21971
_SET1_   57685         1   64936476   65158741    773     140  469202      0.30157       0.2397    9.4369e-16      0.30157
_SET1_   9829          1   65720133   65881552    630      61  466789      0.86997     0.087333     9.992e-16      0.86997
_SET1_   5142          1   66258193   66840262   2322     165  467219     -0.59797      0.54056     9.992e-16     -0.59797
_SET1_   84251         1   66999066   67210768    990      49  468664      0.34835      0.20531    9.4369e-16      0.34835
_SET1_   57554         1   70033230   70589171   2299     143  466918       1.0799     0.056929    8.8818e-16       1.0799
_SET1_   257194        1   71868625   72748533   3079     188  464137      0.23316      0.23304    9.4369e-16      0.23316
_SET1_   256435        1   76540389   77100311   2552     228  464420      -1.6075       0.8733    8.8818e-16      -1.6075
_SET1_   26289         1   77747662   78025654   1260     109  474810      -1.0953      0.73229    8.8818e-16      -1.0953
_SET1_   26009         1   78028160   78149119    336      50  462707     -0.22045      0.41958    9.4369e-16     -0.22045
_SET1_   5567          1   84543745   84704181    435      66  464042     -0.37598      0.46017    9.4369e-16     -0.37598
_SET1_   23507         1   89989933   90063420    253      26  476320     -0.70706      0.60418     9.992e-16     -0.70706
_SET1_   55144         1   90286573   90401991    351      80  468717      0.47752      0.17829    9.4369e-16      0.47752
_SET1_   284697        1   92545862   92613397    235      44  467941      -1.2793      0.79954    8.8818e-16      -1.2793
_SET1_   388650        1   93298286   93427079    389      33  466436       1.6275     0.019936    8.8818e-16       1.6275
_SET1_   58155         1   97187161   97280605    342      47  464307     -0.21611      0.40732    9.4369e-16     -0.21611
_SET1_   29899         1  109417972  109473044    200      40  468711       1.3986     0.034172    8.8818e-16       1.3986
_SET1_   6272          1  109852187  109940563    237      48  455818     -0.90155      0.67609     9.992e-16     -0.90155
_SET1_   3752          1  112318444  112532147    967     165  470362     -0.66615      0.58126     9.992e-16     -0.66615
_SET1_   55356         1  116519119  116612675    345      52  469053      0.88124      0.10031     9.992e-16      0.88124
_SET1_   476           1  116914802  116948069    102      23  463733       1.1089     0.088976    8.8818e-16       1.1089
_SET1_   10905         1  117910085  118068320    605      50  468801     -0.65519      0.58395     9.992e-16     -0.65519
_SET1_   6913          1  119425666  119532179    396      53  469230      -1.4474      0.83493    8.8818e-16      -1.4474
_SET1_   8515          1  145524709  145543868     43      22  411569    -0.026489      0.33372    9.4716e-16    -0.026489
_SET1_   56957         1  149912229  149982686    223      37  458221      -1.3504      0.84553    8.8818e-16      -1.3504
_SET1_   23208         1  155829260  155854990     66      25  458793       1.3035     0.045809    8.8818e-16       1.3035
_SET1_   9181          1  155916431  155953396     90      31  447891     -0.67251      0.60698     9.992e-16     -0.67251
_SET1_   10485         1  156374048  156426441    135      62  460083        0.628      0.14596     9.992e-16        0.628
_SET1_   55243         1  157963063  158065846    456     103  470839    -0.081647      0.34849    9.4369e-16    -0.081647
_SET1_   477           1  160085520  160113381    131      40  475186     -0.57342      0.55769     9.992e-16     -0.57342
_SET1_   9722          1  162039581  162339813   1494     117  469847      0.36393      0.19692    9.4369e-16      0.36393
_SET1_   8490          1  163112089  163291581    893      65  474416       1.7745      0.01204    8.8818e-16       1.7745
_SET1_   92241         1  167599474  167677933    460     104  468027      0.21395      0.24631    9.4369e-16      0.21395
_SET1_   481           1  169075947  169101960    134      33  474383     0.043703      0.30347    9.4369e-16     0.043703
_SET1_   5396          1  170633313  170708541    252      54  457264      -2.5358      0.98197    8.8818e-16      -2.5358
_SET1_   26052         1  171810618  172387606   2254     139  467183      0.65635      0.12336     9.992e-16      0.65635
_SET1_   460           1  176826441  177134024   1203     120  459353       1.3077     0.038017    8.8818e-16       1.3077
_SET1_   9462          1  178062864  178448649   1175      61  462888       -1.445      0.85627    8.8818e-16       -1.445
_SET1_   23127         1  183898988  184006904    575      91  461406     -0.50383      0.51053     9.992e-16     -0.50383
_SET1_   81563         1  184356150  184598155   1052      84  462159      0.46824      0.18038    9.4369e-16      0.46824
_SET1_   116496        1  184760159  184943718    833      74  464988     0.002853      0.31919    9.4673e-16     0.002853
_SET1_   343450        1  196194913  196577690   1373      72  433544     -0.74558      0.62268     9.992e-16     -0.74558
_SET1_   3075          1  196621008  196716634    434      46  465899      0.33574      0.21524    9.4369e-16      0.33574
_SET1_   23418         1  197170592  197447585    903     118  456134      0.58906       0.1457     9.992e-16      0.58906
_SET1_   1465          1  201452658  201476387    140      36  474716     0.043241      0.31065    9.4369e-16     0.043241
_SET1_   89796         1  201508243  201796102   1273     168  468951     -0.13848      0.37474    9.4369e-16     -0.13848
_SET1_   22874         1  204187979  204329057    747      69  471113      0.79592      0.09888     9.992e-16      0.79592
_SET1_   5287          1  204391756  204463943    361      55  464919      -1.9467      0.93568    8.8818e-16      -1.9467
_SET1_   6900          1  205012340  205047173    185      36  474477       2.6724   0.00090337    8.8818e-16       2.6724
_SET1_   5129          1  205473684  205501921    165      54  470661        1.432     0.029916    8.8818e-16        1.432
_SET1_   5362          1  208195587  208417665   1071     111  463830     -0.25505      0.41188    9.4369e-16     -0.25505
_SET1_   255928        1  210111519  210337636    854      56  466392       1.8485     0.010968    8.8818e-16       1.8485
_SET1_   3756          1  210851657  211307457   2096     141  469183     -0.24305      0.40197    9.4369e-16     -0.24305
_SET1_   9926          1  211916799  212048531    590      54  472296      -1.2033      0.78316    8.8818e-16      -1.2033
_SET1_   2104          1  216676588  217311097   3043     254  470566      0.18581      0.25185    9.4369e-16      0.18581
