# ALPHA = 0.05
# NUMBER_OF_TESTS = 12

# _SET1_  VARIABLE = SMC (set)
# _SET1_  NGENES = 1277
# _SET1_  P-VALUE = 0.000374926
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   57801         1     934342     936608     17       7  460925       1.6654     0.022661    8.8818e-16       1.6654
_SET1_   63976         1    2985565    3355185   2354     285  469116      -1.4231      0.83381    8.8818e-16      -1.4231
_SET1_   23261         1    6845384    7829766   4336     358  469781     0.098274      0.26817    8.0491e-16     0.098274
_SET1_   8863          1    7844413    7905241    294      37  472715      0.51805      0.17031    7.7716e-16      0.51805
_SET1_   473           1    8412464    8877699   1290      69  465044       2.2447    0.0033631    8.8818e-16       2.2447
_SET1_   23095         1   10270606   10441664    689      35  473689      0.20034      0.26977    8.0491e-16      0.20034
_SET1_   55187         1   12290101   12572099    872      56  466170     -0.46543      0.56291    8.3267e-16     -0.46543
_SET1_   23254         1   14219646   15444544   6679     495  468521       1.3114     0.030734    8.8818e-16       1.3114
_SET1_   55092         1   15479028   15546974    442      44  477011      -2.0608      0.94367    8.8818e-16      -2.0608
_SET1_   55160         1   17846693   18024370    883     107  465717      -1.4282      0.84026    8.8818e-16      -1.4282
_SET1_   8672          1   21132785   21503381   1132      55  469621       3.3917    5.933e-05    8.8818e-16       3.3917
_SET1_   1889          1   21543740   21672034    601      86  464758     -0.17713      0.39088    8.0491e-16     -0.17713
_SET1_   7798          1   23410516   23504301    261      43  469949      -1.4818      0.85261    8.8818e-16      -1.4818
_SET1_   57185         1   24742245   24799473    307      43  467441      0.11334      0.28306    8.0491e-16      0.11334
_SET1_   8073          1   32372022   32403988    117      24  457183     -0.30084      0.50302    8.3267e-16     -0.30084
_SET1_   114784        1   33979609   34631443   2968     295  466818     -0.77689      0.61309    7.7716e-16     -0.77689
_SET1_   26508         1   40089103   40105348     71      36  472469      -1.5283      0.86046    8.8818e-16      -1.5283
_SET1_   59269         1   41972036   42501596   2185     134  468432      0.84916      0.08867    7.7716e-16      0.84916
_SET1_   55182         1   44870837   45117396   1031     132  467875       1.6734     0.015766    8.8818e-16       1.6734
_SET1_   57643         1   45482071   45672250    541      51  469539     -0.13043      0.39367    8.0491e-16     -0.13043
_SET1_   4678          1   46049660   46084578    136      22  467611      -2.0105      0.95116    8.8818e-16      -2.0105
_SET1_   8503          1   46505812   46642167    461      55  467848     -0.81311       0.6381    7.7716e-16     -0.81311
_SET1_   54558         1   48761044   48937876    702      58  460673       1.2173     0.053257    8.8818e-16       1.2173
_SET1_   84871         1   48998527   50489626   4462     138  458219      0.26589      0.22423    8.3267e-16      0.26589
_SET1_   23648         1   54691104   54872068    813     138  465304     -0.13597      0.36798    8.0491e-16     -0.13597
_SET1_   84938         1   63249777   63330941    291      31  467536     -0.21971        0.412    8.0491e-16     -0.21971
_SET1_   9829          1   65720133   65881552    630      61  466789      0.86997     0.087333    7.7716e-16      0.86997
_SET1_   5142          1   66258193   66840262   2322     165  467219     -0.59797      0.54056    7.7716e-16     -0.59797
_SET1_   84251         1   66999066   67210768    990      49  468664      0.34835      0.20531    8.3267e-16      0.34835
_SET1_   57554         1   70033230   70589171   2299     143  466918       1.0799     0.056929    8.8818e-16       1.0799
_SET1_   257194        1   71868625   72748533   3079     188  464137      0.23316      0.23304    8.0491e-16      0.23316
_SET1_   256435        1   76540389   77100311   2552     228  464420      -1.6075       0.8733    8.8818e-16      -1.6075
_SET1_   26289         1   77747662   78025654   1260     109  474810      -1.0953      0.73229    8.8818e-16      -1.0953
_SET1_   26009         1   78028160   78149119    336      50  462707     -0.22045      0.41958    8.0491e-16     -0.22045
_SET1_   91624         1   78354200   78412009    171      50  459819     -0.19404      0.42354    8.0491e-16     -0.19404
_SET1_   5567          1   84543745   84704181    435      66  464042     -0.37598      0.46017    8.3267e-16     -0.37598
_SET1_   57489         1   86812507   86862025    219      38  472829     -0.66073      0.58794    7.7716e-16     -0.66073
_SET1_   9653          1   87380335   87575681    751      40  469987      0.67713      0.14665    7.7716e-16      0.67713
_SET1_   23507         1   89989933   90063420    253      26  476320     -0.70706      0.60418    7.7716e-16     -0.70706
_SET1_   55144         1   90286573   90401991    351      80  468717      0.47752      0.17829    8.3267e-16      0.47752
_SET1_   284697        1   92545862   92613397    235      44  467941      -1.2793      0.79954    8.8818e-16      -1.2793
_SET1_   8412          1   94027343   94312706   1257      84  471658      0.47577      0.18164    8.3267e-16      0.47577
_SET1_   5825          1   94883933   94984219    245      61  464669      -1.9677      0.93232    8.8818e-16      -1.9677
_SET1_   1806          1   97543299   98386615   3356     227  468480     -0.63341      0.56804    7.7716e-16     -0.63341
_SET1_   8556          1  100810598  100985833    601      52  464343     -0.75023      0.63989    7.7716e-16     -0.75023
_SET1_   6814          1  109289285  109352148    272      22  471973     -0.55224      0.55877    7.7716e-16     -0.55224
_SET1_   29899         1  109417972  109473044    200      40  468711       1.3986     0.034172    8.8818e-16       1.3986
_SET1_   6272          1  109852187  109940563    237      48  455818     -0.90155      0.67609    7.7716e-16     -0.90155
_SET1_   845           1  116242624  116311426    416      41  471169       0.7824      0.10492    7.7716e-16       0.7824
_SET1_   55356         1  116519119  116612675    345      52  469053      0.88124      0.10031    7.7716e-16      0.88124
_SET1_   476           1  116914802  116948069    102      23  463733       1.1089     0.088976    8.8818e-16       1.1089
_SET1_   6913          1  119425666  119532179    396      53  469230      -1.4474      0.83493    8.8818e-16      -1.4474
_SET1_   8515          1  145524709  145543868     43      22  411569    -0.026489      0.33372    8.1185e-16    -0.026489
_SET1_   56957         1  149912229  149982686    223      37  458221      -1.3504      0.84553    8.8818e-16      -1.3504
_SET1_   23208         1  155829260  155854990     66      25  458793       1.3035     0.045809    8.8818e-16       1.3035
_SET1_   55243         1  157963063  158065846    456     103  470839    -0.081647      0.34849    8.0491e-16    -0.081647
_SET1_   477           1  160085520  160113381    131      40  475186     -0.57342      0.55769    7.7716e-16     -0.57342
_SET1_   9722          1  162039581  162339813   1494     117  469847      0.36393      0.19692    8.3267e-16      0.36393
_SET1_   4921          1  162602228  162756409    620      62  469217     -0.20296      0.42411    8.0491e-16     -0.20296
_SET1_   8490          1  163112089  163291581    893      65  474416       1.7745      0.01204    8.8818e-16       1.7745
_SET1_   92241         1  167599474  167677933    460     104  468027      0.21395      0.24631    8.0491e-16      0.21395
_SET1_   481           1  169075947  169101960    134      33  474383     0.043703      0.30347    8.1185e-16     0.043703
_SET1_   26052         1  171810618  172387606   2254     139  467183      0.65635      0.12336    7.7716e-16      0.65635
_SET1_   460           1  176826441  177134024   1203     120  459353       1.3077     0.038017    8.8818e-16       1.3077
_SET1_   9462          1  178062864  178448649   1175      61  462888       -1.445      0.85627    8.8818e-16       -1.445
_SET1_   10228         1  180942164  180992074    148      35  463598       2.5016    0.0014847    8.8818e-16       2.5016
_SET1_   2752          1  182350839  182361341     54      21  455938     -0.79855      0.63924    7.7716e-16     -0.79855
_SET1_   3915          1  182992572  183114727    625      28  471059      0.25114      0.23942    8.3267e-16      0.25114
_SET1_   23179         1  183605208  183897666   1229     103  468788      -0.7238      0.58945    7.7716e-16      -0.7238
_SET1_   23127         1  183898988  184006904    575      91  461406     -0.50383      0.51053    7.7716e-16     -0.50383
_SET1_   116461        1  184020811  184043346    144      11  449197      0.70001      0.17661    7.7716e-16      0.70001
_SET1_   81563         1  184356150  184598155   1052      84  462159      0.46824      0.18038    8.3267e-16      0.46824
_SET1_   116496        1  184760159  184943718    833      74  464988     0.002853      0.31919    8.1142e-16     0.002853
_SET1_   23418         1  197170592  197447585    903     118  456134      0.58906       0.1457    7.7716e-16      0.58906
_SET1_   89796         1  201508243  201796102   1273     168  468951     -0.13848      0.37474    8.0491e-16     -0.13848
_SET1_   25802         1  201865584  201915716    216      57  465559      0.13715      0.27471    8.0491e-16      0.13715
_SET1_   4660          1  202317830  202557697    702      62  463017     -0.47738      0.50341    8.3267e-16     -0.47738
_SET1_   493           1  203595915  203713209    512      91  465774      -1.9227      0.93031    8.8818e-16      -1.9227
_SET1_   22874         1  204187979  204329057    747      69  471113      0.79592      0.09888    7.7716e-16      0.79592
_SET1_   5287          1  204391756  204463943    361      55  464919      -1.9467      0.93568    8.8818e-16      -1.9467
