# ALPHA = 0.05
# NUMBER_OF_TESTS = 19

# _SET1_  VARIABLE = Vascular-SMC-LINC00486 (set)
# _SET1_  NGENES = 1337
# _SET1_  P-VALUE = 0.000355788
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   63976         1    2960565    3380185   1565     154  36989      0.70956      0.01601   -4.4409e-16      0.70956
_SET1_   22883         1    9764079    9909550    207      21  36989     -0.10512      0.28914   -4.4409e-16     -0.10512
_SET1_   7133          1   12202044   12294279    275      32  36989      -2.1445      0.91599   -4.4409e-16      -2.1445
_SET1_   7799          1   14001714   14176574    575      33  36989      0.12504      0.15869   -4.4409e-16      0.12504
_SET1_   149563        1   16305731   16358184    287      18  36989      -0.3599      0.34749   -4.4409e-16      -0.3599
_SET1_   55160         1   17821693   18049370    523      49  36989      -1.7263      0.79639   -4.4409e-16      -1.7263
_SET1_   50809         1   21044170   21138808    195      21  36989       2.0289    0.0027818   -4.4409e-16       2.0289
_SET1_   1889          1   21518740   21697034    514      42  36989     -0.48407      0.33956   -4.4409e-16     -0.48407
_SET1_   249           1   21810475   21929905    487      46  36989      -0.8421      0.48078   -4.4409e-16      -0.8421
_SET1_   998           1   22354120   22444439    311      22  36989       1.8017    0.0050998   -4.4409e-16       1.8017
_SET1_   7798          1   23385516   23529301    300      18  36989     -0.49877      0.39452   -4.4409e-16     -0.49877
_SET1_   3399          1   23859421   23911285    105      17  36989     -0.16375      0.28318   -4.4409e-16     -0.16375
_SET1_   10163         1   27705734   27841678    194       9  36989     -0.62683      0.50587   -4.4409e-16     -0.62683
_SET1_   23673         1   28074694   28175963    120       7  36989      0.08731      0.37222   -4.4409e-16      0.08731
_SET1_   6429          1   29449250   29533637    196      25  36989       1.9308    0.0039981   -4.4409e-16       1.9308
_SET1_   10657         1   32454295   32551460     92      15  36989    -0.092471      0.36792   -4.4409e-16    -0.092471
_SET1_   64766         1   33257368   33349480    141      16  36989       1.1898      0.02919   -4.4409e-16       1.1898
_SET1_   9202          1   35709444   35912545    222      11  36989       1.6614     0.026214   -4.4409e-16       1.6614
_SET1_   192670        1   36248231   36348491    105      10  36989       3.2964   7.2354e-05   -4.4409e-16       3.2964
_SET1_   84879         1   40395784   40460630    128      23  36989      -1.1172      0.65108   -4.4409e-16      -1.1172
_SET1_   4802          1   41132242   41262275    333      25  36989       1.5058     0.010899   -4.4409e-16       1.5058
_SET1_   22887         1   42617210   42826548    395      21  36989     -0.53947      0.39469   -4.4409e-16     -0.53947
_SET1_   6513          1   43366046   43449847    279      24  36989      0.21056      0.16087   -4.4409e-16      0.21056
_SET1_   7075          1   43741566   43813781    107      16  36989       2.7243   0.00027482   -4.4409e-16       2.7243
_SET1_   55182         1   44845837   45142396    830      91  36989     -0.22695      0.20339   -4.4409e-16     -0.22695
_SET1_   57643         1   45457071   45697250    459      26  36989      -0.9972      0.56799   -4.4409e-16      -0.9972
_SET1_   8503          1   46480812   46667167    319      23  36989      -1.0372       0.5939   -4.4409e-16      -1.0372
_SET1_   54558         1   48736044   48962876    489      36  36989       -1.542      0.75364   -4.4409e-16       -1.542
_SET1_   4898          1   52229864   52369609    349      30  36989     -0.89939       0.5527   -4.4409e-16     -0.89939
_SET1_   55268         1   53336582   53417846    125      15  36989      -1.5196      0.79269   -4.4409e-16      -1.5196
_SET1_   7804          1   53683036   53818821    363      39  36989       2.0068    0.0022376   -4.4409e-16       2.0068
_SET1_   23648         1   54666104   54897068    670      84  36989      0.49683     0.069646   -4.4409e-16      0.49683
_SET1_   23358         1   55507032   55706039    447      25  36989      0.25511      0.14102   -4.4409e-16      0.25511
_SET1_   8613          1   56935419   57070257    405      40  36989      -2.1614      0.90539   -4.4409e-16      -2.1614
_SET1_   114803        1   59095411   59190747    355      16  36989      0.38653      0.12023   -4.4409e-16      0.38653
_SET1_   4774          1   61517946   61953460   1068     104  36989      0.28834     0.074879   -4.4409e-16      0.28834
_SET1_   83941         1   62121718   62216095    256      24  36989     -0.26251      0.30476   -4.4409e-16     -0.26251
_SET1_   57685         1   64911476   65183741    609      76  36989     -0.44236      0.32603   -4.4409e-16     -0.44236
_SET1_   3953          1   65861335   66128176    790      33  36989      -0.1007      0.16929   -4.4409e-16      -0.1007
_SET1_   79971         1   68539142   68723284    692      78  36989      -1.1596      0.57043   -4.4409e-16      -1.1596
_SET1_   256435        1   76515389   77125311   1992     141  36989     -0.58408      0.12867   -4.4409e-16     -0.58408
_SET1_   10964         1   79061067   79136830    153      30  36989      0.15572       0.1852   -4.4409e-16      0.15572
_SET1_   10561         1   79090477   79154763    163      19  36989       1.1641     0.030211   -4.4409e-16       1.1641
_SET1_   64123         1   79330449   79497495    726      32  36989      0.69841     0.044296   -4.4409e-16      0.69841
_SET1_   23266         1   82241082   82483107    704      46  36989      -1.4465      0.66966   -4.4409e-16      -1.4465
_SET1_   79739         1   84310057   84489850    501      22  36989      0.10009      0.16718   -4.4409e-16      0.10009
_SET1_   5567          1   84518745   84729181    362      26  36989      0.83801     0.048477   -4.4409e-16      0.83801
_SET1_   57489         1   86787507   86887025    352      25  36989     -0.76042      0.48335   -4.4409e-16     -0.76042
_SET1_   51100         1   87145253   87238867    211      29  36989      -1.4674      0.77609   -4.4409e-16      -1.4674
_SET1_   5586          1   89124876   89326938    514      14  36989      -2.2851      0.93384   -4.4409e-16      -2.2851
_SET1_   84230         1   90073644   90210094    256      16  36989    -0.081355      0.25093   -4.4409e-16    -0.081355
_SET1_   54874         1   93888688   94045218    221      31  36989     -0.15722      0.27566   -4.4409e-16     -0.15722
_SET1_   8412          1   94002343   94337706   1046      35  36989       -1.834      0.74673   -4.4409e-16       -1.834
_SET1_   5825          1   94858933   95009219    201      24  36989      -1.0759      0.62345   -4.4409e-16      -1.0759
_SET1_   1806          1   97518299   98411615   2309     119  36989       6.4753   1.9849e-17   -8.8818e-16       6.4753
_SET1_   54873         1  100086431  100185097    271      31  36989      0.98253      0.04018   -4.4409e-16      0.98253
_SET1_   23443         1  100410345  100517535    344      19  36989     -0.11349      0.30544   -4.4409e-16     -0.11349
_SET1_   8556          1  100785598  101010833    393      26  36989     -0.33896      0.31549   -4.4409e-16     -0.33896
_SET1_   29957         1  108652344  108767980    418      33  36989       1.6293    0.0064161   -4.4409e-16       1.6293
_SET1_   6814          1  109264285  109377148    366      16  36989      -0.1767      0.27005   -4.4409e-16      -0.1767
_SET1_   6272          1  109827187  109965563    228      18  36989      -1.9796      0.89336   -4.4409e-16      -1.9796
_SET1_   5906          1  112137405  112281807    505      29  36989      0.84847     0.042487   -4.4409e-16      0.84847
_SET1_   55917         1  112913800  113028786    272      13  36989       1.7955    0.0057113   -4.4409e-16       1.7955
