# ALPHA = 0.05
# NUMBER_OF_TESTS = 12

# _SET1_  VARIABLE = Neuron_ex (set)
# _SET1_  NGENES = 259
# _SET1_  P-VALUE = 1.11047e-06
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   26038         1    6136847    6265194    399      40  36989      -1.3928       0.7082   -6.6613e-16      -1.3928
_SET1_   84966         1   18409240   18729977   1182     138  36989       1.7642    0.0014398   -6.6613e-16       1.7642
_SET1_   84871         1   48973527   50514626   2323      59  36989       1.6463    0.0001263   -6.6613e-16       1.6463
_SET1_   257194        1   71843625   72773533   2010      91  36989       1.4914   0.00050654   -6.6613e-16       1.4914
_SET1_   81849         1   77308126   77558223    642      45  36989     -0.61129      0.35699   -5.5511e-16     -0.61129
_SET1_   118427        1  102243126  102487790    834      86  36989       1.5563    0.0041957   -6.6613e-16       1.5563
_SET1_   3752          1  112293444  112557147    848      92  36989       2.5589    0.0001481   -4.4409e-16       2.5589
_SET1_   7143          1  175266935  175737752   1398     123  36989       1.7063    0.0010419   -6.6613e-16       1.7063
_SET1_   460           1  176801441  177159024    870      58  36989       1.3451     0.007354   -6.6613e-16       1.3451
_SET1_   57795         1  177115058  177276558    335      32  36989       2.5799   0.00035133   -4.4409e-16       2.5799
_SET1_   777           1  181427447  181800920    970      78  36989       1.1732     0.010136   -6.6613e-16       1.1732
_SET1_   23057         1  183192372  183412634    567      29  36989       1.4967    0.0077245   -6.6613e-16       1.4967
_SET1_   255928        1  210086519  210362636    640      27  36989      0.37231     0.091746   -6.1062e-16      0.37231
_SET1_   3756          1  210826657  211332457   1730      96  36989      -1.0491      0.28996   -6.6613e-16      -1.0491
_SET1_   55061         1  223369161  223562564    399      27  36989      0.14584      0.16231   -6.1062e-16      0.14584
_SET1_   79605         1  230432392  230586674    571      58  36989     -0.17149      0.22364   -6.1062e-16     -0.17149
_SET1_   80003         1  233094855  233456459   1248      74  36989      -1.3789      0.53022   -6.6613e-16      -1.3789
_SET1_   148641        1  234015679  234485262   1786     124  36989     -0.45074      0.12325   -6.1062e-16     -0.45074
_SET1_   6262          1  237180510  238022288   2992     218  36989      -0.5067     0.055828   -5.5511e-16      -0.5067
_SET1_   1131          1  239524876  240103750   1551     116  36989      0.93696     0.007944   -5.5511e-16      0.93696
_SET1_   56776         1  240230185  240663491   1428      99  36989      0.80396     0.012851   -5.5511e-16      0.80396
_SET1_   6000          1  240913817  241545505   2162     154  36989       1.0102    0.0022433   -6.6613e-16       1.0102
_SET1_   23040         2    1767885    2360147   1832      98  36989     -0.62819      0.15382   -5.5511e-16     -0.62819
_SET1_   7447          2   17696807   17862706    528      19  36989      0.30499       0.1267   -6.1062e-16      0.30499
_SET1_   114818        2   23583298   23956483   1340     110  36989      0.36637     0.043226   -6.1062e-16      0.36637
_SET1_   6546          2   40314286   40764575   1716      94  36989        1.815   0.00032817   -6.6613e-16        1.815
_SET1_   9378          2   50120643   51284674   3740     132  36989       1.4771   0.00021156   -6.6613e-16       1.4771
_SET1_   400954        2   54927149   55224157   1036      68  36989        2.396   0.00016286   -4.4409e-16        2.396
_SET1_   53335         2   60653302   60805633    271      42  36989       3.2695   2.3434e-05   -4.4409e-16       3.2695
_SET1_   119           2   70863334   71020375    600      31  36989       0.6756     0.051842   -5.5511e-16       0.6756
_SET1_   80059         2   76949849   77774502   2954     109  36989      0.39276    0.0064492   -6.1062e-16      0.39276
_SET1_   343990        2   99385309   99577684    530      28  36989     -0.70973      0.43044   -5.5511e-16     -0.70973
_SET1_   57628         2  115174899  116628328   3579     130  36989      0.43224    0.0066422   -6.1062e-16      0.43224
_SET1_   129684        2  124757864  125697954   2902     125  36989      0.56155     0.004132   -5.5511e-16      0.56155
_SET1_   785           2  152664285  152980593    722      38  36989     0.079176      0.13938   -5.9674e-16     0.079176
_SET1_   3760          2  155530093  155739864    651      60  36989      0.35757      0.08996   -6.1062e-16      0.35757
_SET1_   57282         2  162455699  162866786    932      29  36989       1.0944     0.014578   -6.6613e-16       1.0944
_SET1_   90134         2  163202917  163720257   1013      53  36989     -0.99065      0.42532   -5.5511e-16     -0.99065
_SET1_   6328          2  165919030  166085577    343      27  36989       1.3031      0.01788   -6.6613e-16       1.3031
_SET1_   6326          2  165961659  166273820    788      48  36989    0.0041493      0.14288   -6.0021e-16    0.0041493
_SET1_   80034         2  166301157  166570917    551      35  36989     -0.82163      0.45798   -5.5511e-16     -0.82163
_SET1_   6323          2  166820670  167030642    714      32  36989       2.0524     0.001111   -4.4409e-16       2.0524
_SET1_   8708          2  168321692  168752366   1201      90  36989       1.7826    0.0011256   -6.6613e-16       1.7826
_SET1_   114880        2  179034208  179289160    774      51  36989     -0.87951      0.43413   -5.5511e-16     -0.87951
_SET1_   151126        2  180281709  180751232   1749     109  36989      0.52243     0.016666   -5.5511e-16      0.52243
_SET1_   23314         2  200109223  200360989    368      29  36989        4.071   5.7536e-07   -8.8818e-16        4.071
_SET1_   8745          2  207283268  207510854    504      42  36989      0.76637     0.050388   -5.5511e-16      0.76637
_SET1_   285175        2  210611717  210889024    538      31  36989      -1.3688      0.68691   -6.6613e-16      -1.3688
_SET1_   80210         2  232038294  232263606    590      42  36989      -1.0899      0.56751   -6.6613e-16      -1.0899
_SET1_   25791         2  233718396  233902951    680      55  36989       5.3998   7.3982e-11   -8.8818e-16       5.3998
_SET1_   10752         3     213279     476100   1056      76  36989        -1.97      0.77728   -6.6613e-16        -1.97
_SET1_   152330        3    2115550    3124645   4473     315  36989       2.9969   1.7275e-07   -4.4409e-16       2.9969
_SET1_   3708          3    4510032    4914524   1443     151  36989      0.26429     0.051479   -6.1062e-16      0.26429
_SET1_   2917          3    6877802    7808218   3230     195  36989     -0.99713      0.14024   -5.5511e-16     -0.99713
_SET1_   491           3   10340707   10758131   1533     121  36989       2.3622   6.9551e-05   -4.4409e-16       2.3622
_SET1_   6854          3   12157150   12258532    231      23  36989        1.256     0.026501   -6.6613e-16        1.256
_SET1_   7068          3   24133644   24561772   1282     126  36989       3.1881   3.7999e-06   -4.4409e-16       3.1881
_SET1_   152110        3   27232097   27435912    734      28  36989     -0.38213      0.26436   -6.1062e-16     -0.38213
_SET1_   10777         3   35655666   35860988    474      36  36989      0.60551     0.067686   -5.5511e-16      0.60551
_SET1_   776           3   53504076   53872179    924      89  36989      0.60506     0.042423   -5.5511e-16      0.60506
_SET1_   26059         3   55517336   56527391   3016     104  36989     -0.43905     0.049011   -6.1062e-16     -0.43905
_SET1_   8618          3   62359021   62886064   1952     107  36989      0.50645     0.012645   -5.5511e-16      0.50645
_SET1_   407738        3   68015734   68619772   2096      96  36989      0.15216     0.022968   -6.1062e-16      0.15216
_SET1_   5067          3   74286719   74688587   1086      82  36989      0.30347     0.063723   -6.1062e-16      0.30347
_SET1_   6092          3   75930845   77724115   5483     228  36989      0.93152    0.0014883   -5.5511e-16      0.93152
_SET1_   2596          3  115317151  115465334    403      71  36989      0.24661      0.13546   -6.1062e-16      0.24661
_SET1_   9515          3  120602050  121168608   1852      28  36989      -1.5872       0.4655   -6.6613e-16      -1.5872
_SET1_   66000         3  132732171  133141619   1328      54  36989       1.7466   0.00085337   -6.6613e-16       1.7466
_SET1_   64084         3  139629027  140311919   2093     153  36989      0.20465     0.023521   -6.1062e-16      0.20465
_SET1_   116931        3  150778452  151179465   1062      50  36989      -1.2817      0.52599   -6.6613e-16      -1.2817
_SET1_   23101         3  182870831  183171031    967      64  36989     -0.89107      0.40281   -5.5511e-16     -0.89107
_SET1_   2257          3  191832033  192470388   1740     134  36989        1.224    0.0025512   -6.6613e-16        1.224
_SET1_   5522          4    6297305    6590327   1119     107  36989      0.84676      0.01923   -5.5511e-16      0.84676
_SET1_   84448         4    7942037    8185559    954     122  36989      -2.2986      0.88511   -4.4409e-16      -2.2986
_SET1_   80333         4   20705234   21975424   4887     183  36989      -1.9572      0.47408   -6.6613e-16      -1.9572
_SET1_   5099          4   30696951   31173423   1395      68  36989        2.594   2.9472e-05   -4.4409e-16        2.594
_SET1_   57495         4   37221690   37476087    889      76  36989       1.2167    0.0099914   -6.6613e-16       1.2167
_SET1_   2560          4   47008295   47457801   1114      72  36989       1.4837    0.0031398   -6.6613e-16       1.4837
_SET1_   84708         4   54301437   54543653    767      48  36989      0.55861     0.053481   -5.5511e-16      0.55861
_SET1_   2044          4   66160281   66561529   1561      67  36989       1.7858   0.00047164   -6.6613e-16       1.7858
_SET1_   401145        4   91023684   92548370   4882     156  36989      0.13682     0.016236   -6.1062e-16      0.13682
_SET1_   9348          4  118930500  119204789    854      27  36989       1.8561      0.00186   -6.6613e-16       1.8561
_SET1_   442117        4  172709575  173986559   3041     112  36989     -0.88611      0.11322   -5.5511e-16     -0.88611
_SET1_   2823          4  176529088  176948842   1285      99  36989       3.7034   2.6367e-07   -4.4409e-16       3.7034
_SET1_   108           5    7371343    7855194   1324      90  36989      0.43483     0.035911   -6.1062e-16      0.43483
_SET1_   10409         5   17191932   17301954    307      44  36989      0.47673     0.097869   -6.1062e-16      0.47673
_SET1_   1016          5   19448140   20600972   3092     108  36989     -0.62936      0.07145   -5.5511e-16     -0.62936
_SET1_   1010          5   21725870   22878731   2966     113  36989       -2.114      0.51109   -4.4409e-16       -2.114
_SET1_   1008          5   24462209   24670085    727      41  36989       1.4353    0.0069154   -6.6613e-16       1.4353
_SET1_   1007          5   26855709   27063689    610      37  36989      -1.8431       0.8117   -6.6613e-16      -1.8431
_SET1_   348980        5   45230052   45721220    526      23  36989       4.6701   1.5166e-08   -8.8818e-16       4.6701
_SET1_   9456          5   78644647   78834659    468      37  36989      0.95048     0.033966   -5.5511e-16      0.95048
_SET1_   79772         5   94013280   94645279   1628     118  36989      -0.5479      0.17095   -5.5511e-16      -0.5479
_SET1_   1946          5  106687590  107031596    885      97  36989       2.5393   0.00014047   -4.4409e-16       2.5393
_SET1_   642987        5  109730197  110087507    763      20  36989     -0.93406      0.52394   -5.5511e-16     -0.93406
_SET1_   814           5  110534947  110855584    853      48  36989     -0.39073      0.23971   -6.1062e-16     -0.39073
