# ALPHA = 0.05
# NUMBER_OF_TESTS = 12

# _SET1_  VARIABLE = Astro (set)
# _SET1_  NGENES = 2557
# _SET1_  P-VALUE = 0.000200274
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   54991         1     992198    1076736    241      21  36989     -0.25249      0.30813             0     -0.25249
_SET1_   2782          1    1691725    1847552    208      15  36989     -0.13831      0.27654             0     -0.13831
_SET1_   63976         1    2960565    3380185   1565     154  36989      0.70956      0.01601             0      0.70956
_SET1_   23261         1    6820384    7854766   2961     201  36989      -2.0071      0.46994             0      -2.0071
_SET1_   8863          1    7819413    7930241    440      35  36989     -0.15549      0.23984             0     -0.15549
_SET1_   473           1    8387464    8902699    834      30  36989       3.6341   1.2421e-06             0       3.6341
_SET1_   2023          1    8896059    8964151    137      16  36989       1.5474     0.011538             0       1.5474
_SET1_   84275         1    9574528    9667831    135      13  36989      -1.3229      0.74492             0      -1.3229
_SET1_   56998         1    9883334    9995316    196      30  36989      0.63644      0.09039             0      0.63644
_SET1_   10277         1   10068041   10266297    431      22  36989      -0.2545      0.32271             0      -0.2545
_SET1_   23095         1   10245606   10466664    699      20  36989      0.29888      0.10456             0      0.29888
_SET1_   5394          1   11101675   11184961    200       7  36989     -0.87919      0.62048             0     -0.87919
_SET1_   9249          1   12602939   12702820    408      47  36989      -1.0098      0.55971             0      -1.0098
_SET1_   7799          1   14001714   14176574    575      33  36989      0.12504      0.15869             0      0.12504
_SET1_   23254         1   14194646   15469544   4859     340  36989     -0.58401     0.064901             0     -0.58401
_SET1_   54455         1   16548339   16703965    330      12  36989       1.5203     0.011657             0       1.5203
_SET1_   11240         1   17368256   17470948    448      24  36989       1.2336     0.018093             0       1.2336
_SET1_   55160         1   17821693   18049370    523      49  36989      -1.7263      0.79639             0      -1.7263
_SET1_   23352         1   19376000   19561812    415      24  36989     -0.86549      0.51356             0     -0.86549
_SET1_   50809         1   21044170   21138808    195      21  36989       2.0289    0.0027818             0       2.0289
_SET1_   8672          1   21107785   21528381    783      23  36989       1.7031    0.0031353             0       1.7031
_SET1_   998           1   22354120   22444439    311      22  36989       1.8017    0.0050998             0       1.8017
_SET1_   7798          1   23385516   23529301    300      18  36989     -0.49877      0.39452             0     -0.49877
_SET1_   10236         1   23610953   23696143    106      11  36989       -1.529      0.80922             0       -1.529
_SET1_   55616         1   23730056   23835750    269      18  36989      -1.2104      0.69861             0      -1.2104
_SET1_   57185         1   24717245   24824473    275      21  36989        1.158     0.026509             0        1.158
_SET1_   25932         1   25046760   25195815    246      23  36989      -1.3029        0.702             0      -1.3029
_SET1_   55219         1   25732388   25851700    126       2  36989      -0.2652      0.40341             0      -0.2652
_SET1_   8289          1   26997522   27133601    175      12  36989       2.1343    0.0032486             0       2.1343
_SET1_   27245         1   27835756   27955463    140      17  36989      0.95476     0.063399             0      0.95476
_SET1_   23673         1   28074694   28175963    120       7  36989      0.08731      0.37222   -1.3878e-17      0.08731
_SET1_   65979         1   28671093   28851881    529      10  36989        1.168     0.023524             0        1.168
_SET1_   1307          1   32092848   32194768    170      22  36989     -0.86252      0.54369             0     -0.86252
_SET1_   8073          1   32347022   32428988    133      21  36989     0.012172       0.2605   -1.0408e-17     0.012172
_SET1_   10657         1   32454295   32551460     92      15  36989    -0.092471      0.36792   -1.3878e-17    -0.092471
_SET1_   1912          1   33764224   33866194    277      19  36989      0.14938      0.18142             0      0.14938
_SET1_   114784        1   33954609   34656443   1951     171  36989     -0.82149      0.18805             0     -0.82149
_SET1_   6421          1   35616981   35683766    132      11  36989       2.1885    0.0045591             0       2.1885
_SET1_   79932         1   35874091   36048037    164      12  36989       1.9101     0.010362             0       1.9101
_SET1_   64769         1   37930561   38005420    194      31  36989     -0.19446      0.28509             0     -0.19446
_SET1_   23499         1   39524839   39977810    960      42  36989      0.59025     0.044074             0      0.59025
_SET1_   10450         1   40179517   40254586    240      34  36989     -0.54629      0.40678             0     -0.54629
_SET1_   64744         1   40814378   40913998    265      34  36989     -0.29113      0.31948             0     -0.29113
_SET1_   4802          1   41132242   41262275    333      25  36989       1.5058     0.010899             0       1.5058
_SET1_   22887         1   42617210   42826548    395      21  36989     -0.53947      0.39469             0     -0.53947
_SET1_   728621        1   42975560   43145335    502      25  36989      -1.6009      0.76377             0      -1.6009
_SET1_   5792          1   43966708   44114343    360      18  36989       3.8479   1.6862e-06             0       3.8479
_SET1_   6487          1   44148204   44421837    594      24  36989       2.9799   4.7159e-05             0       2.9799
_SET1_   79033         1   44661742   44846315    298      21  36989      0.63984     0.080057             0      0.63984
_SET1_   55182         1   44845837   45142396    830      91  36989     -0.22695      0.20339             0     -0.22695
_SET1_   339541        1   45115370   45216263    257      37  36989     -0.90201      0.55051             0     -0.90201
_SET1_   10420         1   45784555   45981840    295      15  36989      -1.2937       0.7064             0      -1.2937
_SET1_   8503          1   46480812   46667167    319      23  36989      -1.0372       0.5939             0      -1.0372
_SET1_   8569          1   46998079   47094966    231      28  36989     0.041083      0.20661   -1.3878e-17     0.041083
_SET1_   64756         1   47075711   47159099    199      15  36989      -1.8295       0.8654             0      -1.8295
_SET1_   54558         1   48736044   48962876    489      36  36989       -1.542      0.75364             0       -1.542
_SET1_   84871         1   48973527   50514626   2323      59  36989       1.6463    0.0001263             0       1.6463
_SET1_   11124         1   50881935   51450936    791      27  36989     0.092811      0.13694   -1.3878e-17     0.092811
_SET1_   23318         1   52863947   53043764    299      19  36989      0.29347      0.16909             0      0.29347
_SET1_   55268         1   53336582   53417846    125      15  36989      -1.5196      0.79269             0      -1.5196
_SET1_   6342          1   53367901   53542289    615      21  36989      -1.9821      0.88116             0      -1.9821
_SET1_   26027         1   54982930   55125417    530      45  36989      -1.9085      0.84414             0      -1.9085
_SET1_   374977        1   55082427   55200939    481      43  36989      -0.8839      0.50127             0      -0.8839
_SET1_   8613          1   56935419   57070257    405      40  36989      -2.1614      0.90539             0      -2.1614
