# ALPHA = 0.05
# NUMBER_OF_TESTS = 44

# _SET1_  VARIABLE = Perivascular-FB-KAZN2 (set)
# _SET1_  NGENES = 1286
# _SET1_  P-VALUE = 0.000858855
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   23261         1    6810384    7839766   4535     347  469990      0.11659      0.25924    3.3307e-16      0.11659
_SET1_   22883         1    9779079    9919550    633      60  452429     -0.69035      0.62311    3.3307e-16     -0.69035
_SET1_   23095         1   10235606   10451664    906      39  473632      0.28016      0.24746    3.3307e-16      0.28016
_SET1_   23254         1   14184646   15454544   6947     501  468615       1.4227     0.021563    4.4409e-16       1.4227
_SET1_   998           1   22344120   22429439    427      54  469653       1.0156     0.069602    4.4409e-16       1.0156
_SET1_   10772         1   24282935   24341953     40      13  436423       3.8379   1.1815e-05    4.4409e-16       3.8379
_SET1_   57134         1   25908959   26121258    853      87  460531     -0.27652      0.43619    3.3307e-16     -0.27652
_SET1_   8289          1   26987522   27118601    316      45  461622      0.76762      0.12531    3.3307e-16      0.76762
_SET1_   23673         1   28064694   28160963    286      35  456770      0.14348      0.40823    3.3307e-16      0.14348
_SET1_   2140          1   28286855   28450173    627      66  469920      -0.7641      0.62654    3.3307e-16      -0.7641
_SET1_   65979         1   28661093   28836881    718      31  468258       2.8454   0.00056894    4.4409e-16       2.8454
_SET1_   8073          1   32362022   32438988    298      41  462334     -0.74828      0.66711    3.3307e-16     -0.74828
_SET1_   10657         1   32444295   32536460    228      66  460909       0.4032      0.23652    3.3307e-16       0.4032
_SET1_   22955         1   41482871   41742815    970      56  467663      -1.2565        0.788    4.4409e-16      -1.2565
_SET1_   55182         1   44835837   45127396   1202     176  468476       1.5996     0.018042    4.4409e-16       1.5996
_SET1_   57643         1   45472071   45707250    703      73  469151     -0.31376      0.45112    3.3307e-16     -0.31376
_SET1_   10420         1   45799555   45991840    622      50  460996      -1.7955      0.90839    4.4409e-16      -1.7955
_SET1_   4678          1   46014660   46094578    322      32  466019      -2.2535      0.96767    4.4409e-16      -2.2535
_SET1_   8503          1   46495812   46677167    588      58  469087     -0.93214      0.67833    3.3307e-16     -0.93214
_SET1_   54558         1   48751044   48972876    911      56  461068       1.2203     0.048617    4.4409e-16       1.2203
_SET1_   9528          1   54487346   54554135    243      52  470879     0.087869      0.32566    3.3307e-16     0.087869
