# ALPHA = 0.05
# NUMBER_OF_TESTS = 43

# _SET1_  VARIABLE = Arteriolar-SMC (set)
# _SET1_  NGENES = 896
# _SET1_  P-VALUE = 0.000742942
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   57801         1     934342     936608     17       7  460925       1.6654     0.022661    8.8818e-16       1.6654
_SET1_   23261         1    6845384    7829766   4336     358  469781     0.098274      0.26817    9.7145e-16     0.098274
_SET1_   5293          1    9711789    9789172    335      67  460695      0.80004      0.10982     9.992e-16      0.80004
_SET1_   23095         1   10270606   10441664    689      35  473689      0.20034      0.26977    9.7145e-16      0.20034
_SET1_   55187         1   12290101   12572099    872      56  466170     -0.46543      0.56291     9.992e-16     -0.46543
_SET1_   23254         1   14219646   15444544   6679     495  468521       1.3114     0.030734    8.8818e-16       1.3114
_SET1_   55092         1   15479028   15546974    442      44  477011      -2.0608      0.94367    8.8818e-16      -2.0608
_SET1_   54751         1   16083107   16113089    129      30  467776      0.51046      0.17443     9.992e-16      0.51046
_SET1_   1889          1   21543740   21672034    601      86  464758     -0.17713      0.39088    9.7145e-16     -0.17713
_SET1_   114784        1   33979609   34631443   2968     295  466818     -0.77689      0.61309     9.992e-16     -0.77689
_SET1_   26508         1   40089103   40105348     71      36  472469      -1.5283      0.86046    8.8818e-16      -1.5283
_SET1_   55182         1   44870837   45117396   1031     132  467875       1.6734     0.015766    8.8818e-16       1.6734
_SET1_   84871         1   48998527   50489626   4462     138  458219      0.26589      0.22423     9.992e-16      0.26589
_SET1_   84938         1   63249777   63330941    291      31  467536     -0.21971        0.412    9.7145e-16     -0.21971
_SET1_   57685         1   64936476   65158741    773     140  469202      0.30157       0.2397     9.992e-16      0.30157
_SET1_   9829          1   65720133   65881552    630      61  466789      0.86997     0.087333     9.992e-16      0.86997
_SET1_   5142          1   66258193   66840262   2322     165  467219     -0.59797      0.54056     9.992e-16     -0.59797
_SET1_   84251         1   66999066   67210768    990      49  468664      0.34835      0.20531     9.992e-16      0.34835
_SET1_   57554         1   70033230   70589171   2299     143  466918       1.0799     0.056929    8.8818e-16       1.0799
_SET1_   257194        1   71868625   72748533   3079     188  464137      0.23316      0.23304    9.7145e-16      0.23316
_SET1_   256435        1   76540389   77100311   2552     228  464420      -1.6075       0.8733    8.8818e-16      -1.6075
_SET1_   26289         1   77747662   78025654   1260     109  474810      -1.0953      0.73229    8.8818e-16      -1.0953
_SET1_   91624         1   78354200   78412009    171      50  459819     -0.19404      0.42354    9.7145e-16     -0.19404
_SET1_   5567          1   84543745   84704181    435      66  464042     -0.37598      0.46017     9.992e-16     -0.37598
_SET1_   255631        1   86194916   86622121   1969     103  472138     -0.99202      0.68279     9.992e-16     -0.99202
_SET1_   23507         1   89989933   90063420    253      26  476320     -0.70706      0.60418     9.992e-16     -0.70706
_SET1_   55144         1   90286573   90401991    351      80  468717      0.47752      0.17829     9.992e-16      0.47752
_SET1_   284697        1   92545862   92613397    235      44  467941      -1.2793      0.79954    8.8818e-16      -1.2793
_SET1_   29899         1  109417972  109473044    200      40  468711       1.3986     0.034172    8.8818e-16       1.3986
_SET1_   845           1  116242624  116311426    416      41  471169       0.7824      0.10492     9.992e-16       0.7824
_SET1_   55356         1  116519119  116612675    345      52  469053      0.88124      0.10031     9.992e-16      0.88124
_SET1_   6913          1  119425666  119532179    396      53  469230      -1.4474      0.83493    8.8818e-16      -1.4474
_SET1_   10628         1  145438438  145442635      6       4  387975       0.3278      0.31005     9.992e-16       0.3278
_SET1_   8515          1  145524709  145543868     43      22  411569    -0.026489      0.33372    9.7145e-16    -0.026489
_SET1_   23208         1  155829260  155854990     66      25  458793       1.3035     0.045809    8.8818e-16       1.3035
_SET1_   55243         1  157963063  158065846    456     103  470839    -0.081647      0.34849    9.7145e-16    -0.081647
_SET1_   477           1  160085520  160113381    131      40  475186     -0.57342      0.55769     9.992e-16     -0.57342
_SET1_   9722          1  162039581  162339813   1494     117  469847      0.36393      0.19692     9.992e-16      0.36393
_SET1_   4921          1  162602228  162756409    620      62  469217     -0.20296      0.42411    9.7145e-16     -0.20296
_SET1_   8490          1  163112089  163291581    893      65  474416       1.7745      0.01204    8.8818e-16       1.7745
_SET1_   92241         1  167599474  167677933    460     104  468027      0.21395      0.24631    9.7145e-16      0.21395
_SET1_   481           1  169075947  169101960    134      33  474383     0.043703      0.30347    9.7145e-16     0.043703
_SET1_   26052         1  171810618  172387606   2254     139  467183      0.65635      0.12336     9.992e-16      0.65635
_SET1_   460           1  176826441  177134024   1203     120  459353       1.3077     0.038017    8.8818e-16       1.3077
_SET1_   9462          1  178062864  178448649   1175      61  462888       -1.445      0.85627    8.8818e-16       -1.445
_SET1_   2752          1  182350839  182361341     54      21  455938     -0.79855      0.63924     9.992e-16     -0.79855
_SET1_   3915          1  182992572  183114727    625      28  471059      0.25114      0.23942     9.992e-16      0.25114
_SET1_   23179         1  183605208  183897666   1229     103  468788      -0.7238      0.58945     9.992e-16      -0.7238
_SET1_   23127         1  183898988  184006904    575      91  461406     -0.50383      0.51053     9.992e-16     -0.50383
_SET1_   81563         1  184356150  184598155   1052      84  462159      0.46824      0.18038     9.992e-16      0.46824
_SET1_   116496        1  184760159  184943718    833      74  464988     0.002853      0.31919    9.7188e-16     0.002853
_SET1_   343450        1  196194913  196577690   1373      72  433544     -0.74558      0.62268     9.992e-16     -0.74558
