# ALPHA = 0.05
# NUMBER_OF_TESTS = 12

# _SET1_  VARIABLE = Microglia (set)
# _SET1_  NGENES = 249
# _SET1_  P-VALUE = 0.000878045
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   6518       1    9087005    9166763    414      55  471932       1.6716     0.015801   -2.2204e-16       1.6716
_SET1_   84966      1   18399240   18714977   1717     250  467668      -1.9808      0.93461   -2.2204e-16      -1.9808
_SET1_   713        1   22944682   22998130    232      44  468518     -0.82815      0.63491   -2.2204e-16     -0.82815
_SET1_   7805       1   31195315   31265683    355      77  464829       2.1734    0.0033547             0       2.1734
_SET1_   1441       1   36921644   36983915    266      56  472708      0.93912     0.086199   -2.2204e-16      0.93912
_SET1_   64744      1   40804378   40898998    349      73  471965      -1.2758       0.7855   -2.2204e-16      -1.2758
_SET1_   8569       1   47013079   47104966    382      66  461955      0.10958      0.27034   -1.6653e-16      0.10958
_SET1_   84251      1   66964066   67220768   1256      55  468663      0.35922      0.19665   -1.6653e-16      0.35922
_SET1_   963        1  111378821  111452558    336      37  475742      0.57517      0.15396   -2.2204e-16      0.57517
_SET1_   647135     1  143880897  144104426     34      23  330494     -0.72951      0.64246   -2.2204e-16     -0.72951
_SET1_   3428       1  158944682  159034945    466      44  470272       1.1638     0.059302   -2.2204e-16       1.1638
_SET1_   8832       1  160500884  160584306    456      43  469645        1.028     0.076145   -2.2204e-16        1.028
_SET1_   5087       1  164493597  164831067   1388     215  468364      0.17322      0.25324   -1.6653e-16      0.17322
_SET1_   92241      1  167564474  167687933    705     121  467171        1.696     0.013345   -2.2204e-16        1.696
_SET1_   80896      1  182723584  182809519    319      60  470717     -0.87589      0.67896   -2.2204e-16     -0.87589
_SET1_   5321       1  186763032  186968113    874      98  468501      -1.3056      0.78791   -2.2204e-16      -1.3056
_SET1_   5788       1  198573098  198736605    737      78  467266     -0.14536      0.38072   -1.6653e-16     -0.14536
_SET1_   23114      1  204762782  205001950   1263     114  465522       1.1848     0.046585   -2.2204e-16       1.1848
_SET1_   8476       1  227167566  227541193   2101      40  472613      0.38664      0.20403   -1.6653e-16      0.38664
_SET1_   27185      1  231727561  232187018   2094     222  469118       2.0076    0.0063427             0       2.0076
_SET1_   80003      1  233109855  233466459   1750     166  471217       0.2677      0.22553   -1.6653e-16       0.2677
_SET1_   6546       2   40329286   40774575   2177     156  470225     0.071079      0.27985   -1.6653e-16     0.071079
_SET1_   678        2   43439541   43488745    162      61  458345       2.8725   0.00040005             0       2.8725
_SET1_   6711       2   54648454   54908583   1201      82  469287    -0.075784      0.33732   -1.6653e-16    -0.075784
_SET1_   9938       2   68926913   69063965    687      79  472617       1.0765     0.054897   -2.2204e-16       1.0765
_SET1_   11320      2   99225569   99382589    589      79  464820       2.0194    0.0056922             0       2.0194
_SET1_   8440       2  106326520  106520730   1045      75  465605        3.564   2.2621e-05             0        3.564
_SET1_   10461      2  112621056  112807293    842      54  469685      0.55915      0.14595   -2.2204e-16      0.55915
_SET1_   55843      2  143851899  144535921   2357     212  469504      0.40638      0.18392   -1.6653e-16      0.40638
_SET1_   8502       2  159278476  159547941   1305      64  469555    -0.038294      0.32519   -1.7347e-16    -0.038294
_SET1_   22837      2  165526695  165733678    919      68  470257     -0.37447      0.45665   -1.6653e-16     -0.37447
_SET1_   27347      2  168800530  169139105   1666     105  467301     -0.89572      0.64169   -2.2204e-16     -0.89572
_SET1_   11069      2  173565525  173927621   1476     167  470093      0.12672      0.26709   -1.6653e-16      0.12672
_SET1_   91404      2  179956419  180164350    875      76  467893      0.47366      0.17147   -1.6653e-16      0.47366
_SET1_   10787      2  183779579  183938586    631      54  469065       -1.686      0.90295   -2.2204e-16       -1.686
_SET1_   7145       2  218654512  218843796    855     157  471139     -0.48923      0.49003   -1.6653e-16     -0.48923
_SET1_   6556       2  219211752  219271617    245      71  466047       -1.288      0.78708   -2.2204e-16       -1.288
