# ALPHA = 0.05
# NUMBER_OF_TESTS = 12

# _SET1_  VARIABLE = Pericyte (set)
# _SET1_  NGENES = 2588
# _SET1_  P-VALUE = 0.000204594
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   375790        1     920503    1001499    498      73  455328       3.0545   0.00018931   -4.4409e-16       3.0545
_SET1_   57801         1     924342     971608    257      44  456042       2.0712    0.0053653   -4.4409e-16       2.0712
_SET1_   116983        1    1217764    1278304    353      61  457628     -0.89601      0.70959   -3.3307e-16     -0.89601
_SET1_   2782          1    1706725    1857552    549      64  461322     -0.94414      0.67363   -3.3307e-16     -0.94414
_SET1_   6497          1    2125134    2251652    592     106  464827      -1.8219       0.9023   -2.2204e-16      -1.8219
_SET1_   23261         1    6810384    7839766   4535     347  469990      0.10935      0.25924   -3.0531e-16      0.10935
_SET1_   8863          1    7809413    7915241    452      49  474483      0.65845      0.13289   -3.3307e-16      0.65845
_SET1_   473           1    8402464    8912699   1433      72  464886       2.1157    0.0044384   -4.4409e-16       2.1157
_SET1_   5293          1    9676789    9799172    556      86  461632       1.4409     0.027153   -2.2204e-16       1.4409
_SET1_   23095         1   10235606   10451664    906      39  473632      0.27733      0.24746   -3.3307e-16      0.27733
_SET1_   5195          1   10500003   10700815    732      78  468964      -0.8435      0.63384   -3.3307e-16      -0.8435
_SET1_   23435         1   11037462   11095549    242      56  468660     -0.85223      0.65581   -3.3307e-16     -0.85223
_SET1_   5394          1   11116675   11194961    287      17  470277      -1.2074      0.83537   -2.2204e-16      -1.2074
_SET1_   5351          1   11959724   12045599    478      63  467721      -1.1758      0.75244   -2.2204e-16      -1.1758
_SET1_   55187         1   12255101   12582099   1093      69  467333     -0.57527       0.5929   -3.3307e-16     -0.57527
_SET1_   7799          1   13991714   14161574    814      54  469824     -0.25896       0.4404   -3.3307e-16     -0.25896
_SET1_   23254         1   14184646   15454544   6947     501  468615       1.4119     0.021563   -2.2204e-16       1.4119
_SET1_   55092         1   15444028   15556974    795      59  473443     -0.97944        0.688   -3.3307e-16     -0.97944
