# ALPHA = 0.05
# NUMBER_OF_TESTS = 12

# _SET1_  VARIABLE = Endothelial (set)
# _SET1_  NGENES = 1286
# _SET1_  P-VALUE = 2.70681e-05
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   23095         1   10245606   10466664    699      20  36989      0.29888      0.10456   -1.1102e-16      0.29888
_SET1_   7133          1   12202044   12294279    275      32  36989      -2.1445      0.91599             0      -2.1445
_SET1_   23254         1   14194646   15469544   4859     340  36989     -0.58401     0.064901   -1.1102e-16     -0.58401
_SET1_   149563        1   16305731   16358184    287      18  36989      -0.3599      0.34749   -1.1102e-16      -0.3599
_SET1_   11240         1   17368256   17470948    448      24  36989       1.2336     0.018093   -2.2204e-16       1.2336
_SET1_   55450         1   20783884   20837728    112      21  36989      0.20274      0.17833   -1.3878e-16      0.20274
_SET1_   249           1   21810475   21929905    487      46  36989      -0.8421      0.48078   -1.1102e-16      -0.8421
_SET1_   3339          1   22123737   22288750    592      48  36989     -0.67124      0.40433   -1.1102e-16     -0.67124
_SET1_   7798          1   23385516   23529301    300      18  36989     -0.49877      0.39452   -1.1102e-16     -0.49877
_SET1_   3399          1   23859421   23911285    105      17  36989     -0.16375      0.28318   -1.3878e-16     -0.16375
_SET1_   57185         1   24717245   24824473    275      21  36989        1.158     0.026509   -2.2204e-16        1.158
_SET1_   25932         1   25046760   25195815    246      23  36989      -1.3029        0.702   -2.2204e-16      -1.3029
_SET1_   57134         1   25918959   26136258    427      31  36989      -1.2192      0.65833   -2.2204e-16      -1.2192
_SET1_   2268          1   27913800   27986727    111      15  36989       1.5566      0.03144   -2.2204e-16       1.5566
_SET1_   23673         1   28074694   28175963    120       7  36989      0.08731      0.37222    -1.249e-16      0.08731
_SET1_   114784        1   33954609   34656443   1951     171  36989     -0.82149      0.18805   -1.1102e-16     -0.82149
_SET1_   84879         1   40395784   40460630    128      23  36989      -1.1172      0.65108   -2.2204e-16      -1.1172
_SET1_   6513          1   43366046   43449847    279      24  36989      0.21056      0.16087   -1.3878e-16      0.21056
_SET1_   7075          1   43741566   43813781    107      16  36989       2.7243   0.00027482             0       2.7243
_SET1_   5792          1   43966708   44114343    360      18  36989       3.8479   1.6862e-06             0       3.8479
_SET1_   10420         1   45784555   45981840    295      15  36989      -1.2937       0.7064   -2.2204e-16      -1.2937
_SET1_   8503          1   46480812   46667167    319      23  36989      -1.0372       0.5939   -2.2204e-16      -1.0372
_SET1_   54558         1   48736044   48962876    489      36  36989       -1.542      0.75364   -2.2204e-16       -1.542
_SET1_   84871         1   48973527   50514626   2323      59  36989       1.6463    0.0001263   -2.2204e-16       1.6463
_SET1_   7804          1   53683036   53818821    363      39  36989       2.0068    0.0022376             0       2.0068
_SET1_   8613          1   56935419   57070257    405      40  36989      -2.1614      0.90539             0      -2.1614
_SET1_   5563          1   57085990   57206008    415      31  36989     -0.69133      0.43449   -1.1102e-16     -0.69133
_SET1_   1600          1   57435453   58741211   3923     212  36989      -0.6467     0.077944   -1.1102e-16      -0.6467
_SET1_   84938         1   63224777   63355941    288      11  36989     -0.63351      0.46186   -1.1102e-16     -0.63351
_SET1_   9829          1   65695133   65906552    596      38  36989       -2.595      0.94945             0       -2.595
_SET1_   3953          1   65861335   66128176    790      33  36989      -0.1007      0.16929    -1.249e-16      -0.1007
_SET1_   5142          1   66233193   66865262   1663      83  36989        2.219   7.1978e-05             0        2.219
_SET1_   84251         1   66974066   67235768    938      30  36989     -0.79551      0.36619   -1.1102e-16     -0.79551
_SET1_   57554         1   70008230   70614171   1682      71  36989     -0.28308     0.094124   -1.1102e-16     -0.28308
_SET1_   257194        1   71843625   72773533   2010      91  36989       1.4914   0.00050654   -2.2204e-16       1.4914
_SET1_   51086         1   74676071   75035116    687      54  36989      0.64523     0.050594   -1.1102e-16      0.64523
_SET1_   256435        1   76515389   77125311   1992     141  36989     -0.58408      0.12867   -1.1102e-16     -0.58408
