# ALPHA = 0.05
# NUMBER_OF_TESTS = 6

# _SET1_  VARIABLE = Neuron_ex (set)
# _SET1_  NGENES = 258
# _SET1_  P-VALUE = 0.000692544
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   26038      1    6136847    6265194    399      40  36989      -1.3928       0.7082   -6.6613e-16      -1.3928
_SET1_   84871      1   48973527   50514626   2323      59  36989       1.6463    0.0001263   -6.6613e-16       1.6463
_SET1_   81849      1   77308126   77558223    642      45  36989     -0.61129      0.35699   -5.5511e-16     -0.61129
_SET1_   23266      1   82241082   82483107    704      46  36989      -1.4465      0.66966   -6.6613e-16      -1.4465
_SET1_   118427     1  102243126  102487790    834      86  36989       1.5563    0.0041957   -6.6613e-16       1.5563
_SET1_   3752       1  112293444  112557147    848      92  36989       2.5589    0.0001481   -4.4409e-16       2.5589
_SET1_   7143       1  175266935  175737752   1398     123  36989       1.7063    0.0010419   -6.6613e-16       1.7063
_SET1_   777        1  181427447  181800920    970      78  36989       1.1732     0.010136   -6.6613e-16       1.1732
_SET1_   23057      1  183192372  183412634    567      29  36989       1.4967    0.0077245   -6.6613e-16       1.4967
_SET1_   5362       1  208170587  208442665    811      71  36989       1.7593    0.0023508   -6.6613e-16       1.7593
_SET1_   3756       1  210826657  211332457   1730      96  36989      -1.0491      0.28996   -6.6613e-16      -1.0491
_SET1_   55061      1  223369161  223562564    399      27  36989      0.14584      0.16231   -6.1062e-16      0.14584
_SET1_   148641     1  234015679  234485262   1786     124  36989     -0.45074      0.12325   -6.1062e-16     -0.45074
_SET1_   6262       1  237180510  238022288   2992     218  36989      -0.5067     0.055828   -5.5511e-16      -0.5067
_SET1_   1131       1  239524876  240103750   1551     116  36989      0.93696     0.007944   -5.5511e-16      0.93696
_SET1_   23040      2    1767885    2360147   1832      98  36989     -0.62819      0.15382   -5.5511e-16     -0.62819
_SET1_   7447       2   17696807   17862706    528      19  36989      0.30499       0.1267   -6.1062e-16      0.30499
_SET1_   114818     2   23583298   23956483   1340     110  36989      0.36637     0.043226   -6.1062e-16      0.36637
