# ALPHA = 0.05
# NUMBER_OF_TESTS = 46

# _SET1_  VARIABLE = Microglia-activated (set)
# _SET1_  NGENES = 794
# _SET1_  P-VALUE = 0.000336538
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   6497          1    2125134    2251652    592     106  464827      -1.8112       0.9023    2.2204e-16      -1.8112
_SET1_   6518          1    9087005    9166763    414      55  471932       1.6815     0.015801    2.2204e-16       1.6815
_SET1_   5293          1    9676789    9799172    556      86  461632       1.4485     0.027153    2.2204e-16       1.4485
_SET1_   23095         1   10235606   10451664    906      39  473632      0.28016      0.24746    1.1102e-16      0.28016
_SET1_   7133          1   12192044   12279279    383      67  470965    -0.062064      0.34267     1.249e-16    -0.062064
_SET1_   9249          1   12617939   12712820    532      93  469229     0.026825      0.29954    1.2143e-16     0.026825
_SET1_   11240         1   17383256   17480948    580      58  475303     -0.54959      0.52805    1.1102e-16     -0.54959
_SET1_   55920         1   17723251   17801250    394      51  463683      -1.0532      0.71423    2.2204e-16      -1.0532
_SET1_   84966         1   18399240   18714977   1717     250  467668       -1.977      0.93461    2.2204e-16       -1.977
_SET1_   832           1   19655267   19847066    991      76  470928       0.7104      0.11252    1.1102e-16       0.7104
_SET1_   440574        1   19888471   19966315    368      35  470132       1.7482     0.017059    2.2204e-16       1.7482
_SET1_   1889          1   21533740   21707034    822     104  467306       0.2895      0.21513    1.1102e-16       0.2895
_SET1_   712           1   22928118   22976175    251      49  463295      -1.0669      0.71913    2.2204e-16      -1.0669
_SET1_   714           1   22934969   22984603    247      47  464206      -1.0958       0.7274    2.2204e-16      -1.0958
_SET1_   713           1   22944682   22998130    232      44  468518     -0.81678      0.63491    1.1102e-16     -0.81678
_SET1_   6195          1   26821249   26911520    323      52  464996       0.8383     0.095705    1.1102e-16       0.8383
_SET1_   10163         1   27720734   27851678    406      58  464277      0.87854        0.102    1.1102e-16      0.87854
_SET1_   9473          1   28164055   28223196    224      60  460426       1.5547      0.02086    2.2204e-16       1.5547
_SET1_   5724          1   28463677   28555447    292      69  462230      0.65733       0.1262    1.1102e-16      0.65733
_SET1_   2035          1   29178603   29456558   1021      72  462846       1.0434     0.065712    2.2204e-16       1.0434
_SET1_   7805          1   31195315   31265683    355      77  464829       2.1864    0.0033547             0       2.1864
_SET1_   1912          1   33779224   33876194    360      44  466556      -0.1525      0.37768    1.1102e-16      -0.1525
_SET1_   1441          1   36921644   36983915    266      56  472708      0.94759     0.086199    1.1102e-16      0.94759
_SET1_   64744         1   40804378   40898998    349      73  471965      -1.2646       0.7855    2.2204e-16      -1.2646
_SET1_   59269         1   41962036   42536596   2359     131  468659      0.88871     0.078898    1.1102e-16      0.88871
_SET1_   114625        1   43247776   43320660    250      63  467920      0.53631      0.15587    1.1102e-16      0.53631
_SET1_   57643         1   45472071   45707250    703      73  469151     -0.31376      0.45112    1.1102e-16     -0.31376
_SET1_   10327         1   45981455   46045723    287      36  467627      -1.5874      0.87411    2.2204e-16      -1.5874
_SET1_   8569          1   47013079   47104966    382      66  461955      0.11929      0.27034     1.249e-16      0.11929
_SET1_   6886          1   47671962   47732938    254      44  468254      0.20481      0.25284    1.1102e-16      0.20481
_SET1_   9829          1   65685133   65891552    814      68  467080       1.1426     0.049346    2.2204e-16       1.1426
_SET1_   84251         1   66964066   67220768   1256      55  468663       0.3662      0.19665    1.1102e-16       0.3662
_SET1_   79739         1   84325057   84499850    641      50  467618     -0.69854      0.59439    1.1102e-16     -0.69854
_SET1_   5586          1   89114876   89311938    841      46  464715      -1.7975      0.91926    2.2204e-16      -1.7975
_SET1_   84230         1   90063644   90195094    427      50  469376      -1.8765      0.91821    2.2204e-16      -1.8765
_SET1_   284611        1  109067653  109191949    451      39  464207      0.42816      0.22316    1.1102e-16      0.42816
_SET1_   963           1  111378821  111452558    336      37  475742      0.58434      0.15396    1.1102e-16      0.58434
_SET1_   128338        1  111649954  111717838    304      42  463907     -0.62641      0.59441    1.1102e-16     -0.62641
_SET1_   128346        1  111981474  112031134    207      47  468628      -1.3184      0.81395    2.2204e-16      -1.3184
_SET1_   5906          1  112127405  112266807    625      54  472316      -1.1733      0.76506    2.2204e-16      -1.1733
_SET1_   55917         1  112903800  113013786    362      45  469241      0.28192      0.22803    1.1102e-16      0.28192
_SET1_   7482          1  112975040  113073910    326      66  472707     -0.48053      0.50244    1.1102e-16     -0.48053
_SET1_   148281        1  114621914  114731472    591     110  469453      0.55732      0.13819    1.1102e-16      0.55732
_SET1_   965           1  117047156  117148715    295      84  462497       1.6859     0.015867    2.2204e-16       1.6859
_SET1_   647135        1  143880897  144104426     34      23  330494     -0.71926      0.64246    1.1102e-16     -0.71926
_SET1_   2209          1  149719232  149774074     57      29  406488      0.74738      0.11209    1.1102e-16      0.74738
_SET1_   440689        1  149744245  149818965     83      26  454316    -0.084387       0.3978     1.249e-16    -0.084387
_SET1_   56957         1  149902229  150017686    386      46  462115     -0.53176      0.55191    1.1102e-16     -0.53176
_SET1_   51177         1  150087170  150141825    280      31  457216       0.1736      0.30637    1.1102e-16       0.1736
_SET1_   1520          1  150692672  150773433    211      36  468102      0.23669      0.25026    1.1102e-16      0.23669
_SET1_   3570          1  154342669  154451926    461      71  473686      0.20703      0.24282    1.1102e-16      0.20703
_SET1_   4332          1  158766168  158829270    237      55  474452      0.94315      0.08165    1.1102e-16      0.94315
_SET1_   3428          1  158944682  159034945    466      44  470272       1.1678     0.059302    2.2204e-16       1.1678
_SET1_   8832          1  160500884  160584306    456      43  469645       1.0322     0.076145    2.2204e-16       1.0322
_SET1_   257106        1  161006731  161074760    257      62  468103        2.553    0.0013055             0        2.553
_SET1_   2212          1  161440205  161499360    236      66  462136       1.6704     0.015013    2.2204e-16       1.6704
_SET1_   2214          1  161501549  161555413     99      37  458099     0.069285        0.299     1.249e-16     0.069285
_SET1_   22926         1  161701034  161943860   1004      55  472544       1.1634     0.056323    2.2204e-16       1.1634
_SET1_   25903         1  161942982  162029172    414      96  472650      0.70564      0.12117    1.1102e-16      0.70564
_SET1_   5087          1  164493597  164831067   1388     215  468364      0.17934      0.25324    1.1102e-16      0.17934
_SET1_   8804          1  167500250  167558056    359      63  474956      0.95497     0.075274    1.1102e-16      0.95497
_SET1_   92241         1  167564474  167687933    705     121  467171       1.7062     0.013345    2.2204e-16       1.7062
_SET1_   9019          1  167656187  167771156    538      62  462683      0.73562      0.11126    1.1102e-16      0.73562
_SET1_   26052         1  171775618  172397606   2481     148  467176      0.62679      0.12301    1.1102e-16      0.62679
_SET1_   55103         1  178659300  178900975    913      65  467481    -0.074795      0.35402     1.249e-16    -0.074795
_SET1_   6646          1  179227849  179337815    586      49  469155      -1.3089      0.79764    2.2204e-16      -1.3089
_SET1_   80896         1  182723584  182809519    319      60  470717     -0.86898      0.67896    1.1102e-16     -0.86898
_SET1_   116496        1  184750159  184978718   1037      97  465039    -0.043527      0.32037     1.249e-16    -0.043527
_SET1_   5321          1  186763032  186968113    874      98  468501      -1.2966      0.78791    2.2204e-16      -1.2966
_SET1_   5996          1  192509857  192559159    253      47  472713       1.0215       0.0766    2.2204e-16       1.0215
_SET1_   5788          1  198573098  198736605    737      78  467266     -0.13957      0.38072    1.1102e-16     -0.13957
_SET1_   23114         1  204762782  205001950   1263     114  465522       1.1914     0.046585    2.2204e-16       1.1914
_SET1_   80342         1  209894393  209965668    268      35  471241      0.28288      0.24713    1.1102e-16      0.28288
_SET1_   400823        1  222875558  222936932    183      48  461660       1.1131     0.059891    2.2204e-16       1.1131
_SET1_   84976         1  222953342  223189337    977      82  467231     -0.62832       0.5506    1.1102e-16     -0.62832
_SET1_   7100          1  223272748  223351624    423      38  470549     -0.89793      0.68372    1.1102e-16     -0.89793
_SET1_   55740         1  225664534  225875845    747      75  468251     -0.72008      0.61029    1.1102e-16     -0.72008
_SET1_   8476          1  227167566  227541193   2101      40  472613      0.38944      0.20403    1.1102e-16      0.38944
_SET1_   2590          1  230167956  230427875   1374     141  472454     -0.31167       0.4248    1.1102e-16     -0.31167
_SET1_   27185         1  231727561  232187018   2094     222  469118       2.0125    0.0063427             0       2.0125
_SET1_   57568         1  232523711  232800907   1418     159  468867    -0.089932      0.33776     1.249e-16    -0.089932
_SET1_   80003         1  233109855  233466459   1750     166  471217      0.27391      0.22553    1.1102e-16      0.27391
_SET1_   10806         1  243384307  243673393    878      85  468253      -1.6363      0.87482    2.2204e-16      -1.6363
_SET1_   7678          1  247275277  247370529    454      55  474193     -0.95597      0.68547    1.1102e-16     -0.95597
_SET1_   114548        1  247544247  247622410    485      91  474639       1.0976     0.055005    2.2204e-16       1.0976
_SET1_   9781          2    7022523    7219011    889      97  471035       -1.177      0.74206    2.2204e-16       -1.177
_SET1_   129642        2    8986701    9178876    693      68  464162      -0.4203      0.51228    1.1102e-16      -0.4203
_SET1_   8853          2    9311894    9555812    996     102  464331        2.386    0.0018383             0        2.386
_SET1_   81553         2   16720727   16882134    700     125  466834     -0.53013      0.51512    1.1102e-16     -0.53013
_SET1_   151056        2   28683938   28876654   1011     122  470745       0.2535      0.21803    1.1102e-16       0.2535
_SET1_   54497         2   37198153   37346485    565      64  467185      -1.0768      0.73122    2.2204e-16      -1.0768
_SET1_   23683         2   37467645   37586915    649      51  467891       1.9152    0.0094647    2.2204e-16       1.9152
_SET1_   6546          2   40329286   40774575   2177     156  470225     0.078282      0.27985     1.249e-16     0.078282
_SET1_   27436         2   42361490   42569688    915      59  463902       2.0005    0.0062658             0       2.0005
_SET1_   678           2   43439541   43488745    162      61  458345       2.8832   0.00040005             0       2.8832
_SET1_   57217         2   47133313   47313275   1054     107  470086      0.99307     0.067821    1.1102e-16      0.99307
_SET1_   6711          2   54648454   54908583   1201      82  469287     -0.06833      0.33732     1.249e-16     -0.06833
_SET1_   5966          2   61073709   61181410    273      49  464671      0.24761      0.23655    1.1102e-16      0.24761
_SET1_   57162         2   64309786   64406605    371      53  458759      -2.1236      0.95027             0      -2.1236
_SET1_   10097         2   65419829   65508387    379      41  461991     -0.84281      0.64994    1.1102e-16     -0.84281
_SET1_   5341          2   68557322   68634585    495      41  473107     -0.42816      0.48602    1.1102e-16     -0.42816
_SET1_   9938          2   68926913   69063965    687      79  472617       1.0882     0.054897    2.2204e-16       1.0882
_SET1_   55577         2   71260408   71315998    361      44  473095      -1.2739      0.79942    2.2204e-16      -1.2739
_SET1_   23233         2   72393113   73088177   1787      76  468406      -2.1135      0.95189             0      -2.1135
_SET1_   200424        2   74177211   74345303    578      73  466931      -1.0886      0.72599    2.2204e-16      -1.0886
_SET1_   55233         2   74371394   74441006    241      47  464115      -1.3347      0.80706    2.2204e-16      -1.3347
_SET1_   84695         2   74749946   74816088    145      45  463843      0.80964      0.15303    1.1102e-16      0.80964
_SET1_   3099          2   75024782   75130481    475      91  470309     -0.13825      0.35229    1.1102e-16     -0.13825
_SET1_   11320         2   99225569   99382589    589      79  464820        2.029    0.0056922             0        2.029
_SET1_   284996        2  101877681  101960178    273      58  463691      -1.5335      0.85774    2.2204e-16      -1.5335
_SET1_   8440          2  106326520  106520730   1045      75  465605       3.5722   2.2621e-05             0       3.5722
_SET1_   3987          2  109115811  109313702    873      49  471225       2.7621   0.00066146             0       2.7621
_SET1_   10461         2  112621056  112807293    842      54  469685      0.56755      0.14595    1.1102e-16      0.56755
_SET1_   10096         2  114612511  114729131    551      34  469215      -1.2886      0.82841    2.2204e-16      -1.2886
_SET1_   2995          2  127378426  127464251    482      86  465767     -0.15525      0.35327    1.1102e-16     -0.15525
_SET1_   26469         2  131078580  131142982    195      45  462096      0.20498      0.26536    1.1102e-16      0.20498
_SET1_   81615         2  135203330  135513219   1303     102  468847       2.1969    0.0034695             0       2.1969
_SET1_   3176          2  138686808  138783934    316      48  467525        1.542     0.021955    2.2204e-16        1.542
_SET1_   8942          2  143471497  143809885   1393      89  470082       1.6946     0.015059    2.2204e-16       1.6946
_SET1_   55843         2  143851899  144535921   2357     212  469504      0.41174      0.18392    1.1102e-16      0.41174
_SET1_   26225         2  152647480  152720009    258      57  463742    0.0075998      0.35811     1.223e-16    0.0075998
_SET1_   8502          2  159278476  159547941   1305      64  469555    -0.031379      0.32519     1.249e-16    -0.031379
_SET1_   9936          2  160615139  160690115    375      45  471722       3.4637   4.3106e-05             0       3.4637
_SET1_   27347         2  168800530  169139105   1666     105  467301     -0.88709      0.64169    1.1102e-16     -0.88709
_SET1_   7456          2  175414302  175582667    560      94  465849     -0.02943      0.31236    1.2143e-16     -0.02943
_SET1_   91404         2  179956419  180164350    875      76  467893      0.48041      0.17147    1.1102e-16      0.48041
_SET1_   10787         2  183779579  183938586    631      54  469065      -1.6832      0.90295    2.2204e-16      -1.6832
_SET1_   64859         2  192507798  192563248    199      53  467159      0.27541      0.24176    1.1102e-16      0.27541
_SET1_   91526         2  197821741  198210521   1552     116  470135     -0.29808      0.42287    1.1102e-16     -0.29808
_SET1_   130132        2  198425524  198575774    411      61  465719     -0.72091      0.59022    1.1102e-16     -0.72091
_SET1_   841           2  202063166  202162434    368      58  467600      0.97914     0.073695    1.1102e-16      0.97914
_SET1_   7145          2  218654512  218843796    855     157  471139     -0.47925      0.49003    1.1102e-16     -0.47925
_SET1_   10109         2  219046817  219129071    267      38  467731      -0.1182      0.37304     1.249e-16      -0.1182
_SET1_   6556          2  219211752  219271617    245      71  466047      -1.2765      0.78708    2.2204e-16      -1.2765
