# ALPHA = 0.05
# NUMBER_OF_TESTS = 6

# _SET1_  VARIABLE = Astro (set)
# _SET1_  NGENES = 1266
# _SET1_  P-VALUE = 0.000379149
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   643965        1    1311508    1413167    264      19  36989     -0.85029      0.57132    1.2212e-15     -0.85029
_SET1_   5590          1    1931909    2166834    565      34  36989       1.8952    0.0022901    1.1102e-15       1.8952
_SET1_   63976         1    2935565    3405185   1728     162  36989      0.51613     0.021179    1.2212e-15      0.51613
_SET1_   55966         1    4665105    4893851   1036     109  36989     -0.32614      0.19359    1.2212e-15     -0.32614
_SET1_   26038         1    6111847    6290194    503      52  36989       -1.669      0.76889    1.1102e-15       -1.669
_SET1_   8863          1    7794413    7955241    615      39  36989     -0.15178      0.20934    1.1935e-15     -0.15178
_SET1_   2023          1    8871059    8989151    270      25  36989       1.6414    0.0062408    1.1102e-15       1.6414
_SET1_   84275         1    9549528    9692831    222      24  36989      -1.2787      0.68672    1.1102e-15      -1.2787
_SET1_   9249          1   12577939   12727820    551      51  36989      -1.3624      0.65927    1.1102e-15      -1.3624
_SET1_   23254         1   14169646   15494544   5043     341  36989      -0.6603     0.074734    1.2212e-15      -0.6603
_SET1_   55160         1   17796693   18074370    632      55  36989      -1.7754      0.78773    1.1102e-15      -1.7754
_SET1_   84966         1   18384240   18754977   1354     154  36989       1.6409    0.0013871    1.1102e-15       1.6409
_SET1_   55450         1   20758884   20862728    240      36  36989      0.43688     0.097187    1.2212e-15      0.43688
_SET1_   7798          1   23360516   23554301    410      21  36989     -0.81109      0.49086    1.2212e-15     -0.81109
_SET1_   55616         1   23705056   23860750    387      29  36989      -1.5935      0.78899    1.1102e-15      -1.5935
_SET1_   57185         1   24692245   24849473    401      28  36989       1.0166     0.028669    1.1102e-15       1.0166
_SET1_   3925          1   26160670   26283368    210      17  36989      -1.6132      0.78672    1.1102e-15      -1.6132
_SET1_   8073          1   32322022   32453988    227      32  36989     -0.65654      0.45871    1.2212e-15     -0.65654
_SET1_   1912          1   33739224   33891194    420      25  36989      0.20991      0.14336    1.1935e-15      0.20991
_SET1_   114784        1   33929609   34681443   2107     170  36989     -0.48349      0.10418    1.2212e-15     -0.48349
_SET1_   339541        1   45090370   45241263    369      40  36989      -0.7075      0.43099    1.2212e-15      -0.7075
_SET1_   84871         1   48948527   50539626   2446      68  36989       1.8069   0.00010861    1.1102e-15       1.8069
_SET1_   55268         1   53311582   53442846    258      15  36989      -1.4771      0.76444    1.1102e-15      -1.4771
_SET1_   26027         1   54957930   55150417    725      72  36989      -2.3898      0.91276    1.3323e-15      -2.3898
_SET1_   374977        1   55057427   55225939    678      54  36989      -1.1583      0.56642    1.1102e-15      -1.1583
_SET1_   8613          1   56910419   57095257    639      47  36989      -1.8764        0.811    1.1102e-15      -1.8764
_SET1_   55277         1   59712625   60278402   1395      97  36989     -0.49139       0.1947    1.2212e-15     -0.49139
_SET1_   85440         1   62870397   63204039    529      17  36989      -1.0869       0.6024    1.1102e-15      -1.0869
_SET1_   5236          1   64008947   64175916    561      50  36989       -0.945      0.48844    1.2212e-15       -0.945
_SET1_   4919          1   64189690   64697181   1308      86  36989      -1.9716       0.7402    1.1102e-15      -1.9716
_SET1_   57685         1   64886476   65208741    727      96  36989     -0.80342      0.42695    1.2212e-15     -0.80342
_SET1_   55225         1   65160778   65348915    413      32  36989      0.68547     0.064045    1.2212e-15      0.68547
_SET1_   205           1   65563232   65747828    516      43  36989      0.85755     0.037237    1.2212e-15      0.85755
_SET1_   9829          1   65670133   65931552    695      54  36989      -2.0535      0.84509    1.3323e-15      -2.0535
_SET1_   55970         1   68117149   68349436    575      34  36989       2.5345   0.00026033    1.3323e-15       2.5345
_SET1_   79971         1   68514142   68748284    846      85  36989      -1.1779        0.536    1.1102e-15      -1.1779
_SET1_   57554         1   69983230   70639171   1783      72  36989     -0.17559     0.085052    1.1935e-15     -0.17559
_SET1_   204962        1   75617816   76131698   1416      51  36989     -0.96947      0.35414    1.2212e-15     -0.96947
_SET1_   26289         1   77697662   78075654   1297      73  36989    -0.069465      0.11363    1.1935e-15    -0.069465
_SET1_   23266         1   82216082   82508107    859      47  36989      -1.4197      0.63898    1.1102e-15      -1.4197
_SET1_   79739         1   84285057   84514850    638      27  36989       1.2336     0.015687    1.1102e-15       1.2336
_SET1_   23576         1   85734168   86094046   1082      73  36989      0.65261     0.031971    1.2212e-15      0.65261
_SET1_   9653          1   87330335   87625681    755      24  36989       -1.395      0.69598    1.1102e-15       -1.395
_SET1_   23507         1   89939933   90113420    461      26  36989     -0.12463      0.22104    1.1935e-15     -0.12463
_SET1_   55144         1   90236573   90451991    387      51  36989      0.54313     0.069442    1.2212e-15      0.54313
_SET1_   7049          1   92095900   92421559   1130      87  36989     -0.38439      0.19553    1.2212e-15     -0.38439
_SET1_   8412          1   93977343   94362706   1161      44  36989      -1.8905      0.77029    1.1102e-15      -1.8905
_SET1_   2152          1   94944732   95057413    277      28  36989     -0.42313      0.33527    1.2212e-15     -0.42313
_SET1_   126969        1   95235898   95410803    592      66  36989      -0.6797      0.37194    1.2212e-15      -0.6797
_SET1_   1266          1   95312507   95442735    508      57  36989     0.093094      0.15465    1.1935e-15     0.093094
_SET1_   148534        1   95532894   95713163    610      38  36989       1.1478     0.017697    1.1102e-15       1.1478
_SET1_   25950         1   95649711   95762781    320      30  36989       1.3512     0.014161    1.1102e-15       1.3512
_SET1_   1806          1   97493299   98436615   2438     122  36989       6.5907   1.1587e-17    8.8818e-16       6.5907
