# ALPHA = 0.05
# NUMBER_OF_TESTS = 7

# _SET1_  VARIABLE = Endothelial (set)
# _SET1_  NGENES = 1966
# _SET1_  P-VALUE = 0.000269603
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   57801         1     909342     961608    151      13  36989      -1.2073       0.6922   -4.4409e-16      -1.2073
_SET1_   2782          1    1691725    1847552    208      15  36989     -0.13831      0.27654   -4.4409e-16     -0.13831
_SET1_   6497          1    2135134    2266652    399      60  36989      0.91631     0.038234   -4.4409e-16      0.91631
_SET1_   8764          1    2462291    2520268    152      14  36989      0.15636       0.1919   -4.4409e-16      0.15636
_SET1_   23261         1    6820384    7854766   2961     201  36989      -2.0071      0.46994   -4.4409e-16      -2.0071
_SET1_   473           1    8387464    8902699    834      30  36989       3.6341   1.2421e-06   -4.4409e-16       3.6341
_SET1_   5293          1    9686789    9814172    229      36  36989     -0.27829      0.30949   -4.4409e-16     -0.27829
_SET1_   22883         1    9764079    9909550    207      21  36989     -0.10512      0.28914   -4.4409e-16     -0.10512
_SET1_   10277         1   10068041   10266297    431      22  36989      -0.2545      0.32271   -4.4409e-16      -0.2545
_SET1_   5351          1   11969724   12060599    261      21  36989      0.78103     0.060958   -4.4409e-16      0.78103
_SET1_   7133          1   12202044   12294279    275      32  36989      -2.1445      0.91599   -4.4409e-16      -2.1445
_SET1_   55187         1   12265101   12597099    687      24  36989      -2.1557      0.92098   -4.4409e-16      -2.1557
_SET1_   7799          1   14001714   14176574    575      33  36989      0.12504      0.15869   -4.4409e-16      0.12504
_SET1_   23254         1   14194646   15469544   4859     340  36989     -0.58401     0.064901   -4.4409e-16     -0.58401
_SET1_   55092         1   15454028   15571974    628      35  36989     -0.45764      0.30415   -4.4409e-16     -0.45764
_SET1_   149563        1   16305731   16358184    287      18  36989      -0.3599      0.34749   -4.4409e-16      -0.3599
_SET1_   832           1   19640267   19837066    730      34  36989     0.047367      0.14188   -4.5103e-16     0.047367
_SET1_   50809         1   21044170   21138808    195      21  36989       2.0289    0.0027818   -4.4409e-16       2.0289
_SET1_   1889          1   21518740   21697034    514      42  36989     -0.48407      0.33956   -4.4409e-16     -0.48407
_SET1_   249           1   21810475   21929905    487      46  36989      -0.8421      0.48078   -4.4409e-16      -0.8421
_SET1_   3339          1   22123737   22288750    592      48  36989     -0.67124      0.40433   -4.4409e-16     -0.67124
_SET1_   998           1   22354120   22444439    311      22  36989       1.8017    0.0050998   -4.4409e-16       1.8017
_SET1_   7798          1   23385516   23529301    300      18  36989     -0.49877      0.39452   -4.4409e-16     -0.49877
_SET1_   10236         1   23610953   23696143    106      11  36989       -1.529      0.80922   -4.4409e-16       -1.529
_SET1_   3399          1   23859421   23911285    105      17  36989     -0.16375      0.28318   -4.4409e-16     -0.16375
_SET1_   25932         1   25046760   25195815    246      23  36989      -1.3029        0.702   -4.4409e-16      -1.3029
_SET1_   2268          1   27913800   27986727    111      15  36989       1.5566      0.03144   -4.4409e-16       1.5566
_SET1_   23673         1   28074694   28175963    120       7  36989      0.08731      0.37222   -4.4409e-16      0.08731
_SET1_   2035          1   29188603   29471558    589      26  36989       2.5325   0.00029604   -4.4409e-16       2.5325
_SET1_   6429          1   29449250   29533637    196      25  36989       1.9308    0.0039981   -4.4409e-16       1.9308
_SET1_   3633          1   38301369   38437729    292      22  36989       2.0075    0.0026832   -4.4409e-16       2.0075
_SET1_   23499         1   39524839   39977810    960      42  36989      0.59025     0.044074   -4.4409e-16      0.59025
_SET1_   26508         1   40064103   40130348    184      33  36989      0.12783      0.18996   -4.4409e-16      0.12783
_SET1_   84879         1   40395784   40460630    128      23  36989      -1.1172      0.65108   -4.4409e-16      -1.1172
_SET1_   22955         1   41467871   41732815    679      24  36989       1.0551     0.022228   -4.4409e-16       1.0551
_SET1_   6513          1   43366046   43449847    279      24  36989      0.21056      0.16087   -4.4409e-16      0.21056
_SET1_   7075          1   43741566   43813781    107      16  36989       2.7243   0.00027482   -4.4409e-16       2.7243
_SET1_   55182         1   44845837   45142396    830      91  36989     -0.22695      0.20339   -4.4409e-16     -0.22695
_SET1_   8503          1   46480812   46667167    319      23  36989      -1.0372       0.5939   -4.4409e-16      -1.0372
_SET1_   9813          1   47115831   47209792    222      13  36989      -1.8615      0.87311   -4.4409e-16      -1.8615
_SET1_   54558         1   48736044   48962876    489      36  36989       -1.542      0.75364   -4.4409e-16       -1.542
_SET1_   114883        1   52057546   52279891    367      26  36989     -0.86956      0.58625   -4.4409e-16     -0.86956
_SET1_   7804          1   53683036   53818821    363      39  36989       2.0068    0.0022376   -4.4409e-16       2.0068
_SET1_   23648         1   54666104   54897068    670      84  36989      0.49683     0.069646   -4.4409e-16      0.49683
_SET1_   5563          1   57085990   57206008    415      31  36989     -0.69133      0.43449   -4.4409e-16     -0.69133
_SET1_   1600          1   57435453   58741211   3923     212  36989      -0.6467     0.077944   -4.4409e-16      -0.6467
_SET1_   4774          1   61517946   61953460   1068     104  36989      0.28834     0.074879   -4.4409e-16      0.28834
_SET1_   4919          1   64214690   64672181   1161      78  36989      -1.9987      0.76624   -4.4409e-16      -1.9987
_SET1_   57685         1   64911476   65183741    609      76  36989     -0.44236      0.32603   -4.4409e-16     -0.44236
_SET1_   3716          1   65273906   65457593    467      33  36989        1.771      0.00452   -4.4409e-16        1.771
_SET1_   3953          1   65861335   66128176    790      33  36989      -0.1007      0.16929   -4.4409e-16      -0.1007
_SET1_   84251         1   66974066   67235768    938      30  36989     -0.79551      0.36619   -4.4409e-16     -0.79551
_SET1_   256435        1   76515389   77125311   1992     141  36989     -0.58408      0.12867   -4.4409e-16     -0.58408
_SET1_   26009         1   78003160   78174119    328      22  36989      0.69701     0.071611   -4.4409e-16      0.69701
_SET1_   10964         1   79061067   79136830    153      30  36989      0.15572       0.1852   -4.4409e-16      0.15572
_SET1_   10561         1   79090477   79154763    163      19  36989       1.1641     0.030211   -4.4409e-16       1.1641
_SET1_   64123         1   79330449   79497495    726      32  36989      0.69841     0.044296   -4.4409e-16      0.69841
_SET1_   23266         1   82241082   82483107    704      46  36989      -1.4465      0.66966   -4.4409e-16      -1.4465
_SET1_   79739         1   84310057   84489850    501      22  36989      0.10009      0.16718   -4.4409e-16      0.10009
_SET1_   5567          1   84518745   84729181    362      26  36989      0.83801     0.048477   -4.4409e-16      0.83801
_SET1_   255631        1   86169916   86647121   1765      61  36989      -1.1561      0.30643   -4.4409e-16      -1.1561
_SET1_   57489         1   86787507   86887025    352      25  36989     -0.76042      0.48335   -4.4409e-16     -0.76042
_SET1_   51100         1   87145253   87238867    211      29  36989      -1.4674      0.77609   -4.4409e-16      -1.4674
_SET1_   5586          1   89124876   89326938    514      14  36989      -2.2851      0.93384   -4.4409e-16      -2.2851
_SET1_   23507         1   89964933   90088420    318      22  36989      0.11807      0.18061   -4.4409e-16      0.11807
_SET1_   84230         1   90073644   90210094    256      16  36989    -0.081355      0.25093   -4.4409e-16    -0.081355
_SET1_   7049          1   92120900   92396559    953      76  36989      -0.9433      0.41838   -4.4409e-16      -0.9433
_SET1_   7813          1   92949253   93282961    764      15  36989       1.2814     0.012268   -4.4409e-16       1.2814
_SET1_   54874         1   93888688   94045218    221      31  36989     -0.15722      0.27566   -4.4409e-16     -0.15722
_SET1_   8412          1   94002343   94337706   1046      35  36989       -1.834      0.74673   -4.4409e-16       -1.834
_SET1_   5825          1   94858933   95009219    201      24  36989      -1.0759      0.62345   -4.4409e-16      -1.0759
_SET1_   1266          1   95337507   95417735    298      39  36989    -0.060605      0.23836   -4.5103e-16    -0.060605
_SET1_   54873         1  100086431  100185097    271      31  36989      0.98253      0.04018   -4.4409e-16      0.98253
_SET1_   23443         1  100410345  100517535    344      19  36989     -0.11349      0.30544   -4.4409e-16     -0.11349
_SET1_   64645         1  100478670  100573933    284      16  36989     0.052824      0.27309   -4.5103e-16     0.052824
_SET1_   8556          1  100785598  101010833    393      26  36989     -0.33896      0.31549   -4.4409e-16     -0.33896
