# ALPHA = 0.05
# NUMBER_OF_TESTS = 29

# _SET1_  VARIABLE = Microglia-activated (set)
# _SET1_  NGENES = 1272
# _SET1_  P-VALUE = 0.000138519
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   2782          1    1706725    1857552    549      64  461322     -0.94414      0.67363   -1.1102e-16     -0.94414
_SET1_   6497          1    2125134    2251652    592     106  464827      -1.8219       0.9023   -2.2204e-16      -1.8219
_SET1_   23261         1    6810384    7839766   4535     347  469990      0.10935      0.25924   -1.5266e-16      0.10935
_SET1_   6518          1    9087005    9166763    414      55  471932       1.6716     0.015801   -2.2204e-16       1.6716
_SET1_   5293          1    9676789    9799172    556      86  461632       1.4409     0.027153   -2.2204e-16       1.4409
_SET1_   23095         1   10235606   10451664    906      39  473632      0.27733      0.24746   -1.6653e-16      0.27733
_SET1_   7133          1   12192044   12279279    383      67  470965    -0.072167      0.34267   -1.5266e-16    -0.072167
_SET1_   9249          1   12617939   12712820    532      93  469229     0.015961      0.29954   -1.4919e-16     0.015961
_SET1_   23254         1   14184646   15454544   6947     501  468615       1.4119     0.021563   -2.2204e-16       1.4119
_SET1_   55092         1   15444028   15556974    795      59  473443     -0.97944        0.688   -1.1102e-16     -0.97944
_SET1_   55920         1   17723251   17801250    394      51  463683      -1.0627      0.71423   -2.2204e-16      -1.0627
_SET1_   84966         1   18399240   18714977   1717     250  467668      -1.9808      0.93461   -2.2204e-16      -1.9808
_SET1_   832           1   19655267   19847066    991      76  470928      0.70092      0.11252   -1.1102e-16      0.70092
_SET1_   440574        1   19888471   19966315    368      35  470132       1.7454     0.017059   -2.2204e-16       1.7454
_SET1_   8672          1   21122785   21538381   1271      60  468770       3.6349   1.9171e-05             0       3.6349
_SET1_   712           1   22928118   22976175    251      49  463295      -1.0778      0.71913   -2.2204e-16      -1.0778
_SET1_   714           1   22934969   22984603    247      47  464206      -1.1073      0.72741   -2.2204e-16      -1.1073
_SET1_   713           1   22944682   22998130    232      44  468518     -0.82815      0.63491   -1.1102e-16     -0.82815
_SET1_   6195          1   26821249   26911520    323      52  464996      0.82917     0.095705   -1.1102e-16      0.82917
_SET1_   10163         1   27720734   27851678    406      58  464277      0.87426        0.102   -1.1102e-16      0.87426
_SET1_   9473          1   28164055   28223196    224      60  460426       1.5441      0.02086   -2.2204e-16       1.5441
_SET1_   5724          1   28463677   28555447    292      69  462230      0.64686       0.1262   -1.1102e-16      0.64686
_SET1_   2035          1   29178603   29456558   1021      72  462846       1.0384     0.065712   -2.2204e-16       1.0384
_SET1_   7805          1   31195315   31265683    355      77  464829       2.1734    0.0033547             0       2.1734
_SET1_   9698          1   31394353   31573838    706      59  466407       -0.325      0.44012   -1.6653e-16       -0.325
_SET1_   1912          1   33779224   33876194    360      44  466556     -0.16122      0.37768   -1.3878e-16     -0.16122
_SET1_   114784        1   33969609   34666443   3190     321  467303     0.051904      0.28268   -1.5266e-16     0.051904
_SET1_   192670        1   36238231   36333491    286      49  461214      0.70293       0.1504   -1.1102e-16      0.70293
_SET1_   1441          1   36921644   36983915    266      56  472708      0.93912     0.086199   -1.1102e-16      0.93912
_SET1_   10487         1   40470912   40548321    378      27  465309        1.426     0.037726   -2.2204e-16        1.426
_SET1_   64744         1   40804378   40898998    349      73  471965      -1.2758       0.7855   -2.2204e-16      -1.2758
_SET1_   59269         1   41962036   42536596   2359     131  468659      0.88066     0.078898   -1.1102e-16      0.88066
_SET1_   114625        1   43247776   43320660    250      63  467920      0.52488      0.15587   -1.1102e-16      0.52488
_SET1_   5792          1   43956708   44099343    653      54  459610       2.4664    0.0014991             0       2.4664
_SET1_   55182         1   44835837   45127396   1202     176  468476        1.592     0.018042   -2.2204e-16        1.592
_SET1_   57643         1   45472071   45707250    703      73  469151     -0.31961      0.45112   -1.6653e-16     -0.31961
_SET1_   10327         1   45981455   46045723    287      36  467627      -1.5955      0.87411   -2.2204e-16      -1.5955
_SET1_   8569          1   47013079   47104966    382      66  461955      0.10958      0.27034   -1.5266e-16      0.10958
_SET1_   6886          1   47671962   47732938    254      44  468254      0.19466      0.25284   -1.3878e-16      0.19466
_SET1_   84871         1   48988527   50524626   4592     135  458185       0.1399      0.25007   -1.3878e-16       0.1399
_SET1_   8613          1   56950419   57080257    621      78  469566    -0.045797      0.32088   -1.5266e-16    -0.045797
_SET1_   9829          1   65685133   65891552    814      68  467080        1.133     0.049346   -2.2204e-16        1.133
_SET1_   5142          1   66223193   66850262   2519     185  467523      -0.5386      0.50617   -1.1102e-16      -0.5386
_SET1_   84251         1   66964066   67220768   1256      55  468663      0.35922      0.19665   -1.6653e-16      0.35922
_SET1_   57554         1   69998230   70599171   2483     161  466822       1.2783     0.035166   -2.2204e-16       1.2783
_SET1_   257194        1   71858625   72783533   3148     180  464360      0.14228      0.25107   -1.3878e-16      0.14228
