# ALPHA = 0.05
# NUMBER_OF_TESTS = 6

# _SET1_  VARIABLE = Astro (set)
# _SET1_  NGENES = 255
# _SET1_  P-VALUE = 0.00741234
_SET1_   GENE     CHR      START       STOP  NSNPS  NPARAM      N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   63976      1    2935565    3405185   1728     162  36989      0.51613     0.021179             0      0.51613
_SET1_   339541     1   45090370   45241263    369      40  36989      -0.7075      0.43099             0      -0.7075
_SET1_   55268      1   53311582   53442846    258      15  36989      -1.4771      0.76444             0      -1.4771
_SET1_   26027      1   54957930   55150417    725      72  36989      -2.3898      0.91276             0      -2.3898
_SET1_   374977     1   55057427   55225939    678      54  36989      -1.1583      0.56642             0      -1.1583
_SET1_   8613       1   56910419   57095257    639      47  36989      -1.8764        0.811             0      -1.8764
_SET1_   85440      1   62870397   63204039    529      17  36989      -1.0869       0.6024             0      -1.0869
_SET1_   57685      1   64886476   65208741    727      96  36989     -0.80342      0.42695             0     -0.80342
_SET1_   79971      1   68514142   68748284    846      85  36989      -1.1779        0.536             0      -1.1779
_SET1_   26289      1   77697662   78075654   1297      73  36989    -0.069465      0.11363   -1.3878e-17    -0.069465
_SET1_   79739      1   84285057   84514850    638      27  36989       1.2336     0.015687             0       1.2336
_SET1_   23576      1   85734168   86094046   1082      73  36989      0.65261     0.031971             0      0.65261
_SET1_   7049       1   92095900   92421559   1130      87  36989     -0.38439      0.19553             0     -0.38439
_SET1_   8412       1   93977343   94362706   1161      44  36989      -1.8905      0.77029             0      -1.8905
_SET1_   2152       1   94944732   95057413    277      28  36989     -0.42313      0.33527             0     -0.42313
_SET1_   8556       1  100760598  101035833    543      33  36989     -0.80075      0.45378             0     -0.80075
_SET1_   10451      1  108063782  108557545   1686      97  36989      0.76515      0.01158             0      0.76515
_SET1_   10768      1  110477387  110616364    201      33  36989      0.76696     0.048167             0      0.76696
_SET1_   4853       1  120404176  120689880    214      18  36989      -1.8218      0.87134             0      -1.8218
_SET1_   3782       1  154619938  154892754    723     103  36989       3.4557   2.7174e-06             0       3.4557
_SET1_   10485      1  156324048  156476441    256      42  36989     -0.73279      0.43575             0     -0.73279
_SET1_   477        1  160035520  160163381    409      52  36989       1.0035     0.025961             0       1.0035
_SET1_   80896      1  182708584  182849519    250      32  36989       1.9642    0.0030228             0       1.9642
_SET1_   23418      1  197120592  197497585    555      39  36989      0.97498     0.027155             0      0.97498
_SET1_   7042       1  218468676  218667961    407      44  36989      0.45156     0.093576             0      0.45156
_SET1_   3707       1  226769391  226977028    443      61  36989       2.2879   0.00058876             0       2.2879
_SET1_   56776      1  240205185  240688491   1742     121  36989       1.7724   0.00040965             0       1.7724
_SET1_   2202       2   56043097   56201298    575      38  36989       1.4399    0.0093266             0       1.4399
_SET1_   94097      2   73119165   73348965    372      26  36989       3.8517   1.4897e-06             0       3.8517
_SET1_   83439      2   85310583   85587511   1010      67  36989     -0.52774      0.26096             0     -0.52774
_SET1_   10461      2  112606056  112847293    815      34  36989       1.0713     0.017497             0       1.0713
_SET1_   50649      2  131544489  131854826    753      59  36989       2.0059    0.0013287             0       2.0059
_SET1_   114805     2  154678426  155360489   2289      69  36989       0.3949     0.013691             0       0.3949
_SET1_   8502       2  159263476  159587941   1222      39  36989       1.5073     0.003279             0       1.5073
_SET1_   8708       2  168296692  168777366   1297      95  36989       2.1373   0.00029708             0       2.1373
_SET1_   23671      2  192720615  193109645    746      81  36989    -0.011014      0.14637   -1.7347e-17    -0.011014
_SET1_   56171      2  196552427  196983536    860      25  36989       1.6936    0.0040677             0       1.6936
_SET1_   57520      2  197013971  197508416   1352      70  36989        2.603   4.9647e-05             0        2.603
_SET1_   117583     2  205360516  206534886   2911     148  36989     -0.71764     0.090232             0     -0.71764
_SET1_   5270       2  224789765  224954036    528      44  36989     -0.70596       0.4057             0     -0.70596
_SET1_   55619      2  225579807  225957330   1041      64  36989        1.031     0.013577             0        1.031
_SET1_   79781      2  237182790  237466178    595      39  36989        1.237     0.016085             0        1.237
_SET1_   131096     3   19139946   19627135    688      56  36989      -1.6286      0.74747             0      -1.6286
_SET1_   116135     3   26614300   26802267    614      42  36989     -0.93979      0.48848             0     -0.93979
_SET1_   27303      3   29272351   30101886   3314     182  36989        3.021   1.9424e-07             0        3.021
_SET1_   729085     3   42970759   43149207    386      32  36989     -0.08054      0.21167   -1.3878e-17     -0.08054
_SET1_   11170      3   58499841   58663337    612      65  36989      -1.3718      0.64634             0      -1.3718
_SET1_   26018      3   66379221   66601446    538      50  36989     -0.62106      0.37505             0     -0.62106
_SET1_   23150      3   69169146   69485430   1023      81  36989       1.8047     0.001438             0       1.8047
_SET1_   23024      3   73381582   73724072    994      88  36989     -0.71177      0.31464             0     -0.71177
_SET1_   54762      3  113507671  113716021    392      51  36989      0.18172      0.12969   -2.7756e-17      0.18172
_SET1_   57514      3  118963220  119188323    765      53  36989      0.12608      0.12557   -2.7756e-17      0.12608
_SET1_   6565       3  121563171  121713034    428      15  36989       1.0715     0.029852             0       1.0715
_SET1_   10840      3  125772404  125950029    803      43  36989      -1.5409       0.6796             0      -1.5409
_SET1_   5352       3  145737225  145929282    608      28  36989      -1.2287      0.61076             0      -1.2287
_SET1_   57088      3  145860122  146018966    543      32  36989      -2.0279      0.87054             0      -2.0279
_SET1_   116931     3  150753452  151204465   1216      63  36989     -0.85572      0.34612             0     -0.85572
_SET1_   26084      3  153788792  154025616    579      21  36989    -0.091008      0.22613   -1.3878e-17    -0.091008
_SET1_   27333      3  167676457  167863712    575      25  36989       0.9432     0.034922             0       0.9432
_SET1_   22871      3  173065570  174054434   2662     135  36989       1.7915   6.5897e-05             0       1.7915
_SET1_   1608       3  185802896  186130023    783     106  36989      0.86981     0.024164             0      0.86981
_SET1_   604        3  187389165  187513513    414      36  36989     -0.86228      0.49594             0     -0.86228
_SET1_   84239      3  193069866  193322810    747      66  36989     -0.76362      0.38096             0     -0.76362
_SET1_   2261       4    1745039    1860599    221      39  36989      0.35772       0.1094             0      0.35772
_SET1_   166647     4   22338997   22567677    888      70  36989     -0.33364      0.22366             0     -0.33364
_SET1_   2565       4   45987786   46176082    539      21  36989     -0.91459      0.52161             0     -0.91459
_SET1_   2555       4   46196470   46442056    557      21  36989       2.2557   0.00083727             0       2.2557
_SET1_   2560       4   46983295   47482801   1272      78  36989        1.153    0.0069987             0        1.153
_SET1_   3490       4   57847237   58026551    747      62  36989      -1.2202       0.5666             0      -1.2202
_SET1_   8671       4   72003003   72487804    953      55  36989     -0.67057      0.33989             0     -0.67057
_SET1_   57619      4   77306253   77754406   1267      70  36989      0.26069     0.059547             0      0.26069
