# ALPHA = 0.05
# NUMBER_OF_TESTS = 29

# _SET1_  VARIABLE = T-cell-parenchymal-1 (set)
# _SET1_  NGENES = 1451
# _SET1_  P-VALUE = 0.00142366
_SET1_   GENE        CHR      START       STOP  NSNPS  NPARAM       N        ZSTAT            P  ZFITTED_BASE  ZRESID_BASE
_SET1_   643965        1    1361508    1363167     10       5  466340      -1.2906      0.85582    1.1102e-15      -1.2906
_SET1_   2782          1    1716725    1822552    354      66  459277     -0.68056      0.59651     9.992e-16     -0.68056
_SET1_   23261         1    6845384    7829766   4336     358  469781     0.093823      0.26817     1.027e-15     0.093823
_SET1_   473           1    8412464    8877699   1290      69  465044       2.2537    0.0033631    8.8818e-16       2.2537
_SET1_   9563          1    9294822    9331396    177      56  456295     -0.50054      0.51009     9.992e-16     -0.50054
_SET1_   80176         1    9335202    9429591    611     116  473250      -1.2317      0.77128    1.1102e-15      -1.2317
_SET1_   5293          1    9711789    9789172    335      67  460695      0.80611      0.10982     9.992e-16      0.80611
_SET1_   10277         1   10093041   10241297    544      46  470117      -0.6864      0.64723     9.992e-16      -0.6864
_SET1_   23435         1   11072462   11085549     48      17  467359     -0.11624      0.42235     1.027e-15     -0.11624
_SET1_   7799          1   14026714   14151574    551      55  467644     -0.34522      0.47962    1.0547e-15     -0.34522
_SET1_   832           1   19665267   19812066    775      47  472024      0.75085      0.11564     9.992e-16      0.75085
_SET1_   50809         1   21069170   21113808    122      30  477287       2.9043   0.00043201    8.8818e-16       2.9043
_SET1_   998           1   22379120   22419439    153      39  470517       1.2523     0.053058    1.1102e-15       1.2523
_SET1_   3155          1   24128367   24165110     96      26  468414      0.71635      0.12741     9.992e-16      0.71635
_SET1_   57185         1   24742245   24799473    307      43  467441      0.12197      0.28306     1.027e-15      0.12197
_SET1_   10250         1   24969594   24999772     66      33  469892     -0.56529      0.58855     9.992e-16     -0.56529
_SET1_   864           1   25226002   25291648    258      70  469794       1.3225     0.037257    1.1102e-15       1.3225
_SET1_   26119         1   25870071   25895377    133      30  466328      -0.7027      0.61112     9.992e-16      -0.7027
_SET1_   2035          1   29213603   29446558    800      67  461740       1.0449     0.071921    1.1102e-15       1.0449
_SET1_   3932          1   32716840   32751766    101      50  466458      -1.8907      0.94023    1.1102e-15      -1.8907
_SET1_   3065          1   32757708   32799227    105      28  455635      -1.6488      0.92625    1.1102e-15      -1.6488
_SET1_   65108         1   32799430   32801840      3       2  459384     -0.98007       0.8464     9.992e-16     -0.98007
_SET1_   8565          1   33240840   33283633    125      33  464763     -0.91929      0.69436     9.992e-16     -0.91929
_SET1_   79647         1   39456916   39471737     63      15  473022       1.9805    0.0085154    1.1102e-15       1.9805
_SET1_   10487         1   40505912   40538321    171      24  468531       1.3866     0.039908    1.1102e-15       1.3866
_SET1_   6018          1   40627041   40706593    213      69  456300      -1.2676      0.80202    1.1102e-15      -1.2676
_SET1_   64744         1   40839378   40888998    173      48  472830      -1.6803      0.89478    1.1102e-15      -1.6803
_SET1_   4904          1   43148060   43168024     65      29  463754       1.1828     0.055356    1.1102e-15       1.1828
_SET1_   55182         1   44870837   45117396   1031     132  467875        1.675     0.015766    1.1102e-15        1.675
_SET1_   51727         1   47799469   47844511    194      37  469480      0.35802       0.2143    1.0547e-15      0.35802
_SET1_   84871         1   48998527   50489626   4462     138  458219      0.27288      0.22423    1.0547e-15      0.27288
_SET1_   2060          1   51819935   51985026    711      42  471701        1.847     0.015429    1.1102e-15        1.847
_SET1_   114883        1   52082546   52254891    499      68  459943     -0.46294      0.55006    1.0547e-15     -0.46294
_SET1_   55268         1   53361582   53392846     86      37  456187      -0.4232      0.50354    1.0547e-15      -0.4232
